"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SPONSORSHIPORIGINATOR","Display Value","Numeric","Low","High","Comments"
"SA_0000001537","PUBLISHED","2016","WPR","MHL","","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","MUS","","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EMR","SOM","","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","ESP","","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","ZWE","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","NGA","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","NOR","","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","RUS","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","KNA","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EMR","YEM","","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","ATG","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","ARM","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","BWA","","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","HRV","","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","ERI","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","HUN","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","LAO","","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","MLT","","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","MRT","","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","NER","","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","ROU","","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","RWA","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","ZAF","","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","TTO","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","TUR","","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","ZMB","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","MNE","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","DZA","SA_FROM_WINE_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","BWA","SA_FROM_BEER_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","CAF","SA_FROM_SPIRITS_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","COG","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","GNQ","SA_FROM_BEER_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","GNQ","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","GAB","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","GHA","SA_FROM_SPIRITS_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","KEN","SA_FROM_WINE_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","MDG","SA_FROM_BEER_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","MDG","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","MRT","SA_FROM_WINE_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","NAM","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","SEN","SA_FROM_BEER_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","ZAF","SA_FROM_WINE_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","TGO","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","ATG","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","BRB","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","BRA","SA_FROM_BEER_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","BRA","SA_FROM_SPIRITS_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","COL","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","ECU","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","GTM","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","HND","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","NIC","SA_FROM_BEER_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","LCA","SA_FROM_BEER_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","LCA","SA_FROM_SPIRITS_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","TTO","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EMR","IRN","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EMR","MAR","SA_FROM_BEER_INDUSTRY","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EMR","MAR","SA_FROM_SPIRITS_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","EMR","SOM","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","ALB","SA_FROM_BEER_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","ALB","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","AUT","SA_FROM_WINE_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","BEL","SA_FROM_BEER_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","CZE","SA_FROM_BEER_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","CZE","SA_FROM_SPIRITS_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","FIN","SA_FROM_WINE_INDUSTRY","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","ISR","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","DEU","SA_FROM_BEER_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","MNE","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","LUX","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","LUX","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","MDA","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","NOR","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","SVN","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","SMR","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","SMR","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","UKR","SA_FROM_BEER_INDUSTRY","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","UKR","SA_FROM_SPIRITS_INDUSTRY","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","VUT","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","NZL","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","NZL","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","JPN","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","LAO","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","AUS","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","CHN","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","CHN","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","WSM","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","VUT","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","SEAR","IND","SA_FROM_BEER_INDUSTRY","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","SEAR","LKA","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","ETH","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","MEX","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","SEN","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","GTM","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","CHE","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","SEAR","BGD","SA_FROM_WINE_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","DZA","SA_FROM_BEER_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","DZA","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","BWA","SA_FROM_WINE_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","CPV","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","COG","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","COG","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","GNQ","SA_FROM_WINE_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","GAB","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","KEN","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","MDG","SA_FROM_WINE_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","MRT","SA_FROM_BEER_INDUSTRY","ban","","","",""
