"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"cci","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201006","","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","AFGMICS201008","","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201504","","62.1 [0.0-0.0]","62.00000","","",""
"cci","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201505","","54.4 [0.0-0.0]","54.00000","","",""
"cci","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","AFGDHS201519","","49.0 [0.0-0.0]","49.00000","","",""
"cci","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","ALBRHS200202","","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","ALBMICS200501","","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","ALBDHS200803","","57.0 [0.0-0.0]","57.00000","","",""
"cci","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","ALBDHS200804","","73.9 [0.0-0.0]","74.00000","","",""
"cci","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","ALBDHS201711","","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","DZAMICS200002","","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","DZAMICS200602","","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","DZAMICS200604","","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199608","","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199609","","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201502","","58.2 [0.0-0.0]","58.00000","","",""
"cci","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","ARGMICS201102","","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200007","","60.2 [0.0-0.0]","60.00000","","",""
"cci","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200009","","49.6 [0.0-0.0]","50.00000","","",""
"cci","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200508","","59.4 [0.0-0.0]","59.00000","","",""
"cci","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201006","","65.3 [0.0-0.0]","65.00000","","",""
"cci","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201007","","64.2 [0.0-0.0]","64.00000","","",""
"cci","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201009","","65.3 [0.0-0.0]","65.00000","","",""
"cci","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201508","","65.3 [0.0-0.0]","65.00000","","",""
"cci","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201510","","71.7 [0.0-0.0]","72.00000","","",""
"cci","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","BGDDHS199301","","46.7 [0.0-0.0]","47.00000","","",""
"cci","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","BGDDHS199603","","45.4 [0.0-0.0]","45.00000","","",""
"cci","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","BGDDHS199906","","40.2 [0.0-0.0]","40.00000","","",""
"cci","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","BGDMICS200601","","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","","BGDDHS200704","","64.7 [0.0-0.0]","65.00000","","",""
"cci","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","","BGDDHS200706","","46.9 [0.0-0.0]","47.00000","","",""
"cci","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","","BRBMICS201202","","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","","BRBMICS201204","","No data","","","","Not calculated."
