"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","OPENACCESSSERVICE","Display Value","Numeric","Low","High","Comments"
"RSUD_720","PUBLISHED","2014","EMR","AFG","MOBILE_PHONE_BASED_INTERVENTIONS","No","","","",""
"RSUD_720","PUBLISHED","2014","EMR","AFG","TELEPHONE_HELP_LINES","No","","","",""
"RSUD_720","PUBLISHED","2014","EMR","AFG","WEB_BASED_INTERVENTIONS","No","","","",""
"RSUD_720","PUBLISHED","2014","EUR","ALB","TELEPHONE_HELP_LINES","Yes","","","",""
"RSUD_720","PUBLISHED","2014","EUR","AND","MOBILE_PHONE_BASED_INTERVENTIONS","No","","","",""
"RSUD_720","PUBLISHED","2014","EUR","AND","TELEPHONE_HELP_LINES","No","","","",""
"RSUD_720","PUBLISHED","2014","EUR","AND","WEB_BASED_INTERVENTIONS","No","","","",""
"RSUD_720","PUBLISHED","2014","EMR","ARE","TELEPHONE_HELP_LINES","Yes","","","",""
"RSUD_720","PUBLISHED","2014","AMR","ARG","TELEPHONE_HELP_LINES","No","","","",""
"RSUD_720","PUBLISHED","2014","AMR","ARG","WEB_BASED_INTERVENTIONS","No","","","",""
"RSUD_720","PUBLISHED","2014","WPR","AUS","MOBILE_PHONE_BASED_INTERVENTIONS","Yes","","","",""
"RSUD_720","PUBLISHED","2014","WPR","AUS","TELEPHONE_HELP_LINES","Yes","","","",""
"RSUD_720","PUBLISHED","2014","WPR","AUS","WEB_BASED_INTERVENTIONS","Yes","","","",""
"RSUD_720","PUBLISHED","2014","EUR","AUT","TELEPHONE_HELP_LINES","Yes","","","",""
"RSUD_720","PUBLISHED","2014","EUR","AUT","WEB_BASED_INTERVENTIONS","Yes","","","",""
"RSUD_720","PUBLISHED","2014","EUR","AZE","MOBILE_PHONE_BASED_INTERVENTIONS","No","","","",""
"RSUD_720","PUBLISHED","2014","EUR","AZE","TELEPHONE_HELP_LINES","No","","","",""
"RSUD_720","PUBLISHED","2014","EUR","AZE","WEB_BASED_INTERVENTIONS","No","","","",""
"RSUD_720","PUBLISHED","2014","AFR","BDI","TELEPHONE_HELP_LINES","No","","","",""
"RSUD_720","PUBLISHED","2014","AFR","BDI","WEB_BASED_INTERVENTIONS","No","","","",""
"RSUD_720","PUBLISHED","2014","EUR","BEL","TELEPHONE_HELP_LINES","Yes","","","",""
"RSUD_720","PUBLISHED","2014","EUR","BEL","WEB_BASED_INTERVENTIONS","Yes","","","",""
"RSUD_720","PUBLISHED","2014","AFR","BEN","TELEPHONE_HELP_LINES","No","","","",""
"RSUD_720","PUBLISHED","2014","AFR","BEN","WEB_BASED_INTERVENTIONS","No","","","",""
"RSUD_720","PUBLISHED","2014","AFR","BFA","MOBILE_PHONE_BASED_INTERVENTIONS","No","","","",""
"RSUD_720","PUBLISHED","2014","AFR","BFA","TELEPHONE_HELP_LINES","No","","","",""
"RSUD_720","PUBLISHED","2014","SEAR","BGD","WEB_BASED_INTERVENTIONS","No","","","",""
