"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201532","","62.2 [46.8-75.4]","62.00000","47.00000","75.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201533","","33.3 [20.4-49.4]","33.00000","20.00000","49.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","AFGDHS201534","","69.2 [57.0-79.2]","69.00000","57.00000","79.00000",""
"vdpt","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","","ALBMICS200001","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","","ALBMICS200002","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","","ALBMICS200003","","No data","","","","Not available."
"vdpt","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200201","","No data","","","","Not available."
"vdpt","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200202","","No data","","","","Not available."
"vdpt","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","ALBRHS200203","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","","ALBMICS200501","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","","ALBMICS200502","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","","ALBMICS200503","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","","ALBMICS200504","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","","ALBDHS200801","","98.4 [88.7-99.8]","98.00000","89.00000","100.00000",""
"vdpt","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","","ALBDHS200802","","96.1 [87.4-98.9]","96.00000","87.00000","99.00000",""
"vdpt","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","","ALBDHS200803","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"vdpt","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","","ALBDHS200804","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000","Attention - Estimate is based on 25-49 cases."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201701","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201702","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201703","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201704","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201705","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201706","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201707","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201708","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201709","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201710","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201711","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","ALBDHS201712","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200001","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200002","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200003","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","","DZAMICS200004","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","","DZAMICS200601","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","","DZAMICS200602","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","","DZAMICS200603","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","","DZAMICS200604","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201201","","94.3 [90.9-96.5]","94.00000","91.00000","96.00000",""
"vdpt","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201202","","97.0 [93.9-98.6]","97.00000","94.00000","99.00000",""
