"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","POLICYSECTOR","Display Value","Numeric","Low","High","Comments"
"SA_0000001694","PUBLISHED","2016","EUR","PRT","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","PRT","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","MDA","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","MDA","AGRICULTURE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SMR","JUSTICE","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SMR","FINANCE_TAXATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SVK","TRADE_INDUSTRY","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SVK","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ESP","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ESP","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SWE","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","CHE","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","TJK","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","TJK","EMPLOYMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","MKD","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","MKD","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","BGD","ROAD_SAFETY","No","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","BGD","EDUCATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","BTN","AGRICULTURE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","IDN","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","LKA","FINANCE_TAXATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","LKA","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","THA","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","AUS","SOCIAL","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","KHM","EDUCATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","KHM","LAW_ENFORCEMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","JPN","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","LAO","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","LAO","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","MYS","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","MYS","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","NZL","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","PHL","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","KOR","EDUCATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","KOR","LAW_ENFORCEMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","SGP","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","SGP","JUSTICE","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","VUT","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","VUT","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","GNQ","SOCIAL","Yes","","","",""
