"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVBGD2005","PUBLISHED","2005","SEAR","BGD","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVBGD2010","PUBLISHED","2010","SEAR","BGD","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVBGD2000","PUBLISHED","2000","SEAR","BGD","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVBFA2009","PUBLISHED","2009","AFR","BFA","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVBFA2003","PUBLISHED","2003","AFR","BFA","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVBFA1998","PUBLISHED","1998","AFR","BFA","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVARG1996","PUBLISHED","1996","AMR","ARG","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVALB2012","PUBLISHED","2012","EUR","ALB","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVALB2008","PUBLISHED","2008","EUR","ALB","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVALB2005","PUBLISHED","2005","EUR","ALB","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVALB2002","PUBLISHED","2002","EUR","ALB","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVAGO2008","PUBLISHED","2008","AFR","AGO","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVAFG2007","PUBLISHED","2007","EMR","AFG","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVBGR1997","PUBLISHED","1997","EUR","BGR","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVBGR2000","PUBLISHED","2000","EUR","BGR","Yes","1.00000","","",""
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","POVBGR2001","PUBLISHED","2001","EUR","BGR","Yes","1.00000","","",""
