"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"TOTENV_12","PUBLISHED","2004","GBD_REG14_AFRD","66","0.66000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_AFRE","62","0.62000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_AMRA","5","0.05000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_AMRB","31","0.31000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_AMRD","44","0.44000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_EMRB","33","0.33000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_EMRD","57","0.57000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_EURA","3","0.03000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_EURB","30","0.30000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_EURC","6","0.06000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_SEARB","24","0.24000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_SEARD","44","0.44000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_WPRA","4","0.04000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_WPRB","20","0.20000","","",""
"TOTENV_12","PUBLISHED","2004","GBD_REG14_WORLD","42","0.42000","","",""
