"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","","FMLE","29","29.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","","MLE","36","36.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","EUR","","ALB","MLE","22","22.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","EUR","","ALB","FMLE","36","36.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AMR","","BOL","FMLE","22","22.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AMR","","BOL","MLE","28","28.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","CIV","FMLE","16","16.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AMR","","COL","FMLE","24","24.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","GHA","FMLE","28","28.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AMR","","HTI","MLE","28","28.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AMR","","HTI","FMLE","35","35.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","LBR","FMLE","36","36.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","LSO","MLE","29","29.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","LSO","FMLE","39","39.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","MWI","FMLE","42","42.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","MWI","MLE","45","45.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","SEAR","","NPL","MLE","34","34.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AMR","","PER","FMLE","22","22.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","WPR","","PHL","FMLE","15","15.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","STP","MLE","43","43.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","STP","FMLE","43","43.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","SWZ","MLE","52","52.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","SWZ","FMLE","52","52.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","EUR","","UKR","FMLE","45","45.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","BDI","MLE","47","47.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","BFA","MLE","36","36.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","CMR","FMLE","29","29.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","COD","MLE","21","21.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","COG","MLE","28","28.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","GAB","MLE","36","36.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","GIN","FMLE","20","20.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AMR","","HND","FMLE","33","33.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","EMR","","JOR","FMLE","13","13.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","LBR","MLE","29","29.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","MDG","MLE","26","26.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","NAM","FMLE","59","59.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","SEAR","","NPL","FMLE","26","26.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","RWA","MLE","46","46.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","SLE","MLE","30","30.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","SEAR","","TLS","FMLE","12","12.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","UGA","MLE","40","40.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","ZMB","FMLE","34","34.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","BEN","FMLE","25","25.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","BEN","MLE","31","31.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","COD","FMLE","15","15.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AMR","","DOM","FMLE","45","45.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","ETH","FMLE","24","24.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","ETH","MLE","34","34.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AFR","","GIN","MLE","32","32.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AMR","","GUY","MLE","47","47.00000","","",""
"MDG_0000000021","PUBLISHED","2007-2013","AMR","","GUY","FMLE","54","54.00000","","",""
