"GHO","PUBLISHSTATE","YEAR","REGION","AMRGLASSCATEGORY","Display Value","Numeric","Low","High","Comments"
"AMRGLASS_COORD01","PUBLISHED","2018","EUR","AMRGLASS_DOESITEXIST03","1","1.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","EMR","AMRGLASS_DOESITEXIST03","1","1.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","AFR","AMRGLASS_DOESITEXIST03","1","1.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","SEAR","AMRGLASS_DOESITEXIST02","4","4.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","EUR","AMRGLASS_DOESITEXIST02","13","13.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","EMR","AMRGLASS_DOESITEXIST02","11","11.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","AMR","AMRGLASS_DOESITEXIST02","1","1.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","AFR","AMRGLASS_DOESITEXIST02","4","4.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","WPR","AMRGLASS_DOESITEXIST01","6","6.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","SEAR","AMRGLASS_DOESITEXIST01","4","4.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","EUR","AMRGLASS_DOESITEXIST01","8","8.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","EMR","AMRGLASS_DOESITEXIST01","2","2.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","AMR","AMRGLASS_DOESITEXIST01","2","2.00000","","",""
"AMRGLASS_COORD01","PUBLISHED","2018","AFR","AMRGLASS_DOESITEXIST01","9","9.00000","","",""
