"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"MDG_0000000013","MIS_2007","PUBLISHED","2007","AFR","AGO","TOTL","17.4 [13.4-21.4]","17.40000","13.40000","21.40000",""
"MDG_0000000013","MIS_2007","PUBLISHED","2007","AFR","AGO","URB","16.2 [11-21.4]","16.20000","11.00000","21.40000",""
"MDG_0000000013","MICS_2005","PUBLISHED","2005","AFR","BDI","TOTL","93.4 [90.6-96.3]","93.40000","90.60000","96.30000",""
"MDG_0000000013","MIS_2012","PUBLISHED","2012","AFR","BDI","URB","71.1 [65.1-77.2]","71.10000","65.10000","77.20000",""
"MDG_0000000013","DHS_2010","PUBLISHED","2010","AFR","BFA","RUR","47.3 [45-49.7]","47.30000","45.00000","49.70000",""
"MDG_0000000013","MICS_2006","PUBLISHED","2006","AFR","BFA","TOTL","53.3 [45.2-61.3]","53.30000","45.20000","61.30000",""
"MDG_0000000013","MICS_2006","PUBLISHED","2006","AFR","CAF","TOTL","60.3 [52.1-68.5]","60.30000","52.10000","68.50000",""
"MDG_0000000013","MICS_2006","PUBLISHED","2006","AFR","CIV","RUR","24.6 [17.6-31.5]","24.60000","17.60000","31.50000",""
"MDG_0000000013","DHS_2005","PUBLISHED","2005","AFR","CIV","TOTL","1.6 [0.5-2.8]","1.60000","0.50000","2.80000",""
"MDG_0000000013","DHS_2012","PUBLISHED","2012","AFR","CIV","URB","30.8 [27.1-34.5]","30.80000","27.10000","34.50000",""
"MDG_0000000013","DHS_2004","PUBLISHED","2004","AFR","CMR","TOTL","1.1 [0.7-1.4]","1.10000","0.70000","1.40000",""
"MDG_0000000013","DHS_2011","PUBLISHED","2011","AFR","CMR","URB","13 [11.4-14.5]","13.00000","11.40000","14.50000",""
"MDG_0000000013","DHS_2012","PUBLISHED","2012","AFR","COG","TOTL","30.6 [28.1-33.2]","30.60000","28.10000","33.20000",""
"MDG_0000000013","DHS_2012","PUBLISHED","2012","AFR","COG","URB","22.9 [20.1-25.6]","22.90000","20.10000","25.60000",""
"MDG_0000000013","DHS_2012","PUBLISHED","2012","AFR","GAB","RUR","37.1 [33.4-40.9]","37.10000","33.40000","40.90000",""
"MDG_0000000013","DHS_2012","PUBLISHED","2012","AFR","GAB","URB","39.1 [35.7-42.5]","39.10000","35.70000","42.50000",""
"MDG_0000000013","DHS_2008","PUBLISHED","2008","AFR","GHA","RUR","42.2 [39.3-45]","42.20000","39.30000","45.00000",""
"MDG_0000000013","MICS_2006","PUBLISHED","2006","AFR","GHA","URB","63 [52.6-73.5]","63.00000","52.60000","73.50000",""
"MDG_0000000013","DHS_2003","PUBLISHED","2003","AFR","GHA","URB","3.7 [2.1-5.3]","3.70000","2.10000","5.30000",""
"MDG_0000000013","MICS_2006","PUBLISHED","2006","AFR","GNB","RUR","52.2 [48.1-56.2]","52.20000","48.10000","56.20000",""
"MDG_0000000013","MICS_2006","PUBLISHED","2006","AFR","GNB","URB","39.9 [35-44.9]","39.90000","35.00000","44.90000",""
"MDG_0000000013","DHS_2009","PUBLISHED","2009","AMR","GUY","URB","12.2 [7.3-17.1]","12.20000","7.30000","17.10000",""
"MDG_0000000013","DHS_2012","PUBLISHED","2012","AMR","HTI","RUR","7.5 [6.1-8.9]","7.50000","6.10000","8.90000",""
"MDG_0000000013","DHS_2012","PUBLISHED","2012","AMR","HTI","URB","20.5 [18-23]","20.50000","18.00000","23.00000",""
"MDG_0000000013","DHS_2003","PUBLISHED","2003","AFR","KEN","RUR","4.6 [3.5-5.6]","4.60000","3.50000","5.60000",""
"MDG_0000000013","DHS_2003","PUBLISHED","2003","AFR","KEN","TOTL","5.9 [4.9-7]","5.90000","4.90000","7.00000",""
"MDG_0000000013","MIS_2009","PUBLISHED","2009","AFR","LBR","RUR","27.3 [22.2-32.4]","27.30000","22.20000","32.40000",""
"MDG_0000000013","MIS_2009","PUBLISHED","2009","AFR","LBR","TOTL","25.8 [22.1-29.5]","25.80000","22.10000","29.50000",""
"MDG_0000000013","MIS_2011","PUBLISHED","2011","AFR","MDG","URB","79.2 [74.7-83.7]","79.20000","74.70000","83.70000",""
"MDG_0000000013","DHS_2010","PUBLISHED","2010","AFR","MLI","RUR","71.3 [66.6-76]","71.30000","66.60000","76.00000",""
"MDG_0000000013","DHS_2006","PUBLISHED","2006","AFR","MLI","URB","28.4 [23.1-33.7]","28.40000","23.10000","33.70000",""
"MDG_0000000013","DHS_2011","PUBLISHED","2011","AFR","MOZ","TOTL","35.5 [33.4-37.5]","35.50000","33.40000","37.50000",""
"MDG_0000000013","DHS_2004","PUBLISHED","2004","AFR","MWI","TOTL","14.4 [13-15.9]","14.40000","13.00000","15.90000",""
"MDG_0000000013","DHS_2010","PUBLISHED","2010","AFR","MWI","URB","47.4 [42.5-52.3]","47.40000","42.50000","52.30000",""
"MDG_0000000013","DHS_2006","PUBLISHED","2006","AFR","NER","URB","14.1 [10.9-17.3]","14.10000","10.90000","17.30000",""
"MDG_0000000013","MICS_2007","PUBLISHED","2007","AFR","NGA","RUR","96.7 [94.2-99.2]","96.70000","94.20000","99.20000",""
"MDG_0000000013","DHS_2008","PUBLISHED","2008","AFR","NGA","TOTL","5.4 [4.8-6]","5.40000","4.80000","6.00000",""
"MDG_0000000013","MIS_2010","PUBLISHED","2010","AFR","NGA","URB","21.9 [16-27.9]","21.90000","16.00000","27.90000",""
"MDG_0000000013","DHS_2010","PUBLISHED","2010","AFR","RWA","TOTL","68.9 [67.4-70.4]","68.90000","67.40000","70.40000",""
"MDG_0000000013","DHS_2005","PUBLISHED","2005","AFR","RWA","TOTL","12.5 [11-13.9]","12.50000","11.00000","13.90000",""
"MDG_0000000013","MIS_2009","PUBLISHED","2009","AFR","SEN","RUR","28.6 [25.4-31.9]","28.60000","25.40000","31.90000",""
"MDG_0000000013","DHS_2011","PUBLISHED","2011","AFR","SEN","RUR","36 [32.7-39.3]","36.00000","32.70000","39.30000",""
"MDG_0000000013","DHS_2005","PUBLISHED","2005","AFR","SEN","TOTL","7 [5.8-8.2]","7.00000","5.80000","8.20000",""
"MDG_0000000013","MIS_2006","PUBLISHED","2006","AFR","SEN","URB","15 [11.6-18.5]","15.00000","11.60000","18.50000",""
"MDG_0000000013","MICS_2005","PUBLISHED","2005","AFR","SLE","URB","27 [20.8-33.2]","27.00000","20.80000","33.20000",""
"MDG_0000000013","DHS_2009","PUBLISHED","2009","AFR","STP","RUR","45.6 [40.3-50.9]","45.60000","40.30000","50.90000",""
"MDG_0000000013","MICS_2006","PUBLISHED","2006","AFR","TGO","TOTL","99.6 [99.3-100]","99.60000","99.30000","100.00000",""
"MDG_0000000013","DHS_2010","PUBLISHED","2010","SEAR","TLS","RUR","38.2 [35.6-40.8]","38.20000","35.60000","40.80000",""
"MDG_0000000013","DHS_2008","PUBLISHED","2008","AFR","TZA","RUR","20.1 [17.8-22.3]","20.10000","17.80000","22.30000",""
"MDG_0000000013","DHS_2012","PUBLISHED","2012","AFR","TZA","TOTL","70.3 [68.6-72.1]","70.30000","68.60000","72.10000",""
"MDG_0000000013","DHS_2005","PUBLISHED","2005","AFR","TZA","URB","38.6 [32.9-44.4]","38.60000","32.90000","44.40000",""
"MDG_0000000013","DHS_2011","PUBLISHED","2011","AFR","UGA","RUR","40.9 [38.3-43.5]","40.90000","38.30000","43.50000",""
