"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS7_105","NHA_AFG","PUBLISHED","2004","EMR","WB_LI","AFG","87.52","87.52090","","",""
"WHS7_105","NHA_AFG","PUBLISHED","2009","EMR","WB_LI","AFG","148.00","148.00120","","",""
"WHS7_105","","PUBLISHED","1998","AFR","WB_UMI","AGO","79.54","79.53523","","",""
"WHS7_105","","PUBLISHED","2007","AFR","WB_UMI","AGO","189.90","189.90187","","",""
"WHS7_105","","PUBLISHED","2009","AFR","WB_UMI","AGO","274.73","274.73451","","",""
"WHS7_105","","PUBLISHED","1998","EUR","WB_UMI","ALB","239.41","239.40640","","",""
"WHS7_105","","PUBLISHED","2012","EUR","WB_UMI","ALB","544.01","544.00617","","",""
"WHS7_105","","PUBLISHED","2001","EUR","WB_HI","AND","1914.26","1914.26486","","",""
"WHS7_105","","PUBLISHED","2010","EUR","WB_HI","AND","3325.20","3325.19713","","",""
"WHS7_105","","PUBLISHED","2004","EMR","WB_HI","ARE","2183.05","2183.04617","","",""
"WHS7_105","","PUBLISHED","2013","EMR","WB_HI","ARE","2208.26","2208.26409","","",""
"WHS7_105","NHA_ARG","PUBLISHED","1995","AMR","WB_HI","ARG","646.08","646.08440","","",""
"WHS7_105","NHA_ARG","PUBLISHED","2004","AMR","WB_HI","ARG","785.41","785.40883","","",""
"WHS7_105","NHA_ARG","PUBLISHED","2013","AMR","WB_HI","ARG","1174.49","1174.48542","","",""
"WHS7_105","","PUBLISHED","1998","EUR","WB_LMI","ARM","115.83","115.83368","","",""
"WHS7_105","","PUBLISHED","2007","EUR","WB_LMI","ARM","279.36","279.36321","","",""
"WHS7_105","","PUBLISHED","2009","EUR","WB_LMI","ARM","279.91","279.91463","","",""
"WHS7_105","NHA_ATG","PUBLISHED","1996","AMR","WB_HI","ATG","612.48","612.48490","","",""
"WHS7_105","NHA_ATG","PUBLISHED","1998","AMR","WB_HI","ATG","652.81","652.80501","","",""
"WHS7_105","NHA_ATG","PUBLISHED","2012","AMR","WB_HI","ATG","1128.18","1128.17637","","",""
"WHS7_105","NHA_ATG","PUBLISHED","2014","AMR","WB_HI","ATG","1208.08","1208.07585","","",""
"WHS7_105","NHA_AUS","PUBLISHED","2001","WPR","WB_HI","AUS","2426.96","2426.96435","","",""
"WHS7_105","NHA_AUS","PUBLISHED","2010","WPR","WB_HI","AUS","3857.73","3857.73005","","",""
"WHS7_105","","PUBLISHED","1999","EUR","WB_HI","AUT","2773.21","2773.20651","","",""
"WHS7_105","","PUBLISHED","2013","EUR","WB_HI","AUT","4889.15","4889.14601","","",""
"WHS7_105","NHA_AZE","PUBLISHED","1995","EUR","WB_UMI","AZE","138.65","138.65411","","",""
"WHS7_105","NHA_AZE","PUBLISHED","2004","EUR","WB_UMI","AZE","431.61","431.60807","","",""
"WHS7_105","NHA_AZE","PUBLISHED","2013","EUR","WB_UMI","AZE","948.95","948.95110","","",""
"WHS7_105","NHA_BDI","PUBLISHED","1998","AFR","WB_LI","BDI","31.85","31.84791","","",""
"WHS7_105","NHA_BDI","PUBLISHED","2007","AFR","WB_LI","BDI","65.87","65.86848","","",""
"WHS7_105","","PUBLISHED","1996","EUR","WB_HI","BEL","1808.80","1808.79556","","",""
"WHS7_105","","PUBLISHED","1998","EUR","WB_HI","BEL","1923.80","1923.79863","","",""
"WHS7_105","","PUBLISHED","2014","EUR","WB_HI","BEL","4391.60","4391.59514","","",""
"WHS7_105","","PUBLISHED","2001","AFR","WB_LI","BEN","59.64","59.64440","","",""
"WHS7_105","","PUBLISHED","2010","AFR","WB_LI","BEN","79.34","79.34248","","",""
"WHS7_105","","PUBLISHED","1997","AFR","WB_LI","BFA","37.57","37.57250","","",""
"WHS7_105","","PUBLISHED","1999","AFR","WB_LI","BFA","42.69","42.68723","","",""
"WHS7_105","","PUBLISHED","2013","AFR","WB_LI","BFA","96.72","96.72003","","",""
"WHS7_105","NHA_BGD","PUBLISHED","1995","SEAR","WB_LMI","BGD","33.85","33.84762","","",""
"WHS7_105","NHA_BGD","PUBLISHED","2002","SEAR","WB_LMI","BGD","36.93","36.93081","","",""
"WHS7_105","NHA_BGD","PUBLISHED","2004","SEAR","WB_LMI","BGD","41.62","41.62296","","",""
"WHS7_105","NHA_BGD","PUBLISHED","2013","SEAR","WB_LMI","BGD","84.68","84.68116","","",""
"WHS7_105","","PUBLISHED","1998","EUR","WB_UMI","BGR","284.97","284.97153","","",""
"WHS7_105","","PUBLISHED","2002","EUR","WB_UMI","BGR","574.77","574.77430","","",""
"WHS7_105","","PUBLISHED","2007","EUR","WB_UMI","BGR","850.89","850.88681","","",""
"WHS7_105","NHA_BHR","PUBLISHED","1996","EMR","WB_HI","BHR","1517.77","1517.76921","","",""
"WHS7_105","NHA_BHR","PUBLISHED","1998","EMR","WB_HI","BHR","1653.97","1653.97033","","",""
"WHS7_105","NHA_BHR","PUBLISHED","2005","EMR","WB_HI","BHR","1255.98","1255.98043","","",""
"WHS7_105","NHA_BHR","PUBLISHED","2007","EMR","WB_HI","BHR","1261.23","1261.22790","","",""
"WHS7_105","","PUBLISHED","2001","AMR","WB_HI","BHS","1087.48","1087.47504","","",""
"WHS7_105","","PUBLISHED","2010","AMR","WB_HI","BHS","1668.11","1668.11045","","",""
"WHS7_105","","PUBLISHED","1999","EUR","WB_UMI","BIH","364.14","364.13712","","",""
"WHS7_105","","PUBLISHED","2008","EUR","WB_UMI","BIH","754.88","754.88172","","",""
"WHS7_105","","PUBLISHED","2002","EUR","WB_UMI","BLR","435.47","435.47298","","",""
"WHS7_105","","PUBLISHED","2004","EUR","WB_UMI","BLR","561.70","561.69550","","",""
"WHS7_105","","PUBLISHED","2013","EUR","WB_UMI","BLR","1068.23","1068.22922","","",""
"WHS7_105","NHA_BLZ","PUBLISHED","2002","AMR","WB_UMI","BLZ","261.26","261.26016","","",""
"WHS7_105","NHA_BLZ","PUBLISHED","2007","AMR","WB_UMI","BLZ","354.47","354.46632","","",""
"WHS7_105","NHA_BOL","PUBLISHED","1996","AMR","WB_LMI","BOL","144.32","144.32089","","",""
