"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUGPRESCRIPTION","Display Value","Numeric","Low","High","Comments"
"RSUD_65","PUBLISHED","2008","EUR","ISR","ANY_DOCTOR","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","ITA","ANY_DOCTOR","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","ITA","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","ITA","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","LVA","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","LVA","ANY_DOCTOR","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","LVA","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","LTU","ANY_DOCTOR","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","LTU","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","LTU","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","LUX","ANY_DOCTOR","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","LUX","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","LUX","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","MLT","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","MLT","ANY_DOCTOR","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","MLT","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","SEAR","NPL","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","SEAR","NPL","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","SEAR","NPL","ANY_DOCTOR","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","NLD","ANY_DOCTOR","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","NLD","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","NLD","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","WPR","NZL","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","WPR","NZL","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","WPR","NZL","ANY_DOCTOR","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","NOR","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","NOR","SPECIALIZED_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","NOR","ANY_DOCTOR","yes","","","",""
"RSUD_65","PUBLISHED","2008","EMR","PAK","ANY_DOCTOR","no","","","",""
"RSUD_65","PUBLISHED","2008","EMR","PAK","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","EMR","PAK","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","AFR","SEN","ANY_DOCTOR","yes","","","",""
"RSUD_65","PUBLISHED","2008","AFR","SEN","SPECIALIZED_DOCTORS","yes","","","",""
