"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_PG_310","FPAFG2007","PUBLISHED","2007","EMR","AFG","TOTL","2.42","2.42000","","",""
"FINPROTECTION_IMP_PG_310","FPAFG2007","PUBLISHED","2007","EMR","AFG","URB","0.47","0.47000","","",""
"FINPROTECTION_IMP_PG_310","FPAFG2007","PUBLISHED","2007","EMR","AFG","RUR","2.94","2.94000","","",""
"FINPROTECTION_IMP_PG_310","FPAFG2013","PUBLISHED","2013","EMR","AFG","TOTL","9.13","9.13000","","",""
"FINPROTECTION_IMP_PG_310","FPAFG2013","PUBLISHED","2013","EMR","AFG","URB","6.84","6.84000","","",""
"FINPROTECTION_IMP_PG_310","FPAFG2013","PUBLISHED","2013","EMR","AFG","RUR","9.52","9.52000","","",""
"FINPROTECTION_IMP_PG_310","FPAGO2008","PUBLISHED","2008","AFR","AGO","TOTL","4.61","4.61000","","",""
"FINPROTECTION_IMP_PG_310","FPAGO2008","PUBLISHED","2008","AFR","AGO","URB","4.77","4.77000","","",""
"FINPROTECTION_IMP_PG_310","FPAGO2008","PUBLISHED","2008","AFR","AGO","RUR","4.47","4.47000","","",""
"FINPROTECTION_IMP_PG_310","FPALB1996","PUBLISHED","1996","EUR","ALB","TOTL","2.40","2.40000","","",""
"FINPROTECTION_IMP_PG_310","FPALB1996","PUBLISHED","1996","EUR","ALB","URB","1.19","1.19000","","",""
"FINPROTECTION_IMP_PG_310","FPALB1996","PUBLISHED","1996","EUR","ALB","RUR","3.05","3.05000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2002","PUBLISHED","2002","EUR","ALB","TOTL","3.98","3.98000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2002","PUBLISHED","2002","EUR","ALB","URB","2.39","2.39000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2002","PUBLISHED","2002","EUR","ALB","RUR","5.12","5.12000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2005","PUBLISHED","2005","EUR","ALB","TOTL","2.47","2.47000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2005","PUBLISHED","2005","EUR","ALB","URB","3.25","3.25000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2005","PUBLISHED","2005","EUR","ALB","RUR","1.47","1.47000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2008","PUBLISHED","2008","EUR","ALB","TOTL","1.04","1.04000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2008","PUBLISHED","2008","EUR","ALB","URB","1.33","1.33000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2008","PUBLISHED","2008","EUR","ALB","RUR","0.73","0.73000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2012","PUBLISHED","2012","EUR","ALB","TOTL","1.22","1.22000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2012","PUBLISHED","2012","EUR","ALB","URB","1.10","1.10000","","",""
"FINPROTECTION_IMP_PG_310","FPALB2012","PUBLISHED","2012","EUR","ALB","RUR","1.36","1.36000","","",""
"FINPROTECTION_IMP_PG_310","FPARG1996","PUBLISHED","1996","AMR","ARG","TOTL","0.76","0.76000","","",""
"FINPROTECTION_IMP_PG_310","FPARG2004","PUBLISHED","2004","AMR","ARG","TOTL","0.69","0.69000","","",""
"FINPROTECTION_IMP_PG_310","FPARG2004","PUBLISHED","2004","AMR","ARG","URB","0.68","0.68000","","",""
"FINPROTECTION_IMP_PG_310","FPARG2004","PUBLISHED","2004","AMR","ARG","RUR","0.85","0.85000","","",""
"FINPROTECTION_IMP_PG_310","FPARM1999","PUBLISHED","1999","EUR","ARM","TOTL","6.44","6.44000","","",""
"FINPROTECTION_IMP_PG_310","FPARM1999","PUBLISHED","1999","EUR","ARM","URB","6.73","6.73000","","",""
"FINPROTECTION_IMP_PG_310","FPARM1999","PUBLISHED","1999","EUR","ARM","RUR","6.06","6.06000","","",""
"FINPROTECTION_IMP_PG_310","FPARM2001","PUBLISHED","2001","EUR","ARM","TOTL","6.54","6.54000","","",""
"FINPROTECTION_IMP_PG_310","FPARM2001","PUBLISHED","2001","EUR","ARM","URB","7.45","7.45000","","",""
"FINPROTECTION_IMP_PG_310","FPARM2001","PUBLISHED","2001","EUR","ARM","RUR","5.29","5.29000","","",""
"FINPROTECTION_IMP_PG_310","FPARM2002","PUBLISHED","2002","EUR","ARM","TOTL","4.61","4.61000","","",""
"FINPROTECTION_IMP_PG_310","FPARM2002","PUBLISHED","2002","EUR","ARM","URB","4.97","4.97000","","",""
"FINPROTECTION_IMP_PG_310","FPARM2002","PUBLISHED","2002","EUR","ARM","RUR","4.10","4.10000","","",""
"FINPROTECTION_IMP_PG_310","FPARM2003","PUBLISHED","2003","EUR","ARM","TOTL","3.67","3.67000","","",""
"FINPROTECTION_IMP_PG_310","FPARM2003","PUBLISHED","2003","EUR","ARM","URB","2.96","2.96000","","",""
"FINPROTECTION_IMP_PG_310","FPARM2003","PUBLISHED","2003","EUR","ARM","RUR","4.69","4.69000","","",""
"FINPROTECTION_IMP_PG_310","FPARM2004","PUBLISHED","2004","EUR","ARM","TOTL","2.98","2.98000","","",""
