"GHO","PUBLISHSTATE","YEAR","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","TON","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GBR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ZMB","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ALB","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","AUS","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BEL","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BLZ","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BRN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BFA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CRI","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CIV","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","DNK","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","DOM","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ERI","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GHA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","HND","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","IRL","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","KGZ","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MHL","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","NER","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","PER","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SLB","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SWZ","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SWE","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ARE","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","AND","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BGD","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BOL","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CMR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","COL","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CUB","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SLV","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GNQ","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","FRA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GTM","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","LSO","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","LBR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MLI","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","NIC","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","PAK","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","PAN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SYC","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SVK","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SDN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","URY","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BHR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BEN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CYP","No","","","",""
