"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","GHECAUSES","Display Value","Numeric","Low","High","Comments"
"NCD_DTH_TOT","PUBLISHED","2000","EUR","RUS","FMLE","","948900","948868.50000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","SAU","FMLE","","23900","23937.40000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EMR","SDN","FMLE","","46900","46940.86000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","SEN","FMLE","","13500","13476.95000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","SLE","FMLE","","11200","11238.11000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","SRB","FMLE","","54900","54859.81000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","SVK","FMLE","","22500","22465.37000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","SWE","FMLE","","42500","42542.68000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","SWE","FMLE","","43300","43272.29000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","SYR","FMLE","","21000","21009.42000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","TGO","FMLE","","7100","7091.37200","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","TJK","FMLE","","13400","13434.12000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","TKM","FMLE","","13000","13001.61000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EMR","TUN","FMLE","","23100","23098.86000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","UGA","FMLE","","45500","45482.51000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","UKR","FMLE","","340100","340062.40000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","USA","FMLE","","1104900","1104939.00000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","UZB","FMLE","","73000","73008.26000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","WPR","VNM","FMLE","","134000","133980.80000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","YEM","FMLE","","21900","21900.66000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","ZWE","FMLE","","18700","18675.39000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","AGO","MLE","","35700","35706.71000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","ARE","MLE","","2900","2936.61800","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","ARG","MLE","","128000","128035.10000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","ARM","MLE","","12300","12273.92000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","BDI","MLE","","17400","17423.59000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","BEN","MLE","","15700","15695.42000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","BHS","MLE","","500","519.47280","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","BIH","MLE","","16300","16322.25000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","BLR","MLE","","56100","56088.97000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","BOL","MLE","","17000","16960.98000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","SEAR","BTN","MLE","","1500","1454.98200","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","CAF","MLE","","6500","6452.67000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","CAF","MLE","","5200","5209.34200","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","CHE","MLE","","26900","26884.46000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","CHL","MLE","","31000","31020.16000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","WPR","CHN","MLE","","4568700","4568728.00000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","COD","MLE","","67700","67687.87000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","COG","MLE","","4900","4900.83900","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","CPV","MLE","","800","803.31250","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","CRI","MLE","","6400","6431.00500","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","CZE","MLE","","47700","47694.12000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","DEU","MLE","","352000","351965.30000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","DOM","MLE","","16600","16551.01000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","ECU","MLE","","20700","20745.37000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","ECU","MLE","","28100","28147.42000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","ERI","MLE","","5600","5604.40900","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","ERI","MLE","","7700","7668.31200","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","EST","MLE","","6500","6525.06300","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","FIN","MLE","","22600","22614.68000","","",""
