"GHO","PUBLISHSTATE","YEAR","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_2","PUBLISHED","2000","GRC","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","GRD","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","GTM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2009","GIN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","GNB","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","GUY","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","HTI","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","HND","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","HUN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","ISL","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","IND","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","IDN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","IRN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","IRQ","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","IRL","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","ISR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","ITA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","JAM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","JPN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","JOR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","KAZ","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","","KEN","Countries at preNTD_2 stage","","","",""
"NTD_2","PUBLISHED","1997","KIR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","KWT","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","KGZ","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","LAO","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","LVA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","LBN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","LSO","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2007","LBR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","LBY","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","LTU","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","LUX","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","MDG","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","MWI","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","MYS","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","MDV","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","","MLI","Endemic for dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","MLT","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2009","MHL","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2009","MRT","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","MUS","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","MEX","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","FSM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","MCO","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","MNG","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","MNE","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","MAR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2007","MOZ","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","MMR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","NAM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","NRU","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","NPL","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","NLD","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","NZL","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","NIC","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2013","NER","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2013","NGA","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","NIU","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","NOR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","OMN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","PAK","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2009","PLW","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","PAN","Certified free of dracunculiasis","","","",""
