"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"obesewm","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200003","1.1 [0.4-3.0]","1.13690","0.43237","2.95538",""
"obesewm","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200006","0.5 [0.1-2.0]","0.49883","0.12567","1.95838",""
"obesewm","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200010","0.6 [0.2-2.5]","0.63786","0.16258","2.46818",""
"obesewm","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200014","0.3 [0.0-2.0]","0.27065","0.03615","1.99588",""
"obesewm","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200017","0.2 [0.0-1.8]","0.24176","0.03251","1.77400",""
"obesewm","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","KHMDHS200021","0.3 [0.0-1.8]","0.25787","0.03605","1.81965",""
"obesewm","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","KHMDHS200502","0.4 [0.1-2.5]","0.35691","0.05072","2.46579",""
"obesewm","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","KHMDHS200503","0.7 [0.2-2.6]","0.71890","0.19646","2.59459",""
"obesewm","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","KHMDHS201004","1.3 [0.4-4.2]","1.25606","0.36518","4.22814",""
"obesewm","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","KHMDHS201405","2.8 [1.6-4.9]","2.78767","1.57152","4.89810",""
"obesewm","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","KHMDHS201406","2.5 [1.4-4.6]","2.51179","1.35385","4.61377",""
"obesewm","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","KHMDHS200508","3.2 [2.1-4.8]","3.22653","2.14244","4.83211",""
"obesewm","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","KHMDHS201009","1.0 [0.2-4.0]","0.95647","0.22474","3.97574",""
"obesewm","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","KHMDHS201010","2.2 [1.1-4.6]","2.23549","1.06338","4.63898",""
"obesewm","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","KHMDHS201411","3.0 [1.9-4.5]","2.97067","1.93683","4.53085",""
"obesewm","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","KHMDHS200514","0.7 [0.3-2.1]","0.73937","0.26122","2.07457",""
"obesewm","EQ_MICS","PUBLISHED","2011","WPR","LAO","","","","LAOMICS201102","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2011","WPR","LAO","","","","LAOMICS201109","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2011","WPR","LAO","","","","LAOMICS201113","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2011","WPR","LAO","","","","LAOMICS201116","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2007","AFR","LBR","","","","LBRDHS200703","7.4 [5.6-9.7]","7.38832","5.58072","9.72113",""
"obesewm","EQ_DHS","PUBLISHED","2013","AFR","LBR","","","","LBRDHS201301","9.1 [7.0-11.8]","9.11296","6.96599","11.83743",""
"obesewm","EQ_DHS","PUBLISHED","2013","AFR","LBR","","","","LBRDHS201304","6.0 [4.7-7.8]","6.04130","4.65807","7.80167",""
"obesewm","EQ_DHS","PUBLISHED","2009","AFR","LSO","","","","LSODHS200902","16.4 [13.0-20.5]","16.42454","13.02264","20.50560",""
"obesewm","EQ_DHS","PUBLISHED","2014","AFR","LSO","","","","LSODHS201403","21.6 [17.8-25.8]","21.55692","17.82500","25.82463",""
"obesewm","EQ_DHS","PUBLISHED","2014","AFR","LSO","","","","LSODHS201404","21.7 [16.6-27.8]","21.68054","16.61477","27.77635",""
"obesewm","EQ_DHS","PUBLISHED","2004","AFR","LSO","","","","LSODHS200406","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2009","AFR","LSO","","","","LSODHS200907","13.9 [10.5-18.3]","13.94069","10.47429","18.31954",""
"obesewm","EQ_DHS","PUBLISHED","2004","AFR","LSO","","","","LSODHS200409","8.6 [5.2-13.8]","8.55322","5.16896","13.83010",""
"obesewm","EQ_DHS","PUBLISHED","2009","AFR","LSO","","","","LSODHS200910","8.4 [5.2-13.3]","8.38986","5.18696","13.29323",""
"obesewm","EQ_DHS","PUBLISHED","2003","EMR","MAR","","","","MARDHS200301","10.7 [8.3-13.5]","10.65163","8.33061","13.52392",""
"obesewm","EQ_DHS","PUBLISHED","2003","EMR","MAR","","","","MARDHS200304","6.6 [5.0-8.8]","6.64937","4.99268","8.80483",""
"obesewm","EQ_DHS","PUBLISHED","2003","EMR","MAR","","","","MARDHS200308","14.5 [12.9-16.3]","14.48615","12.85554","16.28495",""
"obesewm","EQ_DHS","PUBLISHED","2003","EMR","MAR","","","","MARDHS200312","7.2 [5.7-9.0]","7.17947","5.73065","8.95978",""
"obesewm","EQ_DHS","PUBLISHED","2003","EMR","MAR","","","","MARDHS200315","13.8 [11.7-16.2]","13.76206","11.67761","16.15053",""
"obesewm","EQ_DHS","PUBLISHED","2005","EUR","MDA","","","","MDADHS200504","14.4 [12.6-16.5]","14.43439","12.55495","16.54196",""
"obesewm","EQ_DHS","PUBLISHED","1997","AFR","MDG","","","","MDGDHS199702","0.5 [0.1-2.0]","0.48427","0.11696","1.98223",""
"obesewm","EQ_DHS","PUBLISHED","2003","AFR","MDG","","","","MDGDHS200303","0.9 [0.4-1.9]","0.85492","0.37435","1.94042",""
"obesewm","EQ_DHS","PUBLISHED","2003","AFR","MDG","","","","MDGDHS200305","1.1 [0.6-2.1]","1.13372","0.61817","2.07026",""
"obesewm","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","MDGDHS200805","0.4 [0.1-1.8]","0.40582","0.09026","1.80474",""
"obesewm","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","MDGDHS200809","0.2 [0.0-1.5]","0.21297","0.03086","1.45425",""
"obesewm","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","MDGDHS200816","1.0 [0.3-3.2]","0.98137","0.29286","3.23605",""
"obesewm","EQ_DHS","PUBLISHED","2008","AFR","MDG","","","","MDGDHS200820","1.7 [0.7-4.3]","1.74022","0.69516","4.28851",""
"obesewm","EQ_DHS","PUBLISHED","2009","SEAR","MDV","","","","MDVDHS200903","13.5 [11.1-16.3]","13.49593","11.10968","16.30074",""
"obesewm","EQ_DHS","PUBLISHED","2009","SEAR","MDV","","","","MDVDHS200904","13.6 [10.4-17.6]","13.60633","10.38994","17.62259",""
"obesewm","EQ_MICS","PUBLISHED","2005","EUR","MKD","","","","MKDMICS200501","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2005","EUR","MKD","","","","MKDMICS200505","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2011","EUR","MKD","","","","MKDMICS201101","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2011","EUR","MKD","","","","MKDMICS201105","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2011","EUR","MKD","","","","MKDMICS201108","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2009","AFR","MLI","","","","MLIMICS200901","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2006","AFR","MLI","","","","MLIDHS200602","1.4 [0.8-2.4]","1.35509","0.77002","2.37405",""
"obesewm","EQ_DHS","PUBLISHED","1995","AFR","MLI","","","","MLIDHS199503","0.8 [0.3-2.2]","0.76341","0.25829","2.23426",""
"obesewm","EQ_DHS","PUBLISHED","2012","AFR","MLI","","","","MLIDHS201203","3.3 [2.4-4.6]","3.34133","2.44038","4.55934",""
"obesewm","EQ_MICS","PUBLISHED","2013","WPR","VNM","","","WQ5","","No data","","","","Not available."
