"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","Comments"
"MDG_0000000022","PUBLISHED","1995","AFR","","23","23.00000","23.00000","23.00000",""
"MDG_0000000022","PUBLISHED","2000","AFR","","36","36.00000","36.00000","36.00000",""
"MDG_0000000022","PUBLISHED","2007","AFR","","47","47.00000","47.00000","47.00000",""
"MDG_0000000022","PUBLISHED","2000","NOTSPEC","WB_HI","23","23.00000","23.00000","23.00000",""
"MDG_0000000022","PUBLISHED","2007","NOTSPEC","WB_HI","36","36.00000","36.00000","36.00000",""
"MDG_0000000022","PUBLISHED","1995","NOTSPEC","WB_LI","17","17.00000","17.00000","17.00000",""
"MDG_0000000022","PUBLISHED","2000","NOTSPEC","WB_LI","31","31.00000","31.00000","31.00000",""
"MDG_0000000022","PUBLISHED","2000","AMR","","43","43.00000","43.00000","43.00000",""
"MDG_0000000022","PUBLISHED","1995","EMR","","12","12.00000","12.00000","12.00000",""
"MDG_0000000022","PUBLISHED","2000","NOTSPEC","WB_WORLD_INCOME","28","28.00000","28.00000","28.00000",""
"MDG_0000000022","PUBLISHED","1995","NOTSPEC","WB_HI","20","20.00000","20.00000","20.00000",""
"MDG_0000000022","PUBLISHED","2007","NOTSPEC","WB_LI","50","50.00000","50.00000","50.00000",""
"MDG_0000000022","PUBLISHED","2000","NOTSPEC","WB_LMI","25","25.00000","25.00000","25.00000",""
"MDG_0000000022","PUBLISHED","2007","NOTSPEC","WB_UMI","72","72.00000","72.00000","72.00000",""
"MDG_0000000022","PUBLISHED","2000","WPR","","37","37.00000","37.00000","37.00000",""
"MDG_0000000022","PUBLISHED","1995","AMR","","26","26.00000","26.00000","26.00000",""
"MDG_0000000022","PUBLISHED","2007","AMR","","73","73.00000","73.00000","73.00000",""
"MDG_0000000022","PUBLISHED","2000","EMR","","25","25.00000","25.00000","25.00000",""
"MDG_0000000022","PUBLISHED","1995","NOTSPEC","WB_WORLD_INCOME","11","11.00000","11.00000","11.00000",""
"MDG_0000000022","PUBLISHED","2007","NOTSPEC","WB_WORLD_INCOME","63","63.00000","63.00000","63.00000",""
"MDG_0000000022","PUBLISHED","1995","NOTSPEC","WB_LMI","9","9.00000","9.00000","9.00000",""
"MDG_0000000022","PUBLISHED","2007","NOTSPEC","WB_LMI","72","72.00000","72.00000","72.00000",""
"MDG_0000000022","PUBLISHED","1995","WPR","","15","15.00000","15.00000","15.00000",""
"MDG_0000000022","PUBLISHED","2007","WPR","","77","77.00000","77.00000","77.00000",""
"MDG_0000000022","PUBLISHED","2007","EMR","","60","60.00000","60.00000","60.00000",""
"MDG_0000000022","PUBLISHED","1995","EUR","","3","3.00000","3.00000","3.00000",""
"MDG_0000000022","PUBLISHED","2000","EUR","","12","12.00000","12.00000","12.00000",""
"MDG_0000000022","PUBLISHED","2007","EUR","","51","51.00000","51.00000","51.00000",""
"MDG_0000000022","PUBLISHED","1995","SEAR","","1","1.00000","1.00000","1.00000",""
"MDG_0000000022","PUBLISHED","2000","SEAR","","18","18.00000","18.00000","18.00000",""
"MDG_0000000022","PUBLISHED","2007","SEAR","","69","69.00000","69.00000","69.00000",""
"MDG_0000000022","PUBLISHED","1995","NOTSPEC","WB_UMI","6","6.00000","6.00000","6.00000",""
"MDG_0000000022","PUBLISHED","2000","NOTSPEC","WB_UMI","35","35.00000","35.00000","35.00000",""
"MDG_0000000022","PUBLISHED","1995","GLOBAL","","11","11.00000","11.00000","11.00000",""
"MDG_0000000022","PUBLISHED","2000","GLOBAL","","28","28.00000","28.00000","28.00000",""
"MDG_0000000022","PUBLISHED","2007","GLOBAL","","63","63.00000","63.00000","63.00000",""
