"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PUBLICPLACE","Display Value","Numeric","Low","High","Comments"
"SA_0000001553","PUBLISHED","2016","AFR","ZAF","SA_EDUCATIONAL_BUILDINGS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","ZAF","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","ZAF","SA_RELIGIOUS_PLACES","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","TGO","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","TGO","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","UGA","SA_PARKS_AND_STREETS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","UGA","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","ZWE","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","ZWE","SA_PARKS_AND_STREETS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","ATG","SA_GOVERNMENT_OFFICES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","ATG","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","BRB","SA_HEALTH_CARE_ESTABLISHMENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","BRB","SA_GOVERNMENT_OFFICES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","BRB","SA_WORKPLACES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","BLZ","SA_HEALTH_CARE_ESTABLISHMENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","BLZ","SA_GOVERNMENT_OFFICES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","MEX","SA_PARKS_AND_STREETS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","MEX","SA_LEISURE_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","PRY","SA_GOVERNMENT_OFFICES","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","PRY","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","PER","SA_PARKS_AND_STREETS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","VCT","SA_HEALTH_CARE_ESTABLISHMENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","VCT","SA_GOVERNMENT_OFFICES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","VCT","SA_WORKPLACES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","SUR","SA_HEALTH_CARE_ESTABLISHMENTS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","SUR","SA_GOVERNMENT_OFFICES","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","URY","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","URY","SA_SPORTING_EVENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","AMR","URY","SA_WORKPLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","LBY","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","LBY","SA_LEISURE_EVENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","LBY","SA_RELIGIOUS_PLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","LBN","SA_RELIGIOUS_PLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","ARM","SA_SPORTING_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","AUT","SA_WORKPLACES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","ARM","SA_WORKPLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","AUT","SA_HEALTH_CARE_ESTABLISHMENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","PAK","SA_PARKS_AND_STREETS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","BIH","SA_SPORTING_EVENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","PAK","SA_LEISURE_EVENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","SDN","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","SDN","SA_PARKS_AND_STREETS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","SYR","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","SYR","SA_PARKS_AND_STREETS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","DJI","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","DJI","SA_SPORTING_EVENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","IRQ","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","IRQ","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","JOR","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","JOR","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","AUT","SA_SPORTING_EVENTS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","BEL","SA_PUBLIC_TRANSPORT","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","BEL","SA_SPORTING_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","BIH","SA_PUBLIC_TRANSPORT","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","LUX","SA_SPORTING_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","LUX","SA_WORKPLACES","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","MLT","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","MLT","SA_SPORTING_EVENTS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","MLT","SA_WORKPLACES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","LVA","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","CYP","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","CYP","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","CZE","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","CZE","SA_PUBLIC_TRANSPORT","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","EST","SA_RELIGIOUS_PLACES","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","FIN","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","FIN","SA_LEISURE_EVENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","FIN","SA_RELIGIOUS_PLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","DEU","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","DEU","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","GRC","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","GRC","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","IRL","SA_GOVERNMENT_OFFICES","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","IRL","SA_PARKS_AND_STREETS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","ISR","SA_GOVERNMENT_OFFICES","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","ISR","SA_PARKS_AND_STREETS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","NLD","SA_PUBLIC_TRANSPORT","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","NLD","SA_SPORTING_EVENTS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","NOR","SA_PUBLIC_TRANSPORT","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","NOR","SA_SPORTING_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","GBR","SA_HEALTH_CARE_ESTABLISHMENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","GBR","SA_GOVERNMENT_OFFICES","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","GBR","SA_WORKPLACES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","MDA","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","MDA","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","ROU","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
