"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS7_156","NHA_AFG","PUBLISHED","2002","EMR","WB_LI","AFG","15.48","15.48190","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2003","EMR","WB_LI","AFG","19.33","19.33237","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2004","EMR","WB_LI","AFG","20.89","20.89000","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2005","EMR","WB_LI","AFG","21.90","21.89580","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2006","EMR","WB_LI","AFG","22.18","22.18141","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2007","EMR","WB_LI","AFG","26.99","26.98895","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2008","EMR","WB_LI","AFG","33.81","33.80519","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2009","EMR","WB_LI","AFG","43.53","43.52544","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2010","EMR","WB_LI","AFG","52.89","52.88576","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2011","EMR","WB_LI","AFG","52.38","52.38255","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2012","EMR","WB_LI","AFG","58.17","58.16803","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2013","EMR","WB_LI","AFG","53.37","53.36597","","",""
"WHS7_156","NHA_AFG","PUBLISHED","2014","EMR","WB_LI","AFG","56.57","56.57453","","",""
"WHS7_156","","PUBLISHED","1995","AFR","WB_UMI","AGO","18.01","18.00618","","",""
"WHS7_156","","PUBLISHED","1996","AFR","WB_UMI","AGO","13.76","13.75622","","",""
"WHS7_156","","PUBLISHED","1997","AFR","WB_UMI","AGO","19.28","19.27912","","",""
"WHS7_156","","PUBLISHED","1998","AFR","WB_UMI","AGO","15.14","15.14206","","",""
"WHS7_156","","PUBLISHED","1999","AFR","WB_UMI","AGO","14.23","14.23259","","",""
"WHS7_156","","PUBLISHED","2000","AFR","WB_UMI","AGO","16.90","16.89917","","",""
"WHS7_156","","PUBLISHED","2001","AFR","WB_UMI","AGO","30.92","30.91774","","",""
"WHS7_156","","PUBLISHED","2002","AFR","WB_UMI","AGO","28.19","28.19060","","",""
"WHS7_156","","PUBLISHED","2003","AFR","WB_UMI","AGO","37.45","37.44843","","",""
"WHS7_156","","PUBLISHED","2004","AFR","WB_UMI","AGO","53.46","53.45644","","",""
"WHS7_156","","PUBLISHED","2005","AFR","WB_UMI","AGO","64.69","64.68519","","",""
"WHS7_156","","PUBLISHED","2006","AFR","WB_UMI","AGO","102.38","102.37923","","",""
"WHS7_156","","PUBLISHED","2007","AFR","WB_UMI","AGO","106.60","106.60252","","",""
"WHS7_156","","PUBLISHED","2008","AFR","WB_UMI","AGO","163.12","163.11605","","",""
"WHS7_156","","PUBLISHED","2009","AFR","WB_UMI","AGO","160.84","160.83548","","",""
"WHS7_156","","PUBLISHED","2010","AFR","WB_UMI","AGO","131.80","131.79621","","",""
"WHS7_156","","PUBLISHED","2011","AFR","WB_UMI","AGO","160.36","160.36072","","",""
"WHS7_156","","PUBLISHED","2012","AFR","WB_UMI","AGO","168.03","168.02722","","",""
"WHS7_156","","PUBLISHED","2013","AFR","WB_UMI","AGO","225.74","225.73659","","",""
"WHS7_156","","PUBLISHED","2014","AFR","WB_UMI","AGO","179.36","179.35785","","",""
"WHS7_156","","PUBLISHED","1995","EUR","WB_UMI","ALB","51.48","51.48380","","",""
"WHS7_156","","PUBLISHED","1996","EUR","WB_UMI","ALB","72.43","72.42533","","",""
"WHS7_156","","PUBLISHED","1997","EUR","WB_UMI","ALB","52.94","52.94162","","",""
"WHS7_156","","PUBLISHED","1998","EUR","WB_UMI","ALB","61.25","61.25168","","",""
"WHS7_156","","PUBLISHED","1999","EUR","WB_UMI","ALB","75.95","75.95312","","",""
"WHS7_156","","PUBLISHED","2000","EUR","WB_UMI","ALB","74.03","74.02882","","",""
"WHS7_156","","PUBLISHED","2001","EUR","WB_UMI","ALB","78.67","78.66820","","",""
"WHS7_156","","PUBLISHED","2002","EUR","WB_UMI","ALB","89.92","89.91616","","",""
"WHS7_156","","PUBLISHED","2003","EUR","WB_UMI","ALB","112.63","112.63012","","",""
"WHS7_156","","PUBLISHED","2004","EUR","WB_UMI","ALB","153.26","153.26255","","",""
"WHS7_156","","PUBLISHED","2005","EUR","WB_UMI","ALB","166.23","166.22793","","",""
"WHS7_156","","PUBLISHED","2006","EUR","WB_UMI","ALB","175.46","175.46111","","",""
"WHS7_156","","PUBLISHED","2007","EUR","WB_UMI","ALB","216.94","216.94308","","",""
"WHS7_156","","PUBLISHED","2008","EUR","WB_UMI","ALB","254.74","254.73504","","",""
"WHS7_156","","PUBLISHED","2009","EUR","WB_UMI","ALB","238.07","238.07098","","",""
"WHS7_156","","PUBLISHED","2010","EUR","WB_UMI","ALB","219.27","219.27386","","",""
"WHS7_156","","PUBLISHED","2011","EUR","WB_UMI","ALB","255.26","255.25560","","",""
"WHS7_156","","PUBLISHED","2012","EUR","WB_UMI","ALB","239.51","239.51287","","",""
"WHS7_156","","PUBLISHED","2013","EUR","WB_UMI","ALB","253.34","253.34190","","",""
"WHS7_156","","PUBLISHED","2014","EUR","WB_UMI","ALB","272.20","272.20429","","",""
"WHS7_156","","PUBLISHED","1995","EUR","WB_HI","AND","1282.52","1282.52259","","",""
"WHS7_156","","PUBLISHED","1996","EUR","WB_HI","AND","1386.66","1386.66115","","",""
"WHS7_156","","PUBLISHED","1997","EUR","WB_HI","AND","1395.52","1395.52150","","",""
"WHS7_156","","PUBLISHED","1998","EUR","WB_HI","AND","1831.21","1831.20947","","",""
"WHS7_156","","PUBLISHED","1999","EUR","WB_HI","AND","1369.16","1369.16128","","",""
"WHS7_156","","PUBLISHED","2000","EUR","WB_HI","AND","1242.21","1242.21098","","",""
"WHS7_156","","PUBLISHED","2001","EUR","WB_HI","AND","1268.63","1268.63335","","",""
"WHS7_156","","PUBLISHED","2002","EUR","WB_HI","AND","1450.80","1450.79647","","",""
"WHS7_156","","PUBLISHED","2003","EUR","WB_HI","AND","1827.84","1827.84176","","",""
"WHS7_156","","PUBLISHED","2004","EUR","WB_HI","AND","2127.74","2127.73675","","",""
"WHS7_156","","PUBLISHED","2005","EUR","WB_HI","AND","2089.67","2089.66776","","",""
"WHS7_156","","PUBLISHED","2006","EUR","WB_HI","AND","2256.10","2256.10300","","",""
"WHS7_156","","PUBLISHED","2007","EUR","WB_HI","AND","2997.57","2997.57275","","",""
"WHS7_156","","PUBLISHED","2008","EUR","WB_HI","AND","3081.87","3081.87022","","",""
"WHS7_156","","PUBLISHED","2009","EUR","WB_HI","AND","2897.93","2897.93204","","",""
"WHS7_156","","PUBLISHED","2010","EUR","WB_HI","AND","3173.99","3173.99169","","",""
"WHS7_156","","PUBLISHED","2011","EUR","WB_HI","AND","2794.50","2794.50281","","",""
"WHS7_156","","PUBLISHED","2012","EUR","WB_HI","AND","2993.73","2993.73011","","",""
"WHS7_156","","PUBLISHED","2013","EUR","WB_HI","AND","4914.39","4914.39118","","",""
"WHS7_156","","PUBLISHED","2014","EUR","WB_HI","AND","3746.33","3746.33416","","",""
"WHS7_156","","PUBLISHED","1995","EMR","WB_HI","ARE","737.42","737.42408","","",""
"WHS7_156","","PUBLISHED","1996","EMR","WB_HI","ARE","733.12","733.11813","","",""
"WHS7_156","","PUBLISHED","1997","EMR","WB_HI","ARE","755.51","755.50701","","",""
"WHS7_156","","PUBLISHED","1998","EMR","WB_HI","ARE","801.21","801.20627","","",""
"WHS7_156","","PUBLISHED","1999","EMR","WB_HI","ARE","794.56","794.56301","","",""
"WHS7_156","","PUBLISHED","2000","EMR","WB_HI","ARE","814.14","814.13693","","",""
"WHS7_156","","PUBLISHED","2001","EMR","WB_HI","ARE","797.59","797.59251","","",""
"WHS7_156","","PUBLISHED","2002","EMR","WB_HI","ARE","879.29","879.28515","","",""
"WHS7_156","","PUBLISHED","2003","EMR","WB_HI","ARE","907.58","907.58263","","",""
"WHS7_156","","PUBLISHED","2004","EMR","WB_HI","ARE","915.42","915.42306","","",""
"WHS7_156","","PUBLISHED","2005","EMR","WB_HI","ARE","935.02","935.01623","","",""
"WHS7_156","","PUBLISHED","2006","EMR","WB_HI","ARE","998.79","998.78517","","",""
"WHS7_156","","PUBLISHED","2007","EMR","WB_HI","ARE","1101.01","1101.01430","","",""
"WHS7_156","","PUBLISHED","2008","EMR","WB_HI","ARE","1338.93","1338.92670","","",""
"WHS7_156","","PUBLISHED","2009","EMR","WB_HI","ARE","1332.63","1332.63013","","",""
"WHS7_156","","PUBLISHED","2010","EMR","WB_HI","ARE","1349.45","1349.44866","","",""
"WHS7_156","","PUBLISHED","2011","EMR","WB_HI","ARE","1473.34","1473.33910","","",""
"WHS7_156","","PUBLISHED","2012","EMR","WB_HI","ARE","1433.11","1433.10555","","",""
"WHS7_156","","PUBLISHED","2013","EMR","WB_HI","ARE","1551.35","1551.34690","","",""
"WHS7_156","","PUBLISHED","2014","EMR","WB_HI","ARE","1610.80","1610.79898","","",""
"WHS7_156","NHA_ARG","PUBLISHED","1995","AMR","WB_HI","ARG","612.96","612.95824","","",""
"WHS7_156","NHA_ARG","PUBLISHED","1996","AMR","WB_HI","ARG","616.81","616.81447","","",""
"WHS7_156","NHA_ARG","PUBLISHED","1997","AMR","WB_HI","ARG","683.69","683.68795","","",""
"WHS7_156","NHA_ARG","PUBLISHED","1998","AMR","WB_HI","ARG","704.46","704.46066","","",""
"WHS7_156","NHA_ARG","PUBLISHED","1999","AMR","WB_HI","ARG","724.11","724.11128","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2000","AMR","WB_HI","ARG","706.90","706.90499","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2001","AMR","WB_HI","ARG","672.65","672.65233","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2002","AMR","WB_HI","ARG","223.91","223.90609","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2003","AMR","WB_HI","ARG","277.94","277.93844","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2004","AMR","WB_HI","ARG","323.75","323.75024","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2005","AMR","WB_HI","ARG","389.82","389.81828","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2006","AMR","WB_HI","ARG","447.17","447.16897","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2007","AMR","WB_HI","ARG","539.24","539.23777","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2008","AMR","WB_HI","ARG","673.84","673.84210","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2009","AMR","WB_HI","ARG","711.95","711.95420","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2010","AMR","WB_HI","ARG","738.48","738.48082","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2011","AMR","WB_HI","ARG","795.75","795.75029","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2012","AMR","WB_HI","ARG","726.79","726.79435","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2013","AMR","WB_HI","ARG","731.45","731.45129","","",""
"WHS7_156","NHA_ARG","PUBLISHED","2014","AMR","WB_HI","ARG","605.19","605.18784","","",""
"WHS7_156","","PUBLISHED","1995","EUR","WB_LMI","ARM","25.62","25.62249","","",""
"WHS7_156","","PUBLISHED","1996","EUR","WB_LMI","ARM","29.14","29.14084","","",""
"WHS7_156","","PUBLISHED","1997","EUR","WB_LMI","ARM","30.12","30.12181","","",""
"WHS7_156","","PUBLISHED","1998","EUR","WB_LMI","ARM","34.99","34.98812","","",""
"WHS7_156","","PUBLISHED","1999","EUR","WB_LMI","ARM","33.89","33.89212","","",""
"WHS7_156","","PUBLISHED","2000","EUR","WB_LMI","ARM","38.83","38.82927","","",""
"WHS7_156","","PUBLISHED","2001","EUR","WB_LMI","ARM","41.13","41.12659","","",""
"WHS7_156","","PUBLISHED","2002","EUR","WB_LMI","ARM","41.99","41.99091","","",""
"WHS7_156","","PUBLISHED","2003","EUR","WB_LMI","ARM","51.51","51.50899","","",""
"WHS7_156","","PUBLISHED","2004","EUR","WB_LMI","ARM","65.49","65.49068","","",""
"WHS7_156","","PUBLISHED","2005","EUR","WB_LMI","ARM","86.10","86.10079","","",""
