"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"wast5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201008","","No data","","","","Not available."
"wast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201510","","No data","","","","Not available."
"wast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201511","","No data","","","","Not available."
"wast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201512","","No data","","","","Not available."
"wast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201513","","No data","","","","Not available."
"wast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201514","","No data","","","","Not available."
"wast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201527","","No data","","","","Not available."
"wast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201528","","No data","","","","Not available."
"wast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201529","","No data","","","","Not available."
"wast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201530","","No data","","","","Not available."
"wast5","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","","ALBRHS200201","","No data","","","","Not available."
"wast5","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","","ALBRHS200202","","No data","","","","Not available."
"wast5","EQ_RHS","PUBLISHED","2002","EUR","ALB","","","","","","ALBRHS200203","","No data","","","","Not available."
"wast5","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","","ALBDHS201709","","6.2 [3.0-12.6]","6.00000","3.00000","13.00000",""
