"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"OCC_9","PUBLISHED","2004","WHO_LMI_AFR","6","6.47000","","",""
"OCC_9","PUBLISHED","2004","WHO_LMI_AMR","9","9.23000","","",""
"OCC_9","PUBLISHED","2004","WHO_LMI_EMR","6","6.07000","","",""
"OCC_9","PUBLISHED","2004","WHO_LMI_EUR","27","27.38000","","",""
"OCC_9","PUBLISHED","2004","WHO_LMI_SEAR","32","31.58000","","",""
"OCC_9","PUBLISHED","2004","WHO_LMI_WPR","62","62.47000","","",""
"OCC_9","PUBLISHED","2004","WHO_LMI_HIC","34","34.25000","","",""
"OCC_9","PUBLISHED","2004","WHO_LMI_WORLD","177","177.46000","","",""
