"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_WATER","PUBLISHED","1992","AMR","PER","","WQ5","99.9","","","",""
"EQ_WATER","PUBLISHED","1992","AMR","PER","","WQ4","99.1","","","",""
"EQ_WATER","PUBLISHED","1992","AMR","PER","","WQ3","93.7","","","",""
"EQ_WATER","PUBLISHED","1992","AMR","PER","","WQ2","79.7","","","",""
"EQ_WATER","PUBLISHED","1992","AMR","PER","","WQ1","62.0","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","HTI","","WQ5","44.6","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","HTI","","WQ4","55.3","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","HTI","","WQ3","61.1","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","HTI","","WQ2","59.2","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","TZA","","WQ4","95.2","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","TZA","","WQ5","97.7","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","TZA","","WQ1","44.4","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","TZA","","WQ2","63.7","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","TZA","","WQ3","70.2","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","TZA","","WQ4","75.3","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","TZA","","WQ5","80.2","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","UGA","","WQ1","27.2","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","UGA","","WQ2","56.1","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","UGA","","WQ3","65.1","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","UGA","","WQ4","62.8","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","UGA","","WQ5","79.1","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","UGA","","WQ1","60.6","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","UGA","","WQ2","67.8","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","UGA","","WQ3","78.8","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","UGA","","WQ4","74.9","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","UGA","","WQ5","89.9","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","ZMB","","WQ1","39.8","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","ZMB","","WQ2","82.3","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","ZMB","","WQ3","87.7","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","ZMB","","WQ4","97.7","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","ZMB","","WQ5","99.0","","","",""
"EQ_WATER","PUBLISHED","2007","AFR","ZMB","","WQ1","38.6","","","",""
"EQ_WATER","PUBLISHED","2007","AFR","ZMB","","WQ2","62.4","","","",""
"EQ_WATER","PUBLISHED","2007","AFR","ZMB","","WQ3","84.4","","","",""
"EQ_WATER","PUBLISHED","2007","AFR","ZMB","","WQ4","90.0","","","",""
"EQ_WATER","PUBLISHED","2007","AFR","ZMB","","WQ5","94.7","","","",""
"EQ_WATER","PUBLISHED","1994","AFR","ZWE","","WQ1","96.3","","","",""
"EQ_WATER","PUBLISHED","1994","AFR","ZWE","","WQ2","100.0","","","",""
"EQ_WATER","PUBLISHED","1994","AFR","ZWE","","WQ3","100.0","","","",""
"EQ_WATER","PUBLISHED","1994","AFR","ZWE","","WQ4","100.0","","","",""
"EQ_WATER","PUBLISHED","1994","AFR","ZWE","","WQ5","100.0","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","ZWE","","WQ1","98.0","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","ZWE","","WQ2","99.8","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","ZWE","","WQ3","99.6","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","ZWE","","WQ4","99.7","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","ZWE","","WQ5","99.9","","","",""
"EQ_WATER","PUBLISHED","1993","EUR","TUR","","WQ1","86.6","","","",""
"EQ_WATER","PUBLISHED","1993","EUR","TUR","","WQ2","86.8","","","",""
"EQ_WATER","PUBLISHED","1993","EUR","TUR","","WQ3","86.2","","","",""
"EQ_WATER","PUBLISHED","1993","EUR","TUR","","WQ4","77.3","","","",""
"EQ_WATER","PUBLISHED","1993","EUR","TUR","","WQ5","56.4","","","",""
"EQ_WATER","PUBLISHED","2003","EUR","TUR","","WQ1","81.0","","","",""
"EQ_WATER","PUBLISHED","2003","EUR","TUR","","WQ2","76.0","","","",""
"EQ_WATER","PUBLISHED","2003","EUR","TUR","","WQ3","70.2","","","",""
"EQ_WATER","PUBLISHED","2003","EUR","TUR","","WQ4","60.8","","","",""
"EQ_WATER","PUBLISHED","2003","EUR","TUR","","WQ5","38.3","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","BEN","RUR","","56.6","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","BEN","RUR","","62.7","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","BFA","RUR","","4.8","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","BFA","RUR","","4.0","","","",""
"EQ_WATER","PUBLISHED","1991","AFR","CMR","RUR","","12.9","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","CMR","RUR","","12.8","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","GHA","RUR","","40.3","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","GHA","RUR","","53.8","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","BOL","RUR","","32.0","","","",""
"EQ_WATER","PUBLISHED","2003","AMR","BOL","RUR","","57.6","","","",""
"EQ_WATER","PUBLISHED","1990","AMR","COL","RUR","","69.9","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","COL","RUR","","71.4","","","",""
"EQ_WATER","PUBLISHED","1996","AMR","DOM","RUR","","66.8","","","",""
"EQ_WATER","PUBLISHED","2007","AMR","DOM","RUR","","48.4","","","",""
"EQ_WATER","PUBLISHED","1995","EMR","EGY","RUR","","69.4","","","",""
"EQ_WATER","PUBLISHED","2005","EMR","EGY","RUR","","88.3","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","TZA","RUR","","25.5","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","TZA","RUR","","23.7","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","UGA","RUR","","18.6","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","UGA","RUR","","42.6","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","ZMB","RUR","","7.1","","","",""
"EQ_WATER","PUBLISHED","2007","AFR","ZMB","RUR","","3.4","","","",""
"EQ_WATER","PUBLISHED","1994","AFR","ZWE","RUR","","69.6","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","ZWE","RUR","","66.4","","","",""
"EQ_WATER","PUBLISHED","1993","EUR","TUR","RUR","","58.7","","","",""
"EQ_WATER","PUBLISHED","2003","EUR","TUR","RUR","","16.8","","","",""
"EQ_WATER","PUBLISHED","2006","SEAR","NPL","RUR","","78.3","","","",""
"EQ_WATER","PUBLISHED","1996","SEAR","NPL","RUR","","62.5","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","IDN","RUR","","52.8","","","",""
"EQ_WATER","PUBLISHED","1997","SEAR","IDN","RUR","","47.2","","","",""
"EQ_WATER","PUBLISHED","2005","SEAR","IND","RUR","","28.1","","","",""
"EQ_WATER","PUBLISHED","1992","SEAR","IND","RUR","","19.3","","","",""
"EQ_WATER","PUBLISHED","2007","EMR","JOR","RUR","","87.2","","","",""
"EQ_WATER","PUBLISHED","1997","EMR","JOR","RUR","","82.8","","","",""
"EQ_WATER","PUBLISHED","2004","AMR","PER","RUR","","50.7","","","",""
"EQ_WATER","PUBLISHED","1992","AMR","PER","RUR","","28.9","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","HTI","RUR","","29.0","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","HTI","RUR","","29.4","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","RWA","RUR","","23.0","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","RWA","RUR","","20.2","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","NAM","RUR","","59.9","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","NAM","RUR","","34.9","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","MLI","RUR","","45.8","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","MLI","RUR","","19.9","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","MWI","RUR","","58.0","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","MWI","RUR","","41.6","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","KEN","RUR","","21.7","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","KEN","RUR","","22.4","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","BGD","RUR","","96.1","","","",""
"EQ_WATER","PUBLISHED","1993","SEAR","BGD","RUR","","91.7","","","",""
