"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_4","PUBLISHED","2012","AFR","CMR","ENVCAUSE001","8 659","8659.37461","","",""
"TOTENV_4","PUBLISHED","2012","EUR","CYP","ENVCAUSE001","50","50.14587","","",""
"TOTENV_4","PUBLISHED","2012","EUR","CZE","ENVCAUSE001","80","80.16813","","",""
"TOTENV_4","PUBLISHED","2012","EUR","GRC","ENVCAUSE001","73","73.27666","","",""
"TOTENV_4","PUBLISHED","2012","AMR","LCA","ENVCAUSE001","420","419.56619","","",""
"TOTENV_4","PUBLISHED","2012","EUR","MNE","ENVCAUSE001","168","168.23178","","",""
"TOTENV_4","PUBLISHED","2012","WPR","NIU","ENVCAUSE001","1 409","1408.97718","","",""
"TOTENV_4","PUBLISHED","2012","EMR","QAT","ENVCAUSE001","178","178.35914","","",""
"TOTENV_4","PUBLISHED","2012","WPR","SLB","ENVCAUSE001","2 253","2253.28599","","",""
"TOTENV_4","PUBLISHED","2012","AFR","TGO","ENVCAUSE001","8 359","8359.15152","","",""
"TOTENV_4","PUBLISHED","2012","EUR","UZB","ENVCAUSE001","995","994.58192","","",""
"TOTENV_4","PUBLISHED","2012","EMR","ARE","ENVCAUSE151","659","658.53942","","",""
"TOTENV_4","PUBLISHED","2012","EMR","BHR","ENVCAUSE151","614","614.20370","","",""
"TOTENV_4","PUBLISHED","2012","EUR","BIH","ENVCAUSE151","897","896.73106","","",""
"TOTENV_4","PUBLISHED","2012","AFR","CMR","ENVCAUSE151","2 721","2721.18839","","",""
"TOTENV_4","PUBLISHED","2012","EUR","GRC","ENVCAUSE151","566","565.78892","","",""
"TOTENV_4","PUBLISHED","2012","AMR","GRD","ENVCAUSE151","1 456","1456.17606","","",""
"TOTENV_4","PUBLISHED","2012","WPR","MHL","ENVCAUSE151","1 163","1163.06152","","",""
"TOTENV_4","PUBLISHED","2012","EUR","MKD","ENVCAUSE151","628","628.32046","","",""
"TOTENV_4","PUBLISHED","2012","WPR","NIU","ENVCAUSE151","1 682","1682.00904","","",""
"TOTENV_4","PUBLISHED","2012","WPR","SGP","ENVCAUSE151","208","208.06513","","",""
"TOTENV_4","PUBLISHED","2012","WPR","SLB","ENVCAUSE151","1 803","1803.32881","","",""
"TOTENV_4","PUBLISHED","2012","EUR","SVK","ENVCAUSE151","729","729.44826","","",""
"TOTENV_4","PUBLISHED","2012","EUR","SVN","ENVCAUSE151","620","619.72530","","",""
"TOTENV_4","PUBLISHED","2012","SEAR","THA","ENVCAUSE151","1 560","1559.61837","","",""
"TOTENV_4","PUBLISHED","2012","AFR","BEN","ENVCAUSE060","5 721","5720.61466","","",""
"TOTENV_4","PUBLISHED","2012","EUR","ESP","ENVCAUSE060","1 750","1750.40781","","",""
"TOTENV_4","PUBLISHED","2012","AFR","GAB","ENVCAUSE060","2 966","2966.16728","","",""
