"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","Comments"
"MDG_0000000019","PUBLISHED","2007","WPR","","89","89.00000","89.00000","89.00000",""
"MDG_0000000019","PUBLISHED","2007","AMR","","448","448.00000","448.00000","448.00000",""
"MDG_0000000019","PUBLISHED","2007","NOTSPEC","WB_LI","1842","1842.00000","1842.00000","1842.00000",""
"MDG_0000000019","PUBLISHED","2007","SEAR","","295","295.00000","295.00000","295.00000",""
"MDG_0000000019","PUBLISHED","2007","EMR","","202","202.00000","202.00000","202.00000",""
"MDG_0000000019","PUBLISHED","2007","EUR","","336","336.00000","336.00000","336.00000",""
"MDG_0000000019","PUBLISHED","2007","NOTSPEC","WB_WORLD_INCOME","644","644.00000","644.00000","644.00000",""
"MDG_0000000019","PUBLISHED","2007","NOTSPEC","WB_HI","241","241.00000","241.00000","241.00000",""
"MDG_0000000019","PUBLISHED","2007","AFR","","4735","4735.00000","4735.00000","4735.00000",""
"MDG_0000000019","PUBLISHED","2007","NOTSPEC","WB_LMI","263","263.00000","263.00000","263.00000",""
"MDG_0000000019","PUBLISHED","2007","NOTSPEC","WB_UMI","1482","1482.00000","1482.00000","1482.00000",""
"MDG_0000000019","PUBLISHED","2007","GLOBAL","","644","644.00000","644.00000","644.00000",""
