"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_def_2_text_adult","PUBLISHED","AFR","BDI","Current cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","CIV","Current cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","GHA","Current cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","MUS","Current cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","EMR","JOR","Current cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","EMR","LBN","Current cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","EUR","RUS","Current cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","WPR","JPN","Current cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","MDG","Current tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","BEN","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","CMR","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","COG","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","ETH","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","GAB","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","GIN","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","MWI","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","MLI","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","MOZ","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","NAM","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","NER","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","SEN","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","ZAF","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","ZMB","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","ZWE","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","CUB","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","DOM","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","SLV","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","GUY","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","HTI","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","HND","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","NIC","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","VEN","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","EUR","ALB","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","EUR","AUT","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","EUR","CYP","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","EUR","ISR","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","EUR","POL","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","EUR","TJK","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","EUR","UZB","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","SEAR","TLS","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","WPR","FSM","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","WPR","KOR","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","WPR","SGP","Daily cigarette smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","DZA","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","BWA","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","BFA","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","CPV","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","TCD","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","COM","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","ERI","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","GMB","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","KEN","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","LSO","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","LBR","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","MRT","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","NGA","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","RWA","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","STP","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","SYC","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","SLE","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","SWZ","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","TGO","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","UGA","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AFR","TZA","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","ARG","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","BHS","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","BRB","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","BRA","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","CAN","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","CHL","Daily tobacco smoking","","","",""
"M_def_2_text_adult","PUBLISHED","AMR","DMA","Daily tobacco smoking","","","",""
