"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","SEX","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"SDGAIRBOD","PUBLISHED","2016","AFR","","ZMB","BTSX","ENVCAUSE113","12[ 11–14]","12.17471","10.77422","13.62790",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","ZMB","FMLE","ENVCAUSE113","12[ 11–14]","12.44241","10.80935","14.01368",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","ZWE","BTSX","ENVCAUSE113","13[ 11–14]","12.51427","10.72816","14.34446",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","AFG","MLE","ENVCAUSE118","7[ 4–9]","6.79192","4.13492","8.97497",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","AGO","BTSX","ENVCAUSE000","67[ 58–76]","67.25207","57.82645","76.42841",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","AGO","FMLE","ENVCAUSE000","69[ 60–79]","69.43121","60.00352","78.71766",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","AGO","MLE","ENVCAUSE000","65[ 55–74]","64.99023","55.29673","74.19511",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","AGO","BTSX","ENVCAUSE118","4[ 3–5]","3.81391","2.81904","4.74138",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","ARE","BTSX","ENVCAUSE000","16[ 14–19]","15.93985","13.93976","19.24293",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","ARE","FMLE","ENVCAUSE000","10[ 9–12]","10.04200","8.78708","12.45694",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ARM","BTSX","ENVCAUSE118","9[ 5–13]","8.89398","5.06887","13.45114",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ARM","FMLE","ENVCAUSE118","8[ 4–12]","7.83146","4.42681","11.96421",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ARM","MLE","ENVCAUSE118","10[ 6–15]","10.09118","5.62470","15.29331",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ATG","BTSX","ENVCAUSE000","28[ 24–34]","28.28815","23.82656","33.63611",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","AUT","MLE","ENVCAUSE000","39[ 30–49]","39.43821","30.09925","49.22260",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","AUT","BTSX","ENVCAUSE118","5[ 2–10]","5.43355","2.12912","9.61447",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","AUT","FMLE","ENVCAUSE118","5[ 2–9]","4.86427","1.90605","8.60716",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","AUT","MLE","ENVCAUSE118","6[ 2–11]","6.02618","2.36135","10.66312",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","BEL","BTSX","ENVCAUSE000","39[ 30–51]","39.35927","29.79750","50.62489",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","BEL","FMLE","ENVCAUSE000","37[ 27–49]","36.72005","27.08488","49.46626",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","BEL","MLE","ENVCAUSE000","42[ 33–53]","42.08194","32.53416","53.22260",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","BEL","BTSX","ENVCAUSE118","8[ 3–14]","8.21652","3.26800","14.47975",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","BFA","MLE","ENVCAUSE118","4[ 2–5]","3.72513","2.10107","4.85214",""
"SDGAIRBOD","PUBLISHED","2016","SEAR","","BGD","BTSX","ENVCAUSE000","103[ 94–112]","103.44324","94.20599","112.24266",""
"SDGAIRBOD","PUBLISHED","2016","SEAR","","BGD","FMLE","ENVCAUSE000","95[ 87–102]","94.94729","87.36430","101.95987",""
"SDGAIRBOD","PUBLISHED","2016","SEAR","","BGD","MLE","ENVCAUSE000","112[ 98–123]","111.82374","98.43914","123.32740",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","BHR","FMLE","ENVCAUSE118","2[ 1–2]","1.63629","1.04239","2.30131",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","BHR","MLE","ENVCAUSE118","1[ 1–2]","1.40551","0.89537","1.97675",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","BHS","BTSX","ENVCAUSE000","22[ 18–26]","21.59453","18.14849","25.58771",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","BHS","FMLE","ENVCAUSE000","19[ 15–23]","18.89962","15.46779","23.13313",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","BLR","MLE","ENVCAUSE000","121[ 99–148]","120.81117","99.24465","148.21812",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","BLR","BTSX","ENVCAUSE118","4[ 2–6]","3.78841","1.85425","6.15921",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","BLR","FMLE","ENVCAUSE118","2[ 1–3]","1.87577","0.93793","3.02112",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","BLR","MLE","ENVCAUSE118","6[ 3–10]","5.98625","2.91490","9.83492",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","BLZ","BTSX","ENVCAUSE000","35[ 29–42]","35.14664","29.12448","41.68068",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","BRA","FMLE","ENVCAUSE000","28[ 22–38]","28.33152","21.94333","37.91352",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","BRA","MLE","ENVCAUSE000","34[ 27–44]","33.76941","26.87745","44.16379",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","BRA","BTSX","ENVCAUSE118","5[ 3–8]","4.90301","2.50973","8.21397",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","BRA","FMLE","ENVCAUSE118","5[ 2–7]","4.53618","2.44183","7.33571",""
"SDGAIRBOD","PUBLISHED","2016","SEAR","","BTN","BTSX","ENVCAUSE000","88[ 66–106]","87.52842","66.46027","106.26170",""
"SDGAIRBOD","PUBLISHED","2016","SEAR","","BTN","FMLE","ENVCAUSE000","89[ 67–108]","88.64985","67.29039","107.61005",""
"SDGAIRBOD","PUBLISHED","2016","SEAR","","BTN","MLE","ENVCAUSE000","87[ 65–107]","86.54723","65.32188","106.66327",""
"SDGAIRBOD","PUBLISHED","2016","SEAR","","BTN","BTSX","ENVCAUSE118","20[ 13–26]","19.80162","12.96804","26.12035",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","CAF","MLE","ENVCAUSE118","9[ 5–11]","8.51381","5.04898","10.89751",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","CAN","BTSX","ENVCAUSE000","15[ 10–21]","14.70109","9.77586","20.72174",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","CAN","FMLE","ENVCAUSE000","14[ 9–20]","13.53786","8.64630","20.00424",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","CAN","MLE","ENVCAUSE000","16[ 11–21]","15.88266","10.95794","21.30989",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","CHL","BTSX","ENVCAUSE118","6[ 3–10]","6.19317","3.31000","9.53271",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","CHL","FMLE","ENVCAUSE118","6[ 3–9]","6.07129","3.24354","9.44319",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","CHL","MLE","ENVCAUSE118","6[ 3–10]","6.31736","3.19532","10.02444",""
"SDGAIRBOD","PUBLISHED","2016","WPR","","CHN","BTSX","ENVCAUSE000","140[ 107–171]","139.80904","106.99078","170.54791",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","CMR","MLE","ENVCAUSE000","124[ 108–138]","124.06649","108.31955","138.37790",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","CMR","BTSX","ENVCAUSE118","9[ 7–10]","8.75874","6.81423","10.31249",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","CMR","FMLE","ENVCAUSE118","9[ 7–10]","9.03169","7.35471","10.33905",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","CMR","MLE","ENVCAUSE118","8[ 5–11]","8.48620","5.36899","10.86643",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","COM","MLE","ENVCAUSE118","6[ 3–9]","6.26750","3.10805","8.51838",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","CPV","BTSX","ENVCAUSE000","69[ 56–91]","68.56724","55.73349","91.06062",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","CPV","FMLE","ENVCAUSE000","71[ 57–96]","70.55293","56.89735","95.61449",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","CPV","MLE","ENVCAUSE000","67[ 54–88]","66.57487","54.28175","87.91291",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","CPV","BTSX","ENVCAUSE118","6[ 5–9]","6.45192","4.54367","8.76771",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","CUB","FMLE","ENVCAUSE118","12[ 5–25]","12.47931","4.67763","24.75910",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","CUB","MLE","ENVCAUSE118","13[ 5–28]","12.79618","4.92939","28.06444",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","CYP","BTSX","ENVCAUSE000","33[ 26–40]","32.64901","25.77078","40.22943",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","CYP","FMLE","ENVCAUSE000","26[ 20–35]","26.35985","19.83564","34.58481",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","DEU","BTSX","ENVCAUSE118","8[ 3–13]","7.51480","2.88076","13.41564",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","DEU","FMLE","ENVCAUSE118","7[ 3–12]","6.88074","2.63770","12.28369",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","DEU","MLE","ENVCAUSE118","8[ 3–15]","8.16913","3.13160","14.58376",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","DJI","BTSX","ENVCAUSE000","99[ 88–108]","98.98411","88.04591","107.69285",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","DNK","MLE","ENVCAUSE000","31[ 23–41]","31.28143","23.22916","40.60516",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","DNK","BTSX","ENVCAUSE118","8[ 3–15]","8.13960","2.83046","14.96504",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","DNK","FMLE","ENVCAUSE118","8[ 3–16]","8.47798","2.94812","15.58716",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","DNK","MLE","ENVCAUSE118","8[ 3–14]","7.79763","2.71154","14.33630",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ECU","BTSX","ENVCAUSE000","22[ 16–31]","22.37641","16.34298","31.46039",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ECU","FMLE","ENVCAUSE000","21[ 15–29]","20.63474","14.85311","29.28847",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ECU","MLE","ENVCAUSE000","24[ 18–33]","24.12152","17.92358","33.25533",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ECU","BTSX","ENVCAUSE118","4[ 2–6]","3.61769","1.70369","5.94742",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","ERI","MLE","ENVCAUSE118","10[ 6–13]","9.78722","5.76730","12.86617",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ESP","BTSX","ENVCAUSE000","27[ 19–37]","27.12917","19.41399","37.44424",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ESP","FMLE","ENVCAUSE000","23[ 16–34]","23.35949","15.94731","34.37318",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ESP","MLE","ENVCAUSE000","31[ 23–41]","31.04632","22.78709","40.92455",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","ETH","FMLE","ENVCAUSE118","6[ 5–6]","5.55949","4.50888","6.30589",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","ETH","MLE","ENVCAUSE118","6[ 4–9]","6.48648","3.60326","8.51011",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","FIN","BTSX","ENVCAUSE000","19[ 12–29]","18.67571","11.55107","29.31097",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","FIN","FMLE","ENVCAUSE000","17[ 9–30]","16.78878","8.72444","29.70740",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","FRA","MLE","ENVCAUSE000","27[ 21–35]","27.43741","20.87341","34.58720",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","FRA","BTSX","ENVCAUSE118","4[ 2–7]","3.99687","1.52900","7.14033",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","FRA","FMLE","ENVCAUSE118","3[ 1–6]","3.41774","1.30746","6.10574",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","FRA","MLE","ENVCAUSE118","5[ 2–8]","4.59596","1.75819","8.21061",""
"SDGAIRBOD","PUBLISHED","2016","WPR","","FSM","BTSX","ENVCAUSE000","93[ 80–102]","92.69592","79.77795","101.56407",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","GBR","FMLE","ENVCAUSE000","30[ 21–42]","30.26221","21.46189","41.57217",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","GBR","MLE","ENVCAUSE000","34[ 26–44]","34.04145","26.02075","43.74340",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","GBR","BTSX","ENVCAUSE118","6[ 2–12]","6.49544","2.31042","11.92731",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","GBR","FMLE","ENVCAUSE118","6[ 2–12]","6.26777","2.22944","11.50925",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","GIN","BTSX","ENVCAUSE000","127[ 116–138]","127.29439","115.66799","137.88498",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","GIN","FMLE","ENVCAUSE000","128[ 117–137]","127.75480","116.74844","137.47478",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","GIN","MLE","ENVCAUSE000","127[ 114–139]","126.84225","113.86687","138.94608",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","GIN","BTSX","ENVCAUSE118","9[ 6–10]","8.68936","6.38357","10.35457",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","GNB","MLE","ENVCAUSE118","6[ 3–8]","6.38545","3.40378","8.47320",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","GNQ","BTSX","ENVCAUSE000","100[ 75–120]","100.05769","74.63213","120.33216",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","GNQ","FMLE","ENVCAUSE000","104[ 77–125]","103.61915","76.56610","124.50522",""
"SDGAIRBOD","PUBLISHED","2016","AFR","","GNQ","MLE","ENVCAUSE000","97[ 73–117]","97.18980","73.20146","117.19094",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","GRD","BTSX","ENVCAUSE118","3[ 2–4]","2.82379","1.56327","4.33758",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","GRD","FMLE","ENVCAUSE118","3[ 2–5]","2.93165","1.62914","4.53239",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","GRD","MLE","ENVCAUSE118","3[ 1–4]","2.71677","1.47856","4.24749",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","GTM","BTSX","ENVCAUSE000","50[ 43–56]","49.53368","43.37254","55.54870",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","HND","MLE","ENVCAUSE000","45[ 38–52]","44.89260","37.82927","51.81525",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","HND","BTSX","ENVCAUSE118","7[ 5–8]","6.63301","4.82118","8.35721",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","HND","FMLE","ENVCAUSE118","8[ 6–10]","8.43183","6.15753","10.39045",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","HND","MLE","ENVCAUSE118","5[ 2–7]","4.82386","2.42700","6.91633",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","HUN","FMLE","ENVCAUSE000","79[ 58–102]","78.90260","57.54510","101.91830",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","HUN","MLE","ENVCAUSE000","87[ 71–103]","86.86638","70.65604","103.16880",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","HUN","BTSX","ENVCAUSE118","10[ 4–16]","9.51016","4.16695","16.08195",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","HUN","FMLE","ENVCAUSE118","8[ 4–14]","8.06582","3.53411","13.63954",""
"SDGAIRBOD","PUBLISHED","2016","SEAR","","IND","MLE","ENVCAUSE118","36[ 23–46]","35.54054","23.16149","46.00109",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","IRL","BTSX","ENVCAUSE000","20[ 14–27]","20.22318","14.35982","27.14656",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","IRL","FMLE","ENVCAUSE000","19[ 13–27]","18.75603","12.80149","26.86841",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","IRL","MLE","ENVCAUSE000","22[ 16–28]","21.71470","16.10352","27.96668",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","IRL","BTSX","ENVCAUSE118","4[ 1–8]","3.95437","1.13085","7.68830",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","IRQ","FMLE","ENVCAUSE118","2[ 1–2]","1.78657","1.14126","2.46521",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","IRQ","MLE","ENVCAUSE118","2[ 1–2]","1.68418","1.05756","2.35038",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ISL","BTSX","ENVCAUSE000","17[ 11–25]","16.85006","10.95898","24.94715",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ISL","FMLE","ENVCAUSE000","16[ 10–24]","15.77621","9.77502","24.06542",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ITA","BTSX","ENVCAUSE118","8[ 4–14]","8.25609","3.70503","13.89417",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ITA","FMLE","ENVCAUSE118","7[ 3–12]","7.23825","3.24826","12.18124",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ITA","MLE","ENVCAUSE118","9[ 4–16]","9.32818","4.18614","15.69839",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","JAM","BTSX","ENVCAUSE000","32[ 23–42]","31.76192","23.18957","42.25954",""
"SDGAIRBOD","PUBLISHED","2016","WPR","","JPN","FMLE","ENVCAUSE000","39[ 27–55]","39.06063","26.89938","55.42205",""
"SDGAIRBOD","PUBLISHED","2016","WPR","","JPN","MLE","ENVCAUSE000","47[ 35–63]","46.88242","35.04027","62.64678",""
"SDGAIRBOD","PUBLISHED","2016","WPR","","JPN","BTSX","ENVCAUSE118","6[ 2–11]","6.21442","2.34249","11.17494",""
"SDGAIRBOD","PUBLISHED","2016","WPR","","JPN","FMLE","ENVCAUSE118","5[ 2–9]","4.83218","1.82146","8.68937",""
"SDGAIRBOD","PUBLISHED","2016","WPR","","JPN","MLE","ENVCAUSE118","8[ 3–14]","7.66193","2.88812","13.77789",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","KGZ","BTSX","ENVCAUSE000","74[ 53–100]","74.00945","53.44080","99.50270",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","KGZ","FMLE","ENVCAUSE000","68[ 47–93]","67.91139","47.26872","93.37742",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","KGZ","MLE","ENVCAUSE000","80[ 59–106]","80.19846","58.88451","106.49421",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","KGZ","BTSX","ENVCAUSE118","7[ 4–11]","7.34072","4.08091","11.09990",""
"SDGAIRBOD","PUBLISHED","2016","WPR","","KIR","MLE","ENVCAUSE118","12[ 5–17]","11.95462","5.39101","16.67026",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","KWT","FMLE","ENVCAUSE118","2[ 1–2]","1.58454","0.97528","2.23555",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","KWT","MLE","ENVCAUSE118","2[ 1–3]","1.86430","1.14747","2.63025",""
