"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EMFEXPOSED","EMFFREQUENCY","EMFRADIOBAND","Display Value","Numeric","Low","High","Comments"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","CYP","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","CYP","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","DEU","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","DEU","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","FIN","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","FIN","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","FRA","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","FRA","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","GBR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","[4.5]","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","GBR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","[9.0]","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","GRC","EMFPUBLIC","EMFRADIO","EMFFREQ0900","2.7/3.15","","","","The regulation sets limits for power density at 70% of those in the EU Recommendation (ICNIRP 98) (3.15) and 60% when antenna stations are located closer than 300 metres from the property boundaries of schools, kindergartens, hospitals or eldercare facilities (2.7). "
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","GRC","EMFPUBLIC","EMFRADIO","EMFFREQ1800","5.4/6.3","","","","The regulation sets limits for power density at 70% of those in the EU Recommendation (ICNIRP 98) (6.3) and 60% when antenna stations are located closer than 300 metres from the property boundaries of schools, kindergartens, hospitals or eldercare facilities (5.4). "
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EMR","IRN","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EMR","IRN","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","ISR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","[0.45]","","","","The stated value is the maximum  allowed (10% of ICNIRP limit). In addition, it is mandatory for each base station to obtain a specific permit with the minimum exposure possible that enables provision of the needed coverage and capacity."
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","ISR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","[0.9]","","","","The stated value is the maximum  allowed (10% of ICNIRP limit). In addition, it is mandatory for each base station to obtain a specific permit with the minimum exposure possible that enables provision of the needed coverage and capacity."
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","ITA","EMFPUBLIC","EMFRADIO","EMFFREQ0900","0.1/1.0","","","","The exposure limit is 1 W/m^2. Moreover, in homes, schools, playgrounds and places where people may stay for longer than 4 hours,  an 'attention value' of 0.1 W/m^2 is applied and averaged over any 24 hour period. A 'quality goal' for new installations is identical to the attention value."
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","ITA","EMFPUBLIC","EMFRADIO","EMFFREQ1800","0.1/1.0","","","","The exposure limit is 1 W/m^2. Moreover, in homes, schools, playgrounds and places where people may stay for longer than 4 hours,  an 'attention value' of 0.1 W/m^2 is applied and averaged over any 24 hour period. A 'quality goal' for new installations is identical to the attention value."
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","JPN","EMFPUBLIC","EMFRADIO","EMFFREQ0900","6","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","JPN","EMFPUBLIC","EMFRADIO","EMFFREQ1800","10","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","KOR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","KOR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","MYS","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","MYS","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","NLD","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","NLD","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","NOR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","NOR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","NZL","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","","The Standard provides an E-field value (in V/m), and the power density limit (in W/m^2) is a derived plane wave equivalent value"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","NZL","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","","The Standard provides an E-field value (in V/m), and the power density limit (in W/m^2) is a derived plane wave equivalent value"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","PER","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
