"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ADVERTISINGTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","KAZ","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","KIR","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","LTU","SA_BEER_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MDG","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MWI","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MUS","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","MCO","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","PAN","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","PER","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","LCA","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","TTO","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","TKM","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","USA","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","NRU","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","NRU","SA_SPIRITS_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","ARE","SA_SPIRITS_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","KWT","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","LBN","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","HND","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","AFG","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","ATG","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","BGD","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","BLZ","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","BTN","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","COL","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","CRI","SA_BEER_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","DNK","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","GNQ","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","FJI","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","DEU","SA_BEER_ADS","voluntary/self-restrictive","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","GRC","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","HUN","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","IDN","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","IRL","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","JAM","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","JOR","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","LTU","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","MCO","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MOZ","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","NAM","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","NPL","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","NER","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","PAK","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","PNG","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","PRT","SA_WINE_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","MDA","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","RUS","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","KNA","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","SMR","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","CHE","SA_WINE_ADS","partial restriction content","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","TJK","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","TON","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","TUR","SA_BEER_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","USA","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","YEM","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","LBY","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","NLD","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","MHL","SA_BEER_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","WSM","SA_BEER_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","BHR","SA_SPIRITS_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","SOM","SA_BEER_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","HTI","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","ATG","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","AUT","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","BLR","SA_WINE_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","CUB","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","CYP","SA_BEER_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","DNK","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","FJI","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","DEU","SA_WINE_ADS","voluntary/self-restrictive","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","GNB","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","GNB","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","ISL","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","IND","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","ISR","SA_BEER_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","KEN","SA_BEER_ADS","partial restriction content","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","LVA","SA_BEER_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","LUX","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","MLT","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","MEX","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MOZ","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","NZL","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","STP","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","MKD","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","TUN","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","UZB","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","HND","SA_BEER_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","ALB","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","ARG","SA_SPIRITS_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","BEN","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","CMR","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_SPIRITS_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","DOM","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","GRD","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","IRQ","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","JPN","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_BEER_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","MYS","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","MNE","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","NER","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","ROU","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","TJK","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","TUV","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","USA","SA_BEER_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","AFG","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","AUS","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","BEL","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","CPV","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","TCD","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","COM","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","CIV","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_WINE_ADS","partial restriction content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","COD","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","DMA","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","EGY","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","ETH","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","GEO","SA_WINE_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","GHA","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","GIN","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","HUN","SA_BEER_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","IDN","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","ITA","SA_WINE_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","KAZ","SA_BEER_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","KIR","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","LSO","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","MDV","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MUS","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","NIC","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","NOR","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","PAK","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","PNG","SA_BEER_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","PER","SA_WINE_ADS","partial restriction time/place","","","",""
