"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001783","SA_0000001783_RUS","PUBLISHED","2011","EUR","RUS","FMLE","37.0","37.00000","","",""
"SA_0000001783","SA_0000001783_ISL","PUBLISHED","2003","EUR","ISL","BTSX","37.0","37.00000","","",""
"SA_0000001783","SA_0000001783_ISR","PUBLISHED","2005","EUR","ISR","BTSX","37.2","37.20000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2001","AMR","CHL","FMLE","37.5","37.50000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2007","AMR","CHL","MLE","37.9","37.90000","","",""
"SA_0000001783","SA_0000001783_MNE","PUBLISHED","2011","EUR","MNE","BTSX","38.0","38.00000","","",""
"SA_0000001783","SA_0000001783_SWE","PUBLISHED","2011","EUR","SWE","BTSX","38.0","38.00000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2007","AMR","CHL","BTSX","38.1","38.10000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2003","AMR","CHL","FMLE","38.4","38.40000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2007","AMR","CHL","FMLE","38.4","38.40000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2003","AMR","CHL","BTSX","38.7","38.70000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2001","AMR","CHL","BTSX","38.9","38.90000","","",""
"SA_0000001783","SA_0000001783_ISL","PUBLISHED","2003","EUR","ISL","FMLE","39.0","39.00000","","",""
"SA_0000001783","SA_0000001783_NOR","PUBLISHED","2007","EUR","NOR","MLE","39.0","39.00000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2001","AMR","USA","BTSX","39.0","39.00000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2003","AMR","CHL","MLE","39.1","39.10000","","",""
"SA_0000001783","SA_0000001783_ISR","PUBLISHED","2009","EUR","ISR","BTSX","39.5","39.50000","","",""
"SA_0000001783","SA_0000001783_ROU","PUBLISHED","2007","EUR","ROU","FMLE","40.0","40.00000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2001","AMR","CHL","MLE","40.3","40.30000","","",""
"SA_0000001783","SA_0000001783_SWE","PUBLISHED","2011","EUR","SWE","FMLE","41.0","41.00000","","",""
"SA_0000001783","SA_0000001783_SWE","PUBLISHED","2007","EUR","SWE","MLE","41.0","41.00000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2000","AMR","USA","BTSX","41.0","41.00000","","",""
"SA_0000001783","SA_0000001783_DOM","PUBLISHED","2003","AMR","DOM","BTSX","41.4","41.40000","","",""
"SA_0000001783","SA_0000001783_ALB","PUBLISHED","2011","EUR","ALB","MLE","42.0","42.00000","","",""
"SA_0000001783","SA_0000001783_NOR","PUBLISHED","2007","EUR","NOR","BTSX","42.0","42.00000","","",""
"SA_0000001783","SA_0000001783_PRT","PUBLISHED","2003","EUR","PRT","FMLE","42.0","42.00000","","",""
"SA_0000001783","SA_0000001783_BIH","PUBLISHED","2011","EUR","BIH","BTSX","43.0","43.00000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2005","AMR","CHL","MLE","43.2","43.20000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2005","AMR","CHL","BTSX","43.3","43.30000","","",""
"SA_0000001783","SA_0000001783_PRY","PUBLISHED","2003","EUR","PRY","BTSX","43.4","43.40000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2005","AMR","CHL","FMLE","43.5","43.50000","","",""
"SA_0000001783","SA_0000001783_ROU","PUBLISHED","2011","EUR","ROU","FMLE","44.0","44.00000","","",""
"SA_0000001783","SA_0000001783_SWE","PUBLISHED","2007","EUR","SWE","BTSX","44.0","44.00000","","",""
"SA_0000001783","SA_0000001783_PAN","PUBLISHED","2003","EUR","PAN","BTSX","44.2","44.20000","","",""
"SA_0000001783","SA_0000001783_FIN","PUBLISHED","2011","EUR","FIN","MLE","46.0","46.00000","","",""
"SA_0000001783","SA_0000001783_SRB","PUBLISHED","2011","EUR","SRB","FMLE","46.0","46.00000","","",""
