"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001699_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","ATG","SA_BEER","10","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","ATG","SA_WINE","10","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","ATG","SA_SPIRITS","10","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","AUT","SA_BEER","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","AUT","SA_WINE","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","AUT","SA_SPIRITS","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","BEL","SA_BEER","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","BEL","SA_WINE","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","DNK","SA_WINE","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","DEU","SA_BEER","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","DEU","SA_WINE","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","LUX","SA_BEER","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","LUX","SA_WINE","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","NLD","SA_BEER","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","NLD","SA_WINE","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","PRT","SA_WINE","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","PRT","SA_SPIRITS","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","SMR","SA_BEER","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","SMR","SA_WINE","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","SMR","SA_SPIRITS","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","ESP","SA_BEER","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","ESP","SA_WINE","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","CHE","SA_BEER","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","CHE","SA_WINE","16","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","CYP","SA_BEER","17","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","CYP","SA_WINE","17","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","CYP","SA_SPIRITS","17","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","MLT","SA_BEER","17","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","MLT","SA_WINE","17","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","MLT","SA_SPIRITS","17","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","AND","SA_BEER","18","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","AND","SA_WINE","18","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","AND","SA_SPIRITS","18","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","WPR","WB_HI","AUS","SA_BEER","18","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","WPR","WB_HI","AUS","SA_WINE","18","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","BHS","SA_BEER","18","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","BHS","SA_SPIRITS","18","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","BRB","SA_BEER","18","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","BRB","SA_WINE","18","","","",""
"SA_0000001699_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","BEL","SA_SPIRITS","18","","","",""
