"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"AMRGLASS_SURVL05","PUBLISHED","2017","AFR","35","35.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2018","AFR","40","40.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2019","AFR","93","93.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2017","AMR","0","0.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2018","AMR","0","0.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2019","AMR","44 732","44732.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2017","EMR","163","163.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2018","EMR","235","235.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2019","EMR","373","373.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2017","EUR","284","284.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2018","EUR","1 504","1504.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2019","EUR","17 381","17381.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2017","SEAR","2","2.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2018","SEAR","57","57.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2019","SEAR","110","110.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2017","WPR","28","28.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2018","WPR","2 152","2152.00000","","",""
"AMRGLASS_SURVL05","PUBLISHED","2019","WPR","2 108","2108.00000","","",""
