"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"TOTENV_8","PUBLISHED","2004","GBD_REG14_AFRD","1629","1629.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_AFRE","1330","1330.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_AMRA","14","14.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_AMRB","167","167.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_AMRD","354","354.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_EMRB","186","186.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_EMRD","770","770.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_EURA","9","9.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_EURB","313","313.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_EURC","107","107.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_SEARB","290","290.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_SEARD","637","637.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_WPRA","9","9.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_WPRB","178","178.00000","","",""
"TOTENV_8","PUBLISHED","2004","GBD_REG14_WORLD","587","587.00000","","",""
