"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"TOBACCO_0000000192","PUBLISHED","2000","AFR","","BEN","MLE","12.4 [7.6-17.6]","12.40000","7.60000","17.60000",""
"TOBACCO_0000000192","PUBLISHED","2005","AFR","","BEN","MLE","13.8 [9.9-18.2]","13.80000","9.90000","18.20000",""
"TOBACCO_0000000192","PUBLISHED","2010","AFR","","BEN","MLE","15.6 [11.4-20.1]","15.60000","11.40000","20.10000",""
"TOBACCO_0000000192","PUBLISHED","2012","AFR","","BEN","MLE","16.4 [12.3-20.9]","16.40000","12.30000","20.90000",""
"TOBACCO_0000000192","PUBLISHED","2015","AFR","","BEN","MLE","17.7 [12.7-23.1]","17.70000","12.70000","23.10000",""
"TOBACCO_0000000192","PUBLISHED","2020","AFR","","BEN","MLE","20.2 [13.0-29.2]","20.20000","13.00000","29.20000",""
"TOBACCO_0000000192","PUBLISHED","2025","AFR","","BEN","MLE","23.1 [12.6-37.4]","23.10000","12.60000","37.40000",""
"TOBACCO_0000000192","PUBLISHED","2000","AFR","","BFA","MLE","23.6 [17.4-31.0]","23.60000","17.40000","31.00000",""
"TOBACCO_0000000192","PUBLISHED","2005","AFR","","BFA","MLE","27.0 [20.2-34.6]","27.00000","20.20000","34.60000",""
"TOBACCO_0000000192","PUBLISHED","2010","AFR","","BFA","MLE","31.1 [22.8-42.1]","31.10000","22.80000","42.10000",""
"TOBACCO_0000000192","PUBLISHED","2012","AFR","","BFA","MLE","33.1 [23.1-45.8]","33.10000","23.10000","45.80000",""
"TOBACCO_0000000192","PUBLISHED","2015","AFR","","BFA","MLE","36.0 [21.7-50.9]","36.00000","21.70000","50.90000",""
"TOBACCO_0000000192","PUBLISHED","2020","AFR","","BFA","MLE","41.8 [23.3-65.4]","41.80000","23.30000","65.40000",""
"TOBACCO_0000000192","PUBLISHED","2025","AFR","","BFA","MLE","48.9 [21.4-82.9]","48.90000","21.40000","82.90000",""
"TOBACCO_0000000192","PUBLISHED","2000","AFR","","CMR","MLE","12.3 [6.6-19.3]","12.30000","6.60000","19.30000",""
"TOBACCO_0000000192","PUBLISHED","2005","AFR","","CMR","MLE","18.7 [11.4-28.7]","18.70000","11.40000","28.70000",""
"TOBACCO_0000000192","PUBLISHED","2010","AFR","","CMR","MLE","28.5 [17.0-41.0]","28.50000","17.00000","41.00000",""
"TOBACCO_0000000192","PUBLISHED","2012","AFR","","CMR","MLE","33.7 [20.8-48.7]","33.70000","20.80000","48.70000",""
"TOBACCO_0000000192","PUBLISHED","2015","AFR","","CMR","MLE","43.8 [27.0-64.7]","43.80000","27.00000","64.70000",""
"TOBACCO_0000000192","PUBLISHED","2020","AFR","","CMR","MLE","65.9 [42.3-100.0]","65.90000","42.30000","100.00000",""
"TOBACCO_0000000192","PUBLISHED","2025","AFR","","CMR","MLE","87.2 [60.5-100.0]","87.20000","60.50000","100.00000",""
"TOBACCO_0000000192","PUBLISHED","2000","AFR","","COG","MLE","10.1 [6.6-13.8]","10.10000","6.60000","13.80000",""
"TOBACCO_0000000192","PUBLISHED","2005","AFR","","COG","MLE","16.2 [12.1-21.1]","16.20000","12.10000","21.10000",""
"TOBACCO_0000000192","PUBLISHED","2010","AFR","","COG","MLE","26.4 [18.7-33.2]","26.40000","18.70000","33.20000",""
"TOBACCO_0000000192","PUBLISHED","2012","AFR","","COG","MLE","32.1 [22.9-41.9]","32.10000","22.90000","41.90000",""
"TOBACCO_0000000192","PUBLISHED","2015","AFR","","COG","MLE","43.2 [29.0-58.9]","43.20000","29.00000","58.90000",""
"TOBACCO_0000000192","PUBLISHED","2020","AFR","","COG","MLE","69.6 [45.6-97.6]","69.60000","45.60000","97.60000",""
"TOBACCO_0000000192","PUBLISHED","2025","AFR","","COG","MLE","92.9 [69.1-100.0]","92.90000","69.10000","100.00000",""
"TOBACCO_0000000192","PUBLISHED","2000","AFR","","COM","MLE","30.6 [21.3-40.1]","30.60000","21.30000","40.10000",""
