"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","CHE","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","CHE","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","TGO","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","TUR","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","TUR","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","GBR","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","GBR","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","ZWE","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","WSM","SA_SPIRITS","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","SLB","SA_SPIRITS","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","DZA","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","DZA","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","AUS","SA_BEER","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","BGD","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","BTN","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","COD","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","JPN","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","JPN","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_WINE","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","MYS","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","MYS","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","MUS","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","MUS","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","NIU","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","POL","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","MDA","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","VCT","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","SEN","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","SRB","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","SVK","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","LKA","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","CHE","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","SYR","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","TLS","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","TUR","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","TKM","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","GBR","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","MHL","SA_WINE","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","SLB","SA_BEER","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","AGO","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","ARG","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","AUS","SA_SPIRITS","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","BRB","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","BLZ","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","BRA","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","BGR","SA_WINE","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","SLV","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","GIN","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","ISL","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","KAZ","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","LVA","SA_WINE","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","LTU","SA_BEER","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","MLI","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","FSM","SA_BEER","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","PAK","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","PHL","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","PRT","SA_WINE","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","RUS","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","KNA","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","SYC","SA_BEER","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","ZAF","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","LKA","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","MKD","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","TUN","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","TZA","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","ZMB","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","LBN","SA_SPIRITS","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","ARE","SA_BEER","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","ATG","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","AZE","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","AZE","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","BLR","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","BIH","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_BEER","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","BDI","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","DMA","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","FRA","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","GUY","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","KIR","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","MLT","SA_BEER","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","MCO","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","MMR","SA_WINE","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","NIC","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","NOR","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","RWA","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","STP","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","SLE","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","SUR","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","SUR","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","TJK","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","TON","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","TTO","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","UGA","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","USA","SA_SPIRITS","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","YEM","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","ZMB","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","KWT","SA_WINE","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","VUT","SA_BEER","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","VUT","SA_SPIRITS","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","ALB","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","AND","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","BHS","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","BLR","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","BLZ","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","BFA","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","DNK","SA_SPIRITS","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","ISL","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","LSO","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","MDV","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","MRT","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","MCO","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","MOZ","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","NLD","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","NER","SA_SPIRITS","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","PAK","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","PER","SA_WINE","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","KOR","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","LCA","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","SDN","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","MKD","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","TUN","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","TUV","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","USA","SA_BEER","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","VEN","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","ZWE","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","MAR","SA_SPIRITS","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","WSM","SA_BEER","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","SOM","SA_WINE","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","AFG","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","ALB","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","AND","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","AGO","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","BRB","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","BLR","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_SPIRITS","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","BRA","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","BGR","SA_SPIRITS","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","BFA","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","DNK","SA_WINE","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","GRC","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","GRD","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","IRL","SA_BEER","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","IRL","SA_SPIRITS","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","ISR","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","MDG","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","MDV","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","MNG","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","MOZ","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","NER","SA_WINE","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","PER","SA_SPIRITS","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","PRT","SA_BEER","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","PRT","SA_SPIRITS","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","LCA","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","SMR","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","SGP","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","SWZ","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","SWE","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","SWE","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","SYR","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","TJK","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","TTO","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","TUN","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","TKM","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","TUV","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","UZB","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","UZB","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","SOM","SA_SPIRITS","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","ARG","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","ARG","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","AUT","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","AUT","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","BEN","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","BOL","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","BIH","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","SLV","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","DEU","SA_BEER","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","GUY","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","HUN","SA_SPIRITS","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","JAM","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","KAZ","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","LBR","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","LTU","SA_WINE","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","LUX","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","MEX","SA_BEER","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","NAM","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","KOR","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","KOR","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","ROU","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","RUS","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","STP","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","SEN","SA_BEER","ban","","","",""
