"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_2_prev_adult","PUBLISHED","EUR","TJK","FMLE","0.2","0.20000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","CIV","FMLE","0.4","0.40000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","BDI","FMLE","0.7","0.70000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","TCD","FMLE","0.9","0.90000","","",""
"M_def_2_prev_adult","PUBLISHED","AMR","BRB","FMLE","0.9","0.90000","","",""
"M_def_2_prev_adult","PUBLISHED","AMR","DMA","FMLE","0.9","0.90000","","",""
"M_def_2_prev_adult","PUBLISHED","SEAR","IDN","FMLE","1.1","1.10000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","COM","FMLE","1.2","1.20000","","",""
"M_def_2_prev_adult","PUBLISHED","AMR","SLV","FMLE","1.4","1.40000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","MLI","FMLE","1.7","1.70000","","",""
"M_def_2_prev_adult","PUBLISHED","AMR","PAN","BTSX","2.8","2.80000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","NGA","BTSX","2.9","2.90000","","",""
"M_def_2_prev_adult","PUBLISHED","WPR","KHM","FMLE","3.2","3.20000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","STP","BTSX","3.5","3.50000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","MUS","FMLE","3.7","3.70000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","GEO","FMLE","4.0","4.00000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","RWA","FMLE","4.2","4.20000","","",""
"M_def_2_prev_adult","PUBLISHED","AMR","PRY","FMLE","4.2","4.20000","","",""
"M_def_2_prev_adult","PUBLISHED","WPR","KOR","FMLE","4.6","4.60000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","NGA","MLE","5.6","5.60000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","SWZ","BTSX","5.9","5.90000","","",""
"M_def_2_prev_adult","PUBLISHED","EMR","OMN","BTSX","7.3","7.30000","","","Only Omanis were surveyed."
"M_def_2_prev_adult","PUBLISHED","EUR","BLR","FMLE","7.3","7.30000","","",""
"M_def_2_prev_adult","PUBLISHED","AMR","TTO","FMLE","7.7","7.70000","","",""
"M_def_2_prev_adult","PUBLISHED","AMR","ECU","MLE","8.2","8.20000","","","The daily smoking indicator is defined as the proportion of current smokers who are daily smokers."
"M_def_2_prev_adult","PUBLISHED","EUR","ISL","BTSX","11.0","11.00000","","",""
"M_def_2_prev_adult","PUBLISHED","AMR","KNA","MLE","11.4","11.40000","","",""
"M_def_2_prev_adult","PUBLISHED","EMR","PAK","BTSX","11.5","11.50000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","KEN","MLE","11.6","11.60000","","",""
"M_def_2_prev_adult","PUBLISHED","EMR","ARE","BTSX","12.8","12.80000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","CPV","MLE","13.0","13.00000","","",""
"M_def_2_prev_adult","PUBLISHED","WPR","SGP","BTSX","13.3","13.30000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","RWA","MLE","14.0","14.00000","","",""
"M_def_2_prev_adult","PUBLISHED","WPR","NZL","FMLE","14.9","14.90000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","UZB","MLE","15.5","15.50000","","",""
"M_def_2_prev_adult","PUBLISHED","SEAR","MDV","BTSX","15.5","15.50000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","POL","FMLE","18.0","18.00000","","",""
"M_def_2_prev_adult","PUBLISHED","AMR","CHL","FMLE","20.1","20.10000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","ZWE","MLE","20.2","20.20000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","ESP","FMLE","20.2","20.20000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","COM","MLE","20.6","20.60000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","DEU","BTSX","20.9","20.90000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","GAB","MLE","21.5","21.50000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","MLI","MLE","21.6","21.60000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","MUS","BTSX","21.7","21.70000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","KGZ","BTSX","22.2","22.20000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","TUR","BTSX","23.8","23.80000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","CIV","MLE","24.9","24.90000","","",""
"M_def_2_prev_adult","PUBLISHED","AMR","CUB","MLE","25.1","25.10000","","",""
"M_def_2_prev_adult","PUBLISHED","WPR","FSM","FMLE","25.4","25.40000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","EST","BTSX","26.0","26.00000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","BIH","BTSX","28.8","28.80000","","",""
"M_def_2_prev_adult","PUBLISHED","SEAR","MDV","MLE","29.1","29.10000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","GMB","MLE","29.4","29.40000","","",""
"M_def_2_prev_adult","PUBLISHED","EMR","BHR","MLE","30.6","30.60000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","FRA","MLE","32.3","32.30000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","SRB","MLE","32.6","32.60000","","",""
"M_def_2_prev_adult","PUBLISHED","SEAR","THA","MLE","32.7","32.70000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","AND","MLE","35.3","35.30000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","EST","MLE","36.2","36.20000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","KAZ","MLE","36.9","36.90000","","",""
"M_def_2_prev_adult","PUBLISHED","EUR","ALB","MLE","42.3","42.30000","","",""
"M_def_2_prev_adult","PUBLISHED","WPR","NRU","FMLE","50.8","50.80000","","",""
"M_def_2_prev_adult","PUBLISHED","WPR","LAO","MLE","59.1","59.10000","","",""
"M_def_2_prev_adult","PUBLISHED","AFR","AGO","MLE","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","AFR","AGO","FMLE","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","EMR","KWT","BTSX","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","EMR","YEM","BTSX","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","WPR","BRN","MLE","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","AFR","BDI","BTSX","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","AFR","SEN","FMLE","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","AMR","HTI","BTSX","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","AMR","SUR","FMLE","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","AMR","USA","FMLE","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","EUR","TJK","BTSX","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","EUR","GBR","MLE","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","SEAR","PRK","FMLE","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","WPR","PHL","MLE","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","AFR","GAB","BTSX","Not available","","","","Data not reported / not available"
"M_def_2_prev_adult","PUBLISHED","AMR","BLZ","FMLE","Not available","","","","Data not reported / not available"
