"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_TOT_10_POP","FPARM2008","PUBLISHED","2008","EUR","ARM","TOTL","4.52","4.52000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2008","PUBLISHED","2008","EUR","ARM","RUR","4.58","4.58000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2008","PUBLISHED","2008","EUR","ARM","URB","4.48","4.48000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2009","PUBLISHED","2009","EUR","ARM","TOTL","4.43","4.43000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2009","PUBLISHED","2009","EUR","ARM","RUR","3.95","3.95000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2009","PUBLISHED","2009","EUR","ARM","URB","4.69","4.69000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2010","PUBLISHED","2010","EUR","ARM","TOTL","5.51","5.51000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2010","PUBLISHED","2010","EUR","ARM","RUR","4.27","4.27000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2010","PUBLISHED","2010","EUR","ARM","URB","6.23","6.23000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2011","PUBLISHED","2011","EUR","ARM","TOTL","12.80","12.80000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2011","PUBLISHED","2011","EUR","ARM","RUR","11.32","11.32000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2011","PUBLISHED","2011","EUR","ARM","URB","13.63","13.63000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2012","PUBLISHED","2012","EUR","ARM","TOTL","13.90","13.90000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2012","PUBLISHED","2012","EUR","ARM","RUR","15.98","15.98000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2012","PUBLISHED","2012","EUR","ARM","URB","10.28","10.28000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2013","PUBLISHED","2013","EUR","ARM","TOTL","16.05","16.05000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAFG2013","PUBLISHED","2013","EMR","AFG","URB","11.11","11.11000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAFG2013","PUBLISHED","2013","EMR","AFG","RUR","15.73","15.73000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAFG2013","PUBLISHED","2013","EMR","AFG","TOTL","14.63","14.63000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAFG2007","PUBLISHED","2007","EMR","AFG","URB","2.25","2.25000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAFG2007","PUBLISHED","2007","EMR","AFG","RUR","5.53","5.53000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAFG2007","PUBLISHED","2007","EMR","AFG","TOTL","4.84","4.84000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARM2013","PUBLISHED","2013","EUR","ARM","URB","18.79","18.79000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAUS2010","PUBLISHED","2010","WPR","AUS","TOTL","3.71","3.71000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAUT1999","PUBLISHED","1999","EUR","AUT","TOTL","4.31","4.31000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2002","PUBLISHED","2002","EUR","AZE","TOTL","6.97","6.97000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2002","PUBLISHED","2002","EUR","AZE","RUR","6.79","6.79000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2002","PUBLISHED","2002","EUR","AZE","URB","7.14","7.14000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2003","PUBLISHED","2003","EUR","AZE","TOTL","6.99","6.99000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2003","PUBLISHED","2003","EUR","AZE","RUR","7.32","7.32000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2003","PUBLISHED","2003","EUR","AZE","URB","6.70","6.70000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBEL2010","PUBLISHED","2010","EUR","BEL","URB","11.35","11.35000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA1998","PUBLISHED","1998","AFR","BFA","URB","17.34","17.34000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBEN2003","PUBLISHED","2003","AFR","BEN","TOTL","11.11","11.11000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBEN2003","PUBLISHED","2003","AFR","BEN","RUR","11.59","11.59000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBEN2003","PUBLISHED","2003","AFR","BEN","URB","10.26","10.26000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBEN2011","PUBLISHED","2011","AFR","BEN","TOTL","10.92","10.92000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBEN2011","PUBLISHED","2011","AFR","BEN","RUR","12.28","12.28000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBEN2011","PUBLISHED","2011","AFR","BEN","URB","9.05","9.05000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA1998","PUBLISHED","1998","AFR","BFA","TOTL","10.98","10.98000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA1998","PUBLISHED","1998","AFR","BFA","RUR","9.71","9.71000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2004","PUBLISHED","2004","EUR","AZE","TOTL","7.63","7.63000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2004","PUBLISHED","2004","EUR","AZE","RUR","7.71","7.71000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2004","PUBLISHED","2004","EUR","AZE","URB","7.56","7.56000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2005","PUBLISHED","2005","EUR","AZE","TOTL","8.12","8.12000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2005","PUBLISHED","2005","EUR","AZE","RUR","7.77","7.77000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPAZE2005","PUBLISHED","2005","EUR","AZE","URB","8.44","8.44000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBDI1986","PUBLISHED","1986","AFR","BDI","TOTL","4.32","4.32000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBDI1998","PUBLISHED","1998","AFR","BDI","TOTL","2.36","2.36000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBDI1998","PUBLISHED","1998","AFR","BDI","RUR","2.28","2.28000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBDI1998","PUBLISHED","1998","AFR","BDI","URB","3.82","3.82000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBDI2013","PUBLISHED","2013","AFR","BDI","TOTL","3.29","3.29000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBDI2013","PUBLISHED","2013","AFR","BDI","RUR","3.07","3.07000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBDI2013","PUBLISHED","2013","AFR","BDI","URB","5.26","5.26000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBEL1997","PUBLISHED","1997","EUR","BEL","TOTL","4.85","4.85000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBEL2010","PUBLISHED","2010","EUR","BEL","TOTL","11.45","11.45000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBEL2010","PUBLISHED","2010","EUR","BEL","RUR","11.57","11.57000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA2003","PUBLISHED","2003","AFR","BFA","TOTL","8.46","8.46000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA2003","PUBLISHED","2003","AFR","BFA","RUR","7.24","7.24000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA2003","PUBLISHED","2003","AFR","BFA","URB","13.89","13.89000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA2009","PUBLISHED","2009","AFR","BFA","TOTL","3.52","3.52000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA2009","PUBLISHED","2009","AFR","BFA","RUR","3.19","3.19000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA2009","PUBLISHED","2009","AFR","BFA","URB","4.63","4.63000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA2014","PUBLISHED","2014","AFR","BFA","TOTL","3.13","3.13000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA2014","PUBLISHED","2014","AFR","BFA","RUR","2.84","2.84000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBFA2014","PUBLISHED","2014","AFR","BFA","URB","4.16","4.16000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2000","PUBLISHED","2000","SEAR","BGD","TOTL","14.85","14.85000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2000","PUBLISHED","2000","SEAR","BGD","RUR","10.60","10.60000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2000","PUBLISHED","2000","SEAR","BGD","URB","15.92","15.92000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR1997","PUBLISHED","1997","EUR","BGR","RUR","1.18","1.18000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR1997","PUBLISHED","1997","EUR","BGR","URB","2.06","2.06000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2005","PUBLISHED","2005","SEAR","BGD","TOTL","12.34","12.34000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2005","PUBLISHED","2005","SEAR","BGD","RUR","12.53","12.53000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2005","PUBLISHED","2005","SEAR","BGD","URB","11.76","11.76000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2010","PUBLISHED","2010","SEAR","BGD","TOTL","13.86","13.86000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2010","PUBLISHED","2010","SEAR","BGD","RUR","15.85","15.85000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2010","PUBLISHED","2010","SEAR","BGD","URB","8.27","8.27000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2016","PUBLISHED","2016","SEAR","BGD","TOTL","24.67","24.67000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2016","PUBLISHED","2016","SEAR","BGD","RUR","26.05","26.05000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGD2016","PUBLISHED","2016","SEAR","BGD","URB","21.00","21.00000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR1995","PUBLISHED","1995","EUR","BGR","TOTL","2.09","2.09000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR1995","PUBLISHED","1995","EUR","BGR","RUR","1.79","1.79000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR1995","PUBLISHED","1995","EUR","BGR","URB","2.24","2.24000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR1997","PUBLISHED","1997","EUR","BGR","TOTL","1.77","1.77000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2010","PUBLISHED","2010","EUR","BGR","RUR","15.86","15.86000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2010","PUBLISHED","2010","EUR","BGR","URB","8.88","8.88000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2010","PUBLISHED","2010","EUR","BGR","TOTL","12.84","12.84000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBHS2013","PUBLISHED","2013","AMR","BHS","TOTL","2.69","2.69000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2001","PUBLISHED","2001","EUR","BIH","TOTL","14.56","14.56000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2001","PUBLISHED","2001","EUR","BIH","RUR","15.14","15.14000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2001","PUBLISHED","2001","EUR","BIH","URB","13.80","13.80000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2015","PUBLISHED","2015","EUR","BIH","TOTL","8.18","8.18000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR1999","PUBLISHED","1999","EUR","BLR","RUR","0.44","0.44000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR1999","PUBLISHED","1999","EUR","BLR","URB","1.13","1.13000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2000","PUBLISHED","2000","EUR","BLR","TOTL","1.24","1.24000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2015","PUBLISHED","2015","EUR","BIH","RUR","8.53","8.53000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2000","PUBLISHED","2000","EUR","BGR","TOTL","8.81","8.81000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2000","PUBLISHED","2000","EUR","BGR","RUR","7.87","7.87000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2000","PUBLISHED","2000","EUR","BGR","URB","8.54","8.54000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2001","PUBLISHED","2001","EUR","BGR","TOTL","8.77","8.77000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2001","PUBLISHED","2001","EUR","BGR","RUR","8.10","8.10000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2001","PUBLISHED","2001","EUR","BGR","URB","9.11","9.11000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2007","PUBLISHED","2007","EUR","BGR","TOTL","13.74","13.74000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2007","PUBLISHED","2007","EUR","BGR","RUR","11.90","11.90000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBGR2007","PUBLISHED","2007","EUR","BGR","URB","14.51","14.51000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2015","PUBLISHED","2015","EUR","BIH","URB","7.68","7.68000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR1998","PUBLISHED","1998","EUR","BLR","TOTL","0.66","0.66000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR1998","PUBLISHED","1998","EUR","BLR","RUR","0.21","0.21000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR1998","PUBLISHED","1998","EUR","BLR","URB","0.88","0.88000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2004","PUBLISHED","2004","EUR","BIH","TOTL","5.58","5.58000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2004","PUBLISHED","2004","EUR","BIH","RUR","6.02","6.02000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2004","PUBLISHED","2004","EUR","BIH","URB","4.88","4.88000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2007","PUBLISHED","2007","EUR","BIH","TOTL","10.25","10.25000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2007","PUBLISHED","2007","EUR","BIH","RUR","11.22","11.22000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2007","PUBLISHED","2007","EUR","BIH","URB","8.75","8.75000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2011","PUBLISHED","2011","EUR","BIH","TOTL","8.56","8.56000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2011","PUBLISHED","2011","EUR","BIH","RUR","9.15","9.15000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBIH2011","PUBLISHED","2011","EUR","BIH","URB","7.71","7.71000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR1999","PUBLISHED","1999","EUR","BLR","TOTL","0.90","0.90000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2000","PUBLISHED","2000","EUR","BLR","RUR","0.38","0.38000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2008","PUBLISHED","2008","EUR","BLR","URB","2.66","2.66000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2000","PUBLISHED","2000","EUR","BLR","URB","1.62","1.62000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2001","PUBLISHED","2001","EUR","BLR","TOTL","1.84","1.84000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2001","PUBLISHED","2001","EUR","BLR","RUR","1.35","1.35000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2001","PUBLISHED","2001","EUR","BLR","URB","2.05","2.05000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2008","PUBLISHED","2008","EUR","BLR","RUR","3.35","3.35000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2007","PUBLISHED","2007","EUR","BLR","TOTL","2.23","2.23000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2007","PUBLISHED","2007","EUR","BLR","RUR","2.87","2.87000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2007","PUBLISHED","2007","EUR","BLR","URB","1.95","1.95000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2008","PUBLISHED","2008","EUR","BLR","TOTL","2.87","2.87000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2002","PUBLISHED","2002","EUR","BLR","TOTL","3.46","3.46000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2002","PUBLISHED","2002","EUR","BLR","RUR","3.66","3.66000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2002","PUBLISHED","2002","EUR","BLR","URB","3.37","3.37000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2003","PUBLISHED","2003","EUR","BLR","TOTL","3.59","3.59000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2003","PUBLISHED","2003","EUR","BLR","RUR","3.94","3.94000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2003","PUBLISHED","2003","EUR","BLR","URB","3.41","3.41000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2004","PUBLISHED","2004","EUR","BLR","TOTL","2.73","2.73000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2004","PUBLISHED","2004","EUR","BLR","RUR","3.53","3.53000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2004","PUBLISHED","2004","EUR","BLR","URB","2.35","2.35000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2005","PUBLISHED","2005","EUR","BLR","TOTL","2.01","2.01000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2005","PUBLISHED","2005","EUR","BLR","RUR","2.40","2.40000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2005","PUBLISHED","2005","EUR","BLR","URB","1.82","1.82000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2006","PUBLISHED","2006","EUR","BLR","TOTL","2.64","2.64000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2006","PUBLISHED","2006","EUR","BLR","RUR","3.37","3.37000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2006","PUBLISHED","2006","EUR","BLR","URB","2.30","2.30000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2009","PUBLISHED","2009","EUR","BLR","TOTL","3.22","3.22000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2009","PUBLISHED","2009","EUR","BLR","RUR","3.54","3.54000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2009","PUBLISHED","2009","EUR","BLR","URB","3.11","3.11000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2010","PUBLISHED","2010","EUR","BLR","TOTL","3.04","3.04000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2010","PUBLISHED","2010","EUR","BLR","RUR","3.09","3.09000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2010","PUBLISHED","2010","EUR","BLR","URB","3.02","3.02000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBOL1999","PUBLISHED","1999","AMR","BOL","RUR","13.96","13.96000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBOL1999","PUBLISHED","1999","AMR","BOL","URB","11.19","11.19000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2012","PUBLISHED","2012","EUR","BLR","RUR","3.76","3.76000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2012","PUBLISHED","2012","EUR","BLR","URB","4.59","4.59000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2013","PUBLISHED","2013","EUR","BLR","TOTL","6.23","6.23000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2013","PUBLISHED","2013","EUR","BLR","RUR","5.17","5.17000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2013","PUBLISHED","2013","EUR","BLR","URB","6.60","6.60000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2014","PUBLISHED","2014","EUR","BLR","TOTL","5.78","5.78000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPBLR2014","PUBLISHED","2014","EUR","BLR","RUR","4.37","4.37000","","",""
