"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_svy_age_adult","PUBLISHED","EUR","LVA","15-64","","","",""
"M_svy_age_adult","PUBLISHED","EUR","PRT","15-64","","","",""
"M_svy_age_adult","PUBLISHED","EUR","SVK","15-64","","","",""
"M_svy_age_adult","PUBLISHED","SEAR","MDV","15-64","","","",""
"M_svy_age_adult","PUBLISHED","SEAR","MMR","15-64","","","",""
"M_svy_age_adult","PUBLISHED","SEAR","LKA","15-64","","","",""
"M_svy_age_adult","PUBLISHED","WPR","KIR","15-64","","","",""
"M_svy_age_adult","PUBLISHED","WPR","MHL","15-64","","","",""
"M_svy_age_adult","PUBLISHED","WPR","MNG","15-64","","","",""
"M_svy_age_adult","PUBLISHED","WPR","NRU","15-64","","","",""
"M_svy_age_adult","PUBLISHED","WPR","SLB","15-64","","","",""
"M_svy_age_adult","PUBLISHED","EMR","SYR","15-65","","","",""
"M_svy_age_adult","PUBLISHED","SEAR","NPL","15-69","","","",""
"M_svy_age_adult","PUBLISHED","AFR","DZA","15-74","","","",""
"M_svy_age_adult","PUBLISHED","AMR","JAM","15-74","","","",""
"M_svy_age_adult","PUBLISHED","AMR","PRY","15-74","","","",""
"M_svy_age_adult","PUBLISHED","EMR","MAR","15-74","","","",""
"M_svy_age_adult","PUBLISHED","EUR","FRA","15-75","","","",""
"M_svy_age_adult","PUBLISHED","EUR","ISL","15-89","","","",""
"M_svy_age_adult","PUBLISHED","EUR","MLT","15-98","","","",""
"M_svy_age_adult","PUBLISHED","EUR","ARM","16+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","BLR","16+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","GBR","16+","","","","Data representative of Great Britain only."
"M_svy_age_adult","PUBLISHED","EUR","EST","16-64","","","",""
"M_svy_age_adult","PUBLISHED","EUR","NOR","16-74","","","",""
"M_svy_age_adult","PUBLISHED","EUR","SWE","16-84","","","",""
"M_svy_age_adult","PUBLISHED","SEAR","PRK","17+","","","",""
"M_svy_age_adult","PUBLISHED","AMR","BRA","18+","","","",""
"M_svy_age_adult","PUBLISHED","AMR","SLV","18+","","","",""
"M_svy_age_adult","PUBLISHED","AMR","GTM","18+","","","",""
"M_svy_age_adult","PUBLISHED","AMR","USA","18+","","","",""
"M_svy_age_adult","PUBLISHED","EMR","KWT","18+","","","",""
"M_svy_age_adult","PUBLISHED","EMR","LBN","18+","","","",""
"M_svy_age_adult","PUBLISHED","EMR","OMN","18+","","","","Only Omanis were surveyed."
"M_svy_age_adult","PUBLISHED","EMR","ARE","18+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","BIH","18+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","HUN","18+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","RUS","18+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","UKR","18+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","GEO","18-64","","","",""
