"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_smkless_prev_youth","PUBLISHED","AMR","CRI","MLE","0.0","0.00000","","",""
"M_smkless_prev_youth","PUBLISHED","EUR","NLD","FMLE","0.1","0.10000","","",""
"M_smkless_prev_youth","PUBLISHED","EUR","NLD","BTSX","0.2","0.20000","","",""
"M_smkless_prev_youth","PUBLISHED","EUR","NLD","MLE","0.3","0.30000","","",""
"M_smkless_prev_youth","PUBLISHED","AMR","CAN","FMLE","0.3","0.30000","","","*Moderate sampling variability, interpret with caution."
"M_smkless_prev_youth","PUBLISHED","EUR","KAZ","FMLE","0.4","0.40000","","",""
"M_smkless_prev_youth","PUBLISHED","AMR","CRI","BTSX","0.5","0.50000","","",""
"M_smkless_prev_youth","PUBLISHED","EUR","KAZ","BTSX","0.6","0.60000","","",""
"M_smkless_prev_youth","PUBLISHED","WPR","CHN","FMLE","0.6","0.60000","","",""
"M_smkless_prev_youth","PUBLISHED","WPR","BRN","FMLE","0.7","0.70000","","",""
"M_smkless_prev_youth","PUBLISHED","AFR","DZA","FMLE","0.8","0.80000","","",""
"M_smkless_prev_youth","PUBLISHED","EUR","KAZ","MLE","0.8","0.80000","","",""
"M_smkless_prev_youth","PUBLISHED","AMR","CAN","BTSX","0.8","0.80000","","","*Moderate sampling variability, interpret with caution."
"M_smkless_prev_youth","PUBLISHED","EMR","OMN","FMLE","0.9","0.90000","","",""
"M_smkless_prev_youth","PUBLISHED","EMR","TUN","FMLE","0.9","0.90000","","",""
"M_smkless_prev_youth","PUBLISHED","EUR","BIH","FMLE","0.9","0.90000","","",""
"M_smkless_prev_youth","PUBLISHED","EUR","MNE","FMLE","0.9","0.90000","","",""
"M_smkless_prev_youth","PUBLISHED","WPR","BRN","BTSX","0.9","0.90000","","",""
"M_smkless_prev_youth","PUBLISHED","WPR","KOR","MLE","0.9","0.90000","","",""
"M_smkless_prev_youth","PUBLISHED","WPR","KOR","FMLE","0.9","0.90000","","",""
"M_smkless_prev_youth","PUBLISHED","WPR","KOR","BTSX","0.9","0.90000","","",""
"M_smkless_prev_youth","PUBLISHED","EUR","POL","FMLE","1.0","1.00000","","",""
"M_smkless_prev_youth","PUBLISHED","EUR","POL","BTSX","1.0","1.00000","","",""
"M_smkless_prev_youth","PUBLISHED","WPR","CHN","BTSX","1.0","1.00000","","",""
"M_smkless_prev_youth","PUBLISHED","AMR","CRI","FMLE","1.1","1.10000","","",""
