"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_1","PUBLISHED","2012","WPR","COK","","ENVCAUSE001","1","1.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","CZE","","ENVCAUSE001","154","154.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","GRC","","ENVCAUSE001","67","67.00000","","",""
"TOTENV_1","PUBLISHED","2012","AMR","GRD","","ENVCAUSE001","5","5.00000","","",""
"TOTENV_1","PUBLISHED","2012","AMR","GTM","","ENVCAUSE001","3 679","3679.00000","","",""
"TOTENV_1","PUBLISHED","2012","AMR","MEX","","ENVCAUSE001","5 845","5845.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","MKD","","ENVCAUSE001","24","24.00000","","",""
"TOTENV_1","PUBLISHED","2012","AFR","MWI","","ENVCAUSE001","18 688","18688.00000","","",""
"TOTENV_1","PUBLISHED","2012","WPR","MYS","","ENVCAUSE001","1 456","1456.00000","","",""
"TOTENV_1","PUBLISHED","2012","WPR","NIU","","ENVCAUSE001","0","0.00000","","",""
"TOTENV_1","PUBLISHED","2012","WPR","SLB","","ENVCAUSE001","171","171.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","SVK","","ENVCAUSE001","49","49.00000","","",""
"TOTENV_1","PUBLISHED","2012","AFR","SWZ","","ENVCAUSE001","1 277","1277.00000","","",""
"TOTENV_1","PUBLISHED","2012","WPR","TUV","","ENVCAUSE001","2","2.00000","","",""
"TOTENV_1","PUBLISHED","2012","AFR","UGA","","ENVCAUSE001","44 407","44407.00000","","",""
"TOTENV_1","PUBLISHED","2012","WPR","VNM","","ENVCAUSE001","10 706","10706.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","BLR","","ENVCAUSE151","3 807","3807.00000","","",""
"TOTENV_1","PUBLISHED","2012","AMR","CAN","","ENVCAUSE151","3 615","3615.00000","","",""
"TOTENV_1","PUBLISHED","2012","AMR","CHL","","ENVCAUSE151","1 683","1683.00000","","",""
"TOTENV_1","PUBLISHED","2012","WPR","COK","","ENVCAUSE151","5","5.00000","","",""
"TOTENV_1","PUBLISHED","2012","AMR","GTM","","ENVCAUSE151","3 822","3822.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","IRL","","ENVCAUSE151","390","390.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","KGZ","","ENVCAUSE151","1 034","1034.00000","","",""
"TOTENV_1","PUBLISHED","2012","EMR","MAR","","ENVCAUSE151","6 066","6066.00000","","",""
"TOTENV_1","PUBLISHED","2012","WPR","MHL","","ENVCAUSE151","9","9.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","MKD","","ENVCAUSE151","176","176.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","MLT","","ENVCAUSE151","23","23.00000","","",""
"TOTENV_1","PUBLISHED","2012","SEAR","MMR","","ENVCAUSE151","18 407","18407.00000","","",""
"TOTENV_1","PUBLISHED","2012","WPR","MYS","","ENVCAUSE151","6 745","6745.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","NLD","","ENVCAUSE151","1 288","1288.00000","","",""
"TOTENV_1","PUBLISHED","2012","SEAR","NPL","","ENVCAUSE151","8 350","8350.00000","","",""
"TOTENV_1","PUBLISHED","2012","EMR","SAU","","ENVCAUSE151","3 425","3425.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","SVK","","ENVCAUSE151","628","628.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","SVN","","ENVCAUSE151","356","356.00000","","",""
"TOTENV_1","PUBLISHED","2012","SEAR","TLS","","ENVCAUSE151","296","296.00000","","",""
"TOTENV_1","PUBLISHED","2012","AFR","UGA","","ENVCAUSE151","20 469","20469.00000","","",""
"TOTENV_1","PUBLISHED","2012","AMR","CHL","","ENVCAUSE060","9 337","9337.00000","","",""
"TOTENV_1","PUBLISHED","2012","AFR","CIV","","ENVCAUSE060","14 589","14589.00000","","",""
"TOTENV_1","PUBLISHED","2012","AFR","DZA","","ENVCAUSE060","24 914","24914.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","HRV","","ENVCAUSE060","7 144","7144.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","MLT","","ENVCAUSE060","446","446.00000","","",""
"TOTENV_1","PUBLISHED","2012","AFR","MWI","","ENVCAUSE060","9 165","9165.00000","","",""
"TOTENV_1","PUBLISHED","2012","WPR","PLW","","ENVCAUSE060","8","8.00000","","",""
"TOTENV_1","PUBLISHED","2012","EMR","SAU","","ENVCAUSE060","14 242","14242.00000","","",""
"TOTENV_1","PUBLISHED","2012","EUR","SRB","","ENVCAUSE060","16 520","16520.00000","","",""
