"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDPREVENTIONPROGRAMME","Display Value","Numeric","Low","High","Comments"
"RSUD_600","PUBLISHED","2014","AFR","GNQ","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","GRC","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GRD","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GTM","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GTM","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GTM","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GUY","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GUY","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GUY","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GUY","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GUY","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GUY","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GUY","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","GUY","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","HND","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","HND","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","HND","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","HND","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","HND","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","HND","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","HND","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","HRV","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","HTI","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","HUN","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","IDN","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","IND","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","IRL","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","IRN","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","IRQ","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ISL","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ISL","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ISL","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ISL","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ISR","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ITA","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ITA","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ITA","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ITA","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ITA","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","JAM","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","JOR","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","JPN","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","KAZ","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","KEN","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","KGZ","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KHM","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KIR","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KIR","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KIR","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KIR","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KIR","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KIR","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KIR","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","KNA","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","KNA","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","KNA","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","KNA","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","KNA","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","KNA","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","KNA","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","KNA","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KOR","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KOR","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KOR","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KOR","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","KOR","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","KWT","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","KWT","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","KWT","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","KWT","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","LAO","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","LBN","SERVING_STAFF_TRAINING_PROG","No data","","","",""
