"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_WESTERNASIA","1.5 [0.6-3.4]","1.50000","0.60000","3.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","13.1 [11.4-14.7]","13.10000","11.40000","14.70000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_EASTERNAFR","11.0 [9.1-13.2]","11.00000","9.10000","13.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_SOUTHEASTERNASIA","10.2 [8.7-12.0]","10.20000","8.70000","12.00000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_NORTHERNAMR","0.2","0.20000","","","regional average is based only on United States data, hence confidence intervals are not provided"
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_CENTRALASIA","0.3 [0.2-0.4]","0.30000","0.20000","0.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_OCEANIAexAUSNZL","0.3 [0.2-0.4]","0.30000","0.20000","0.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_LAC","2.0 [1.4-2.6]","2.00000","1.40000","2.60000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_LLDC","12.0 [8.8-16.0]","12.00000","8.80000","16.00000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_MIDDLEAFR","4.3 [3.2-5.5]","4.30000","3.20000","5.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_NORTHAFR","1.5 [0.7-3.1]","1.50000","0.70000","3.10000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_SOUTHAMR","1.1 [0.7-1.6]","1.10000","0.70000","1.60000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_SOUTHERNAFR","0.6 [0.5-0.8]","0.60000","0.50000","0.80000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_CARIBBEAN","0.1 [0.1-0.3]","0.10000","0.10000","0.30000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_EASTERNASIA","2.9 [2.6-3.2]","2.90000","2.60000","3.20000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_CENTRALAMR","0.8 [0.5-1.3]","0.80000","0.50000","1.30000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_CENTRALASIASOUTHERNASIA","61.3 [49.7-72.8]","61.30000","49.70000","72.80000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2010","","","","UNSDG_WESTERNASIANORTHERNAFR","3.0 [1.4-4.7]","3.00000","1.40000","4.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_MIDDLEAFR","4.4 [3.3-5.7]","4.40000","3.30000","5.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_EASTERNAFR","11.0 [9.1-13.2]","11.00000","9.10000","13.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_CENTRALASIA","0.3 [0.2-0.4]","0.30000","0.20000","0.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_SOUTHEASTERNASIA","9.8 [8.2-11.6]","9.80000","8.20000","11.60000",""
