"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","Display Value","Numeric","Low","High","Comments"
"MALARIA_15030","PUBLISHED","2001","EUR","ARM","AGE0-4","0","0.00000","","",""
"MALARIA_15030","PUBLISHED","2001","EUR","ARM","","0","0.00000","","",""
"MALARIA_15030","PUBLISHED","2001","EUR","AZE","","316298","316298.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","BEN","","50689","50689.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","BEN","AGE0-4","18384","18384.00000","","",""
"MALARIA_15030","PUBLISHED","2001","SEAR","BTN","","27705","27705.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AMR","BOL","","136276","136276.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","BWA","","96796","96796.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","BFA","AGE0-4","65337","65337.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","BFA","","218215","218215.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","BDI","AGE0-4","5621","5621.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","BDI","","42188","42188.00000","","",""
"MALARIA_15030","PUBLISHED","2001","WPR","KHM","","283140","283140.00000","","",""
"MALARIA_15030","PUBLISHED","2001","WPR","KHM","AGE0-4","83669","83669.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","CAF","","80981","80981.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AMR","SLV","","0","0.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AMR","SLV","AGE0-4","0","0.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","ERI","","53020","53020.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","ERI","AGE0-4","11039","11039.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","ETH","","196623","196623.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","ETH","AGE0-4","","","","",""
"MALARIA_15030","PUBLISHED","2001","EUR","GEO","","203042","203042.00000","","",""
"MALARIA_15030","PUBLISHED","2001","EUR","GEO","AGE0-4","17911","17911.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","GHA","","121037","121037.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","GHA","AGE0-4","102397","102397.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","GIN","","72929","72929.00000","","",""
"MALARIA_15030","PUBLISHED","2001","AFR","GIN","AGE0-4","13970","13970.00000","","",""
"MALARIA_15030","PUBLISHED","2001","EUR","KAZ","","18275","18275.00000","","",""
"MALARIA_15030","PUBLISHED","2001","EUR","KAZ","AGE0-4","0","0.00000","","",""
"MALARIA_15030","PUBLISHED","2001","EUR","KGZ","","715894","715894.00000","","",""
