"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"sevwast5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201004","","No data","","","","Not available."
"sevwast5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201005","","No data","","","","Not available."
"sevwast5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201006","","No data","","","","Not available."
"sevwast5","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","","","AFGMICS201007","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201508","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201509","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201510","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201511","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201512","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201525","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201526","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201527","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","2015","EMR","AFG","","","","","","AFGDHS201528","","No data","","","","Not available."
"sevwast5","EQ_MICS","PUBLISHED","2000","EUR","ALB","","","","","","ALBMICS200001","","4.6 [2.2-9.5]","5.00000","2.00000","9.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","","ALBDHS201701","","0.5 [0.1-3.2]","0.00000","0.00000","3.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2017","EUR","ALB","","","","","","ALBDHS201702","","1.0 [0.3-3.5]","1.00000","0.00000","3.00000",""
"sevwast5","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","","AGOMICS199602","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000","Attention - Estimate is based on 25-49 cases."
"sevwast5","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","","AGOMICS199603","","2.4 [1.3-4.5]","2.00000","1.00000","4.00000",""
"sevwast5","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","","AGOMICS199604","","1.2 [0.6-2.5]","1.00000","1.00000","3.00000",""
"sevwast5","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","","AGOMICS199618","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000","Attention - Estimate is based on 25-49 cases."
"sevwast5","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","","AGODHS201509","","2.0 [1.1-3.6]","2.00000","1.00000","4.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","","AGODHS201510","","0.5 [0.1-1.9]","0.00000","0.00000","2.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","","AGODHS201511","","0.4 [0.1-1.5]","0.00000","0.00000","2.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","","AGODHS201512","","2.2 [1.0-5.1]","2.00000","1.00000","5.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","","AGODHS201513","","1.9 [0.8-4.1]","2.00000","1.00000","4.00000",""
"sevwast5","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","","","ARGMICS201104","","No data","","","","Not available."
"sevwast5","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","","","ARGMICS201105","","No data","","","","Not available."
"sevwast5","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","","","ARGMICS201106","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","","","ARMDHS200501","","0.1 [0.0-1.2]","0.00000","0.00000","1.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","","","ARMDHS201001","","4.0 [1.4-11.3]","4.00000","1.00000","11.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","","","ARMDHS201501","","13.0 [7.0-23.0]","13.00000","7.00000","23.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","","AZEDHS200606","","1.1 [0.3-4.3]","1.00000","0.00000","4.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","","AZEDHS200607","","0.1 [0.0-1.1]","0.00000","0.00000","1.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","","AZEDHS200608","","1.2 [0.3-5.0]","1.00000","0.00000","5.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","","AZEDHS200609","","1.3 [0.4-4.7]","1.00000","0.00000","5.00000",""
"sevwast5","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","","","BGDDHS199304","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","","","BGDDHS199305","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","","","BGDDHS199604","","5.9 [4.2-8.3]","6.00000","4.00000","8.00000",""
"sevwast5","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","","","BGDDHS199605","","6.3 [4.9-8.0]","6.00000","5.00000","8.00000",""
"sevwast5","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","","","BGDDHS199606","","10.3 [8.0-13.2]","10.00000","8.00000","13.00000",""
"sevwast5","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","","BGDMICS200601","","No data","","","","Not available."
"sevwast5","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","","BGDMICS200602","","No data","","","","Not available."
"sevwast5","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","","BGDMICS200603","","No data","","","","Not available."
"sevwast5","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","","BGDMICS200604","","No data","","","","Not available."
"sevwast5","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","","","","BGDDHS200706","","3.5 [2.3-5.3]","3.00000","2.00000","5.00000",""
"sevwast5","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","","","BGDDHS201101","","3.4 [2.2-5.3]","3.00000","2.00000","5.00000",""
"sevwast5","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","","","BLRMICS201206","","No data","","","","Not available."
