"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001782_ARCHIVED","SA_0000001782_ISL","PUBLISHED","2005","EUR","ISL","MLE","15.0","15.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_ITA","PUBLISHED","2005","EUR","ITA","FMLE","20.0","20.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_ISR","PUBLISHED","2005","EUR","ISR","MLE","23.0","23.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_SWE","PUBLISHED","2010","EUR","SWE","FMLE","25.0","25.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_SVK","PUBLISHED","2010","EUR","SVK","FMLE","27.0","27.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_LUX","PUBLISHED","2010","EUR","LUX","FMLE","30.0","30.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_FIN","PUBLISHED","2005","EUR","FIN","FMLE","32.0","32.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_CHE","PUBLISHED","2010","EUR","CHE","FMLE","33.0","33.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_CAN","PUBLISHED","2010","AMR","CAN","MLE","35.0","35.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_IRL","PUBLISHED","2005","EUR","IRL","FMLE","37.0","37.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_IRL","PUBLISHED","2005","EUR","IRL","MLE","39.0","39.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_BEL","PUBLISHED","2010","EUR","BEL","FMLE","41.0","41.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_GRB","PUBLISHED","2010","EUR","GBR","FMLE","42.0","42.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_RUS","PUBLISHED","2005","EUR","RUS","BTSX","43.0","43.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_DNK","PUBLISHED","2010","EUR","DNK","BTSX","45.0","45.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_NLD","PUBLISHED","2010","EUR","NLD","MLE","46.0","46.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_HRV","PUBLISHED","2005","EUR","HRV","BTSX","47.0","47.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_POL","PUBLISHED","2010","EUR","POL","BTSX","48.0","48.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_PRT","PUBLISHED","2005","EUR","PRT","MLE","49.0","49.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_DNK","PUBLISHED","2005","EUR","DNK","MLE","51.0","51.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_HUN","PUBLISHED","2005","EUR","HUN","MLE","52.0","52.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_GRC","PUBLISHED","2005","EUR","GRC","MLE","55.0","55.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_CZE","PUBLISHED","2010","EUR","CZE","BTSX","58.0","58.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_AUT","PUBLISHED","2005","EUR","AUT","BTSX","60.0","60.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_CZE","PUBLISHED","2005","EUR","CZE","MLE","72.0","72.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_MLT","PUBLISHED","2010","EUR","MLT","BTSX","","","","","missing data"
"SA_0000001782_ARCHIVED","SA_0000001782_ISL","PUBLISHED","2010","EUR","ISL","BTSX","11.0","11.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_ROU","PUBLISHED","2010","EUR","ROU","FMLE","22.0","22.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_MKD","PUBLISHED","2005","EUR","MKD","FMLE","22.0","22.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_RUS","PUBLISHED","2010","EUR","RUS","BTSX","26.0","26.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_SWE","PUBLISHED","2005","EUR","SWE","MLE","26.0","26.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_FRA","PUBLISHED","2005","EUR","FRA","BTSX","31.0","31.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_MKD","PUBLISHED","2010","EUR","MKD","BTSX","32.0","32.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_SVN","PUBLISHED","2005","EUR","SVN","FMLE","34.0","34.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_ARM","PUBLISHED","2010","EUR","ARM","FMLE","35.0","35.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_PRT","PUBLISHED","2010","EUR","PRT","FMLE","38.0","38.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_MKD","PUBLISHED","2005","EUR","MKD","MLE","38.0","38.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_SVN","PUBLISHED","2010","EUR","SVN","FMLE","39.0","39.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_SVN","PUBLISHED","2005","EUR","SVN","BTSX","41.0","41.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_DEU","PUBLISHED","2010","EUR","DEU","FMLE","42.0","42.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_BGR","PUBLISHED","2005","EUR","BGR","BTSX","44.0","44.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_DEU","PUBLISHED","2010","EUR","DEU","BTSX","44.0","44.00000","","",""
"SA_0000001782_ARCHIVED","SA_0000001782_RUS","PUBLISHED","2005","EUR","RUS","MLE","46.0","46.00000","","",""
