"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","GHECAUSES","Display Value","Numeric","Low","High","Comments"
"AIR_43","PUBLISHED","2012","AFR","AGO","BTSX","GHE114","53 900","53899.54297","","",""
"AIR_43","PUBLISHED","2012","AMR","ATG","BTSX","GHE039","8","7.73724","","",""
"AIR_43","PUBLISHED","2012","AMR","ATG","BTSX","GHE118","4","3.64053","","",""
"AIR_43","PUBLISHED","2012","AMR","ATG","BTSX","GHE068","22","22.24406","","",""
"AIR_43","PUBLISHED","2012","AMR","ATG","BTSX","GHE113","254","254.34729","","",""
"AIR_43","PUBLISHED","2012","AMR","ATG","BTSX","GHE114","163","162.91714","","",""
"AIR_43","PUBLISHED","2012","AMR","ARG","BTSX","GHE039","7910","7909.58106","","",""
"AIR_43","PUBLISHED","2012","AMR","ARG","BTSX","GHE118","5339","5338.85645","","",""
"AIR_43","PUBLISHED","2012","AMR","ARG","BTSX","GHE068","37 546","37545.78125","","",""
"AIR_43","PUBLISHED","2012","AMR","ARG","BTSX","GHE113","110 617","110617.35940","","",""
"AIR_43","PUBLISHED","2012","AMR","ARG","BTSX","GHE114","59 090","59089.89844","","",""
"AIR_43","PUBLISHED","2012","EUR","ARM","BTSX","GHE039","762","761.64832","","",""
"AIR_43","PUBLISHED","2012","AFR","AGO","BTSX","GHE113","47 195","47195.01172","","",""
"AIR_43","PUBLISHED","2012","AFR","AGO","BTSX","GHE068","1186","1185.72913","","",""
"AIR_43","PUBLISHED","2012","AFR","AGO","BTSX","GHE118","6552","6551.64453","","",""
"AIR_43","PUBLISHED","2012","AFR","AGO","BTSX","GHE039","335 543","335543.46880","","",""
"AIR_43","PUBLISHED","2012","EUR","AND","BTSX","GHE114","91","90.63771","","",""
"AIR_43","PUBLISHED","2012","EUR","AND","BTSX","GHE113","234","233.72849","","",""
"AIR_43","PUBLISHED","2012","EUR","AND","BTSX","GHE068","58","57.79187","","",""
"AIR_43","PUBLISHED","2012","EUR","AND","BTSX","GHE118","7","7.23461","","",""
"AIR_43","PUBLISHED","2012","EUR","AND","BTSX","GHE039","0","0.44995","","",""
"AIR_43","PUBLISHED","2012","AFR","DZA","BTSX","GHE114","135 436","135436.29690","","",""
"AIR_43","PUBLISHED","2012","AFR","DZA","BTSX","GHE113","138 062","138061.67190","","",""
"AIR_43","PUBLISHED","2012","AFR","DZA","BTSX","GHE068","19 433","19432.58398","","",""
"AIR_43","PUBLISHED","2012","AFR","DZA","BTSX","GHE118","7537","7537.22559","","",""
"AIR_43","PUBLISHED","2012","AFR","DZA","BTSX","GHE039","31 601","31600.61328","","",""
"AIR_43","PUBLISHED","2012","EUR","ALB","BTSX","GHE114","14 504","14504.15039","","",""
"AIR_43","PUBLISHED","2012","EUR","ALB","BTSX","GHE113","16 723","16723.47070","","",""
"AIR_43","PUBLISHED","2012","EUR","ALB","BTSX","GHE068","4593","4592.55029","","",""
"AIR_43","PUBLISHED","2012","EUR","ALB","BTSX","GHE118","604","604.33655","","",""
"AIR_43","PUBLISHED","2012","EUR","ALB","BTSX","GHE039","745","744.83472","","",""
"AIR_43","PUBLISHED","2012","EMR","AFG","BTSX","GHE114","88 934","88934.02344","","",""
"AIR_43","PUBLISHED","2012","EMR","AFG","BTSX","GHE113","121 757","121756.84380","","",""
"AIR_43","PUBLISHED","2012","EMR","AFG","BTSX","GHE068","9915","9915.03418","","",""
"AIR_43","PUBLISHED","2012","EMR","AFG","BTSX","GHE118","9245","9244.85645","","",""
"AIR_43","PUBLISHED","2012","EMR","AFG","BTSX","GHE039","343 358","343357.65630","","",""
"AIR_43","PUBLISHED","2012","EUR","ARM","BTSX","GHE118","1391","1390.54260","","",""
"AIR_43","PUBLISHED","2012","EMR","BHR","BTSX","GHE118","511","511.21115","","",""
"AIR_43","PUBLISHED","2012","EMR","BHR","BTSX","GHE068","620","620.49646","","",""
"AIR_43","PUBLISHED","2012","EMR","BHR","BTSX","GHE113","2277","2276.80298","","",""
"AIR_43","PUBLISHED","2012","EMR","BHR","BTSX","GHE114","1161","1161.28748","","",""
"AIR_43","PUBLISHED","2012","SEAR","BGD","BTSX","GHE039","353 835","353834.75000","","",""
"AIR_43","PUBLISHED","2012","SEAR","BGD","BTSX","GHE118","271 662","271661.62500","","",""
"AIR_43","PUBLISHED","2012","SEAR","BGD","BTSX","GHE068","121 865","121865.41410","","",""
"AIR_43","PUBLISHED","2012","SEAR","BGD","BTSX","GHE113","270 583","270583.40630","","",""
"AIR_43","PUBLISHED","2012","SEAR","BGD","BTSX","GHE114","249 310","249309.85940","","",""
"AIR_43","PUBLISHED","2012","AMR","BRB","BTSX","GHE039","60","59.99429","","",""
"AIR_43","PUBLISHED","2012","AMR","BRB","BTSX","GHE118","19","19.11551","","",""
"AIR_43","PUBLISHED","2012","AMR","BRB","BTSX","GHE068","92","92.28384","","",""
"AIR_43","PUBLISHED","2012","AMR","BRB","BTSX","GHE113","467","466.99640","","",""
"AIR_43","PUBLISHED","2012","AMR","BRB","BTSX","GHE114","381","380.64914","","",""
"AIR_43","PUBLISHED","2012","EUR","BLR","BTSX","GHE039","372","372.46680","","",""
"AIR_43","PUBLISHED","2012","EUR","BLR","BTSX","GHE118","2086","2086.29810","","",""
"AIR_43","PUBLISHED","2012","EUR","BLR","BTSX","GHE068","15 300","15299.68652","","",""
"AIR_43","PUBLISHED","2012","EUR","BLR","BTSX","GHE113","145 781","145781.20310","","",""
"AIR_43","PUBLISHED","2012","EUR","BLR","BTSX","GHE114","43 834","43834.48828","","",""
"AIR_43","PUBLISHED","2012","EUR","BEL","BTSX","GHE039","155","154.57162","","",""
"AIR_43","PUBLISHED","2012","EUR","ARM","BTSX","GHE068","9713","9713.17871","","",""
"AIR_43","PUBLISHED","2012","EUR","ARM","BTSX","GHE113","31 157","31157.11523","","",""
"AIR_43","PUBLISHED","2012","EUR","ARM","BTSX","GHE114","12 978","12978.04004","","",""
"AIR_43","PUBLISHED","2012","WPR","AUS","BTSX","GHE039","8","7.73207","","",""
"AIR_43","PUBLISHED","2012","WPR","AUS","BTSX","GHE118","22","22.35662","","",""
"AIR_43","PUBLISHED","2012","WPR","AUS","BTSX","GHE068","304","303.90460","","",""
"AIR_43","PUBLISHED","2012","WPR","AUS","BTSX","GHE113","1050","1049.73303","","",""
"AIR_43","PUBLISHED","2012","WPR","AUS","BTSX","GHE114","318","318.01480","","",""
"AIR_43","PUBLISHED","2012","EUR","AUT","BTSX","GHE039","99","99.04768","","",""
"AIR_43","PUBLISHED","2012","EUR","AUT","BTSX","GHE118","2110","2110.04810","","",""
"AIR_43","PUBLISHED","2012","EUR","AUT","BTSX","GHE068","16 581","16581.15820","","",""
"AIR_43","PUBLISHED","2012","EUR","AUT","BTSX","GHE113","27 161","27160.51367","","",""
"AIR_43","PUBLISHED","2012","EUR","AUT","BTSX","GHE114","8730","8730.27148","","",""
"AIR_43","PUBLISHED","2012","EUR","AZE","BTSX","GHE039","12 283","12282.90625","","",""
"AIR_43","PUBLISHED","2012","EUR","AZE","BTSX","GHE118","2214","2213.64844","","",""
"AIR_43","PUBLISHED","2012","EUR","AZE","BTSX","GHE068","7450","7450.34717","","",""
"AIR_43","PUBLISHED","2012","EUR","AZE","BTSX","GHE113","61 409","61409.32813","","",""
"AIR_43","PUBLISHED","2012","EUR","AZE","BTSX","GHE114","28 579","28578.91211","","",""
"AIR_43","PUBLISHED","2012","AMR","BHS","BTSX","GHE039","274","273.64343","","",""
"AIR_43","PUBLISHED","2012","AMR","BHS","BTSX","GHE118","15","14.70621","","",""
"AIR_43","PUBLISHED","2012","AMR","BHS","BTSX","GHE068","126","126.32297","","",""
"AIR_43","PUBLISHED","2012","AMR","BHS","BTSX","GHE113","636","636.33966","","",""
"AIR_43","PUBLISHED","2012","AMR","BHS","BTSX","GHE114","393","392.78171","","",""
"AIR_43","PUBLISHED","2012","EMR","BHR","BTSX","GHE039","161","160.88635","","",""
"AIR_43","PUBLISHED","2012","EUR","BEL","BTSX","GHE118","2955","2954.90869","","",""
"AIR_43","PUBLISHED","2012","EUR","BIH","BTSX","GHE118","3084","3084.26050","","",""
