"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"SDGPM25","PUBLISHED","2016","EUR","","GEO","URB","24.0 [18.4-32.1]","24.01417","18.38943","32.05320",""
"SDGPM25","PUBLISHED","2016","AFR","","GHA","TOTL","31.9 [18.5-66.8]","31.94719","18.53030","66.80404",""
"SDGPM25","PUBLISHED","2016","AFR","","GHA","URB","31.1 [17.7-64.7]","31.07339","17.69355","64.70197",""
"SDGPM25","PUBLISHED","2016","AFR","","GIN","TOTL","22.4 [12.3-47.4]","22.43213","12.29754","47.42202",""
"SDGPM25","PUBLISHED","2016","AFR","","GIN","URB","22.2 [12.5-46.4]","22.23759","12.54016","46.41361",""
"SDGPM25","PUBLISHED","2016","AFR","","GMB","URB","32.3 [17.1-61.1]","32.32129","17.11678","61.06905",""
"SDGPM25","PUBLISHED","2016","AFR","","GMB","TOTL","32.2 [17.5-61.8]","32.19739","17.45793","61.80671",""
"SDGPM25","PUBLISHED","2016","AFR","","GNB","URB","26.5 [13.1-67.9]","26.49467","13.09271","67.86349",""
"SDGPM25","PUBLISHED","2016","AFR","","GNB","TOTL","27.1 [14.3-62.1]","27.11896","14.25736","62.11493",""
"SDGPM25","PUBLISHED","2016","AFR","","GNQ","TOTL","45.9 [21.9-108.0]","45.90295","21.86041","108.03126",""
"SDGPM25","PUBLISHED","2016","AFR","","GNQ","URB","49.1 [22.9-123.5]","49.11919","22.85766","123.46676",""
"SDGPM25","PUBLISHED","2016","EUR","","GRC","URB","16.4 [15.4-19.0]","16.41390","15.37311","19.02460",""
"SDGPM25","PUBLISHED","2016","EUR","","GRC","TOTL","15.7 [14.6-18.6]","15.68771","14.57516","18.61314",""
"SDGPM25","PUBLISHED","2016","AMR","","GRD","TOTL","21.6 [10.7-43.8]","21.56314","10.68191","43.75576",""
"SDGPM25","PUBLISHED","2016","AMR","","GRD","URB","21.8 [10.7-44.4]","21.77048","10.72020","44.43507",""
"SDGPM25","PUBLISHED","2016","AMR","","GTM","URB","24.2 [18.5-31.7]","24.22721","18.48492","31.72423",""
"SDGPM25","PUBLISHED","2016","AMR","","GTM","TOTL","23.6 [17.8-30.9]","23.58562","17.80107","30.86827",""
"SDGPM25","PUBLISHED","2016","AMR","","GUY","TOTL","20.5 [9.3-43.6]","20.45650","9.28605","43.62848",""
"SDGPM25","PUBLISHED","2016","AMR","","GUY","URB","21.6 [9.2-47.2]","21.62154","9.16383","47.17725",""
"SDGPM25","PUBLISHED","2016","AMR","","HND","TOTL","20.1 [14.6-28.9]","20.12168","14.64028","28.85725",""
"SDGPM25","PUBLISHED","2016","AMR","","HND","URB","21.5 [15.2-32.3]","21.46190","15.16883","32.28015",""
