"GHO","PUBLISHSTATE","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"VIOLENCE_CHILD_SEXUAL","PUBLISHED","GLOBAL","YEARSLESS18","FMLE","18","18.00000","","",""
"VIOLENCE_CHILD_SEXUAL","PUBLISHED","GLOBAL","YEARSLESS18","MLE","7.6","7.60000","","",""
