"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000009","NLIS_310374","PUBLISHED","1986-1988","SEAR","BTN","BTSX","3.5","3.50000","","",""
"WHOSIS_000009","NLIS_313244","PUBLISHED","2013","SEAR","BGD","MLE","3.0","3.00000","","",""
"WHOSIS_000009","NLIS_313244","PUBLISHED","2013","SEAR","BGD","BTSX","2.6","2.60000","","",""
"WHOSIS_000009","NLIS_312654","PUBLISHED","2000","SEAR","MMR","BTSX","2.4","2.40000","","",""
"WHOSIS_000009","NLIS_311778","PUBLISHED","1995","SEAR","MDV","BTSX","2.2","2.20000","","",""
"WHOSIS_000009","NLIS_313244","PUBLISHED","2013","SEAR","BGD","FMLE","2.0","2.00000","","",""
"WHOSIS_000009","NLIS_313135","PUBLISHED","2011","SEAR","BGD","BTSX","1.9","1.90000","","",""
"WHOSIS_000009","NLIS_312799","PUBLISHED","2005-2006","SEAR","IND","FMLE","1.7","1.70000","","",""
"WHOSIS_000009","NLIS_313114","PUBLISHED","2011","SEAR","NPL","MLE","1.5","1.50000","","",""
"WHOSIS_000009","NLIS_313286","PUBLISHED","2013","SEAR","TLS","BTSX","1.5","1.50000","","",""
"WHOSIS_000009","NLIS_311569","PUBLISHED","1994","SEAR","MDV","MLE","1.3","1.30000","","",""
"WHOSIS_000009","NLIS_312471","PUBLISHED","2002","SEAR","PRK","FMLE","1.1","1.10000","","",""
"WHOSIS_000009","NLIS_311569","PUBLISHED","1994","SEAR","MDV","FMLE","1.0","1.00000","","",""
"WHOSIS_000009","NLIS_312641","PUBLISHED","2003","SEAR","BGD","BTSX","0.9","0.90000","","",""
"WHOSIS_000009","NLIS_312413","PUBLISHED","2001","SEAR","BGD","MLE","0.9","0.90000","","",""
"WHOSIS_000009","NLIS_312641","PUBLISHED","2003","SEAR","BGD","FMLE","0.8","0.80000","","",""
"WHOSIS_000009","NLIS_312413","PUBLISHED","2001","SEAR","BGD","BTSX","0.8","0.80000","","",""
"WHOSIS_000009","NLIS_312413","PUBLISHED","2001","SEAR","BGD","FMLE","0.7","0.70000","","",""
"WHOSIS_000009","NLIS_312336","PUBLISHED","2001","SEAR","NPL","FMLE","0.7","0.70000","","",""
"WHOSIS_000009","NLIS_312471","PUBLISHED","2002","SEAR","PRK","MLE","0.7","0.70000","","",""
"WHOSIS_000009","NLIS_312878","PUBLISHED","2006","SEAR","BGD","FMLE","0.5","0.50000","","",""
"WHOSIS_000009","NLIS_312104","PUBLISHED","1999","SEAR","BGD","FMLE","0.5","0.50000","","",""
"WHOSIS_000009","NLIS_310303","PUBLISHED","1987","SEAR","LKA","BTSX","0.4","0.40000","","",""
"WHOSIS_000009","NLIS_312189","PUBLISHED","1997-1998","SEAR","NPL","BTSX","0.4","0.40000","","",""
"WHOSIS_000009","NLIS_312839","PUBLISHED","1996","SEAR","BGD","MLE","0.3","0.30000","","",""
"WHOSIS_000009","NLIS_312832","PUBLISHED","1993","SEAR","BGD","FMLE","0.3","0.30000","","",""
"WHOSIS_000009","NLIS_312828","PUBLISHED","1991","SEAR","BGD","BTSX","0.3","0.30000","","",""
"WHOSIS_000009","NLIS_311935","PUBLISHED","1998","SEAR","BGD","FMLE","0.2","0.20000","","",""
"WHOSIS_000009","NLIS_312836","PUBLISHED","1995","SEAR","BGD","BTSX","0.2","0.20000","","",""
"WHOSIS_000009","NLIS_312828","PUBLISHED","1991","SEAR","BGD","FMLE","0.2","0.20000","","",""
"WHOSIS_000009","NLIS_313074","PUBLISHED","2009","SEAR","PRK","FMLE","0.0","0.00000","","",""
"WHOSIS_000009","NLIS_312879","PUBLISHED","2005","EUR","ALB","BTSX","25.2","25.20000","","",""
"WHOSIS_000009","NLIS_312879","PUBLISHED","2005","EUR","ALB","MLE","25.1","25.10000","","",""
"WHOSIS_000009","NLIS_313062","PUBLISHED","2008-2009","EUR","ALB","MLE","23.3","23.30000","","",""
"WHOSIS_000009","NLIS_312851","PUBLISHED","2005-2006","EUR","SRB","MLE","20.4","20.40000","","",""
"WHOSIS_000009","NLIS_313219","PUBLISHED","2013","EUR","MNE","FMLE","19.6","19.60000","","",""
"WHOSIS_000009","NLIS_313082","PUBLISHED","2009","EUR","GEO","FMLE","18.3","18.30000","","",""
"WHOSIS_000009","NLIS_313158","PUBLISHED","2011-2012","EUR","BIH","FMLE","18.0","18.00000","","",""
"WHOSIS_000009","NLIS_312860","PUBLISHED","2006","EUR","KAZ","BTSX","16.9","16.90000","","",""
"WHOSIS_000009","NLIS_313117","PUBLISHED","2010","EUR","ARM","BTSX","16.8","16.80000","","",""
"WHOSIS_000009","NLIS_312866","PUBLISHED","2005","EUR","MKD","MLE","16.6","16.60000","","",""
"WHOSIS_000009","NLIS_312344","PUBLISHED","2000-2001","EUR","ARM","BTSX","16.0","16.00000","","",""
"WHOSIS_000009","NLIS_312362","PUBLISHED","2000","EUR","BIH","FMLE","15.9","15.90000","","",""
"WHOSIS_000009","NLIS_313117","PUBLISHED","2010","EUR","ARM","FMLE","14.6","14.60000","","",""
"WHOSIS_000009","NLIS_312727","PUBLISHED","2003-2004","EUR","GRC","FMLE","14.5","14.50000","","",""
"WHOSIS_000009","NLIS_312785","PUBLISHED","2005","EUR","ARM","MLE","13.9","13.90000","","",""
"WHOSIS_000009","NLIS_312768","PUBLISHED","2004","EUR","BGR","BTSX","13.6","13.60000","","",""
"WHOSIS_000009","NLIS_313159","PUBLISHED","2010-2011","EUR","KAZ","BTSX","13.3","13.30000","","",""
"WHOSIS_000009","NLIS_313269","PUBLISHED","2013","EUR","AZE","BTSX","13.0","13.00000","","",""
"WHOSIS_000009","NLIS_312933","PUBLISHED","2006","EUR","AZE","FMLE","12.7","12.70000","","",""
"WHOSIS_000009","NLIS_312768","PUBLISHED","2004","EUR","BGR","FMLE","12.6","12.60000","","",""
"WHOSIS_000009","NLIS_313227","PUBLISHED","2013-2014","EUR","TUR","BTSX","10.9","10.90000","","",""
"WHOSIS_000009","NLIS_312629","PUBLISHED","2002","EUR","UZB","FMLE","10.7","10.70000","","",""
"WHOSIS_000009","NLIS_311998","PUBLISHED","1999","EUR","MKD","MLE","10.2","10.20000","","",""
"WHOSIS_000009","NLIS_312477","PUBLISHED","1999","EUR","ROU","FMLE","10.0","10.00000","","",""
"WHOSIS_000009","NLIS_312868","PUBLISHED","2012","EUR","KGZ","MLE","9.8","9.80000","","",""
"WHOSIS_000009","NLIS_311841","PUBLISHED","1997","EUR","KGZ","MLE","9.7","9.70000","","",""
"WHOSIS_000009","NLIS_312785","PUBLISHED","2005","EUR","ARM","FMLE","9.1","9.10000","","",""
"WHOSIS_000009","NLIS_312477","PUBLISHED","2001","EUR","ROU","BTSX","9.1","9.10000","","",""
"WHOSIS_000009","NLIS_312868","PUBLISHED","2012","EUR","KGZ","BTSX","9.0","9.00000","","",""
"WHOSIS_000009","NLIS_312477","PUBLISHED","2000","EUR","ROU","BTSX","8.9","8.90000","","",""
"WHOSIS_000009","NLIS_312181","PUBLISHED","1999","EUR","KAZ","MLE","7.8","7.80000","","",""
"WHOSIS_000009","NLIS_312781","PUBLISHED","2003-2004","EUR","TUR","FMLE","7.5","7.50000","","",""
"WHOSIS_000009","NLIS_312862","PUBLISHED","2005","EUR","TJK","MLE","7.2","7.20000","","",""
"WHOSIS_000009","NLIS_311674","PUBLISHED","1995","EUR","KAZ","MLE","7.1","7.10000","","",""
"WHOSIS_000009","NLIS_313164","PUBLISHED","2012","EUR","TJK","MLE","6.9","6.90000","","",""
"WHOSIS_000009","NLIS_311387","PUBLISHED","1993","EUR","TUR","MLE","5.7","5.70000","","",""
"WHOSIS_000009","NLIS_311387","PUBLISHED","1993","EUR","TUR","BTSX","5.0","5.00000","","",""
"WHOSIS_000009","NLIS_312764","PUBLISHED","2001-2002","EUR","CZE","MLE","4.7","4.70000","","",""
"WHOSIS_000009","NLIS_312569","PUBLISHED","2001","EUR","AZE","BTSX","4.4","4.40000","","",""
"WHOSIS_000009","NLIS_311996","PUBLISHED","1998","EUR","TUR","MLE","4.4","4.40000","","",""
"WHOSIS_000009","NLIS_313170","PUBLISHED","2009","EUR","TJK","BTSX","4.2","4.20000","","",""
"WHOSIS_000009","NLIS_312764","PUBLISHED","2001-2002","EUR","CZE","FMLE","4.1","4.10000","","",""
"WHOSIS_000009","NLIS_311509","PUBLISHED","1980-1988","EUR","HUN","BTSX","3.0","3.00000","","",""
"WHOSIS_000009","NLIS_310904","PUBLISHED","1980","EUR","NLD","FMLE","2.1","2.10000","","",""
"WHOSIS_000009","NLIS_311660","PUBLISHED","1996","EMR","LBN","BTSX","20.8","20.80000","","",""
"WHOSIS_000009","NLIS_312875","PUBLISHED","2001","EMR","SYR","FMLE","19.1","19.10000","","",""
"WHOSIS_000009","NLIS_312221","PUBLISHED","2000","EMR","EGY","MLE","18.9","18.90000","","",""
"WHOSIS_000009","NLIS_313068","PUBLISHED","2009","EMR","SYR","FMLE","18.1","18.10000","","",""
"WHOSIS_000009","NLIS_312221","PUBLISHED","2000","EMR","EGY","FMLE","17.4","17.40000","","",""
"WHOSIS_000009","NLIS_313266","PUBLISHED","2014","EMR","EGY","MLE","16.4","16.40000","","",""
"WHOSIS_000009","NLIS_310442","PUBLISHED","1991","EMR","EGY","MLE","15.9","15.90000","","",""
"WHOSIS_000009","NLIS_313266","PUBLISHED","2014","EMR","EGY","BTSX","15.7","15.70000","","",""
"WHOSIS_000009","NLIS_313208","PUBLISHED","2011-2012","EMR","TUN","FMLE","13.7","13.70000","","",""
"WHOSIS_000009","NLIS_313115","PUBLISHED","2010-2011","EMR","MAR","MLE","12.5","12.50000","","",""
"WHOSIS_000009","NLIS_313217","PUBLISHED","2011","EMR","IRQ","FMLE","11.1","11.10000","","",""
"WHOSIS_000009","NLIS_313010","PUBLISHED","2001","EMR","KWT","FMLE","11.0","11.00000","","",""
"WHOSIS_000009","NLIS_310689","PUBLISHED","1991-1992","EMR","YEM","FMLE","10.8","10.80000","","",""
"WHOSIS_000009","NLIS_313144","PUBLISHED","2012","EMR","KWT","MLE","10.2","10.20000","","",""
"WHOSIS_000009","NLIS_310364","PUBLISHED","1990","EMR","JOR","MLE","9.7","9.70000","","",""
"WHOSIS_000009","NLIS_312924","PUBLISHED","2006","EMR","TUN","FMLE","9.2","9.20000","","",""
"WHOSIS_000009","NLIS_313254","PUBLISHED","2014","EMR","KWT","MLE","8.9","8.90000","","",""
"WHOSIS_000009","NLIS_313254","PUBLISHED","2013","EMR","KWT","MLE","8.0","8.00000","","",""
"WHOSIS_000009","NLIS_313048","PUBLISHED","2007","EMR","KWT","MLE","7.8","7.80000","","",""
"WHOSIS_000009","NLIS_311276","PUBLISHED","1985-1987","EMR","PAK","BTSX","7.8","7.80000","","",""
"WHOSIS_000009","NLIS_313010","PUBLISHED","2002","EMR","KWT","BTSX","6.6","6.60000","","",""
"WHOSIS_000009","NLIS_313113","PUBLISHED","2011","EMR","PAK","BTSX","6.4","6.40000","","",""
"WHOSIS_000009","NLIS_312809","PUBLISHED","2004-2005","EMR","SAU","BTSX","6.1","6.10000","","",""
"WHOSIS_000009","NLIS_313010","PUBLISHED","2003","EMR","KWT","FMLE","6.0","6.00000","","",""
"WHOSIS_000009","NLIS_313168","PUBLISHED","2012","EMR","JOR","MLE","5.6","5.60000","","",""
"WHOSIS_000009","NLIS_312911","PUBLISHED","2006","EMR","SDN","FMLE","5.5","5.50000","","",""
"WHOSIS_000009","NLIS_312891","PUBLISHED","2003","EMR","YEM","BTSX","5.0","5.00000","","",""
"WHOSIS_000009","NLIS_312522","PUBLISHED","2002","EMR","JOR","MLE","4.9","4.90000","","",""
"WHOSIS_000009","NLIS_312588","PUBLISHED","2001","EMR","PAK","MLE","4.8","4.80000","","",""
"WHOSIS_000009","NLIS_310689","PUBLISHED","1991-1992","EMR","YEM","MLE","4.7","4.70000","","",""
"WHOSIS_000009","NLIS_312891","PUBLISHED","2003","EMR","YEM","MLE","4.6","4.60000","","",""
"WHOSIS_000009","NLIS_312522","PUBLISHED","2002","EMR","JOR","FMLE","4.5","4.50000","","",""
"WHOSIS_000009","NLIS_312852","PUBLISHED","2006","EMR","SOM","FMLE","4.5","4.50000","","",""
"WHOSIS_000009","NLIS_310702","PUBLISHED","1988","EMR","TUN","MLE","4.4","4.40000","","",""
"WHOSIS_000009","NLIS_313151","PUBLISHED","2006","EMR","SDN","BTSX","4.2","4.20000","","",""
"WHOSIS_000009","NLIS_310702","PUBLISHED","1988","EMR","TUN","FMLE","4.2","4.20000","","",""
"WHOSIS_000009","NLIS_313276","PUBLISHED","2013","EMR","YEM","MLE","2.5","2.50000","","",""
"WHOSIS_000009","NLIS_313055","PUBLISHED","2009","EMR","OMN","FMLE","2.0","2.00000","","",""
"WHOSIS_000009","NLIS_310240","PUBLISHED","1973-1975","EMR","TUN","FMLE","1.9","1.90000","","",""
"WHOSIS_000009","NLIS_311969","PUBLISHED","1996-1997","EMR","TUN","BTSX","1.4","1.40000","","",""
"WHOSIS_000009","NLIS_311931","PUBLISHED","1990-1994","EMR","PAK","MLE","1.3","1.30000","","",""
"WHOSIS_000009","NLIS_310190","PUBLISHED","1986","AMR","CHL","BTSX","15.4","15.40000","","",""
"WHOSIS_000009","NLIS_312103","PUBLISHED","1995-1996","AMR","ARG","BTSX","13.5","13.50000","","",""
"WHOSIS_000009","NLIS_312452","PUBLISHED","2001","AMR","CHL","BTSX","12.9","12.90000","","",""
"WHOSIS_000009","NLIS_312320","PUBLISHED","2000","AMR","PER","BTSX","11.8","11.80000","","",""
"WHOSIS_000009","NLIS_313238","PUBLISHED","2012","AMR","BRB","MLE","11.3","11.30000","","",""
"WHOSIS_000009","NLIS_311757","PUBLISHED","1996","AMR","PER","MLE","10.9","10.90000","","",""
"WHOSIS_000009","NLIS_313192","PUBLISHED","2011","AMR","PER","MLE","10.4","10.40000","","",""
"WHOSIS_000009","NLIS_311278","PUBLISHED","1994","AMR","CHL","BTSX","10.1","10.10000","","",""
"WHOSIS_000009","NLIS_310363","PUBLISHED","1991-1992","AMR","PER","MLE","9.9","9.90000","","",""
"WHOSIS_000009","NLIS_313023","PUBLISHED","2007-2008","AMR","PER","FMLE","9.8","9.80000","","",""
"WHOSIS_000009","NLIS_312920","PUBLISHED","2008","AMR","CHL","BTSX","9.5","9.50000","","",""
"WHOSIS_000009","NLIS_312777","PUBLISHED","2004","AMR","URY","BTSX","9.4","9.40000","","",""
"WHOSIS_000009","NLIS_312666","PUBLISHED","2003-2004","AMR","BOL","FMLE","9.3","9.30000","","",""
"WHOSIS_000009","NLIS_312948","PUBLISHED","2008","AMR","BOL","MLE","9.2","9.20000","","",""
"WHOSIS_000009","NLIS_313186","PUBLISHED","2007-2010","AMR","USA","MLE","9.1","9.10000","","",""
"WHOSIS_000009","NLIS_313139","PUBLISHED","2011-2012","AMR","MEX","BTSX","9.0","9.00000","","",""
"WHOSIS_000009","NLIS_312580","PUBLISHED","2002","AMR","DOM","BTSX","8.6","8.60000","","",""
"WHOSIS_000009","NLIS_313073","PUBLISHED","2008-2009","AMR","CRI","BTSX","8.1","8.10000","","",""
"WHOSIS_000009","NLIS_313242","PUBLISHED","2012-2013","AMR","ECU","MLE","7.9","7.90000","","",""
"WHOSIS_000009","NLIS_313186","PUBLISHED","2007-2010","AMR","USA","BTSX","7.8","7.80000","","",""
"WHOSIS_000009","NLIS_310189","PUBLISHED","1970-1972","AMR","CAN","BTSX","7.6","7.60000","","",""
"WHOSIS_000009","NLIS_312082","PUBLISHED","1998-1999","AMR","GTM","MLE","7.6","7.60000","","",""
"WHOSIS_000009","NLIS_313127","PUBLISHED","2011","AMR","URY","FMLE","7.6","7.60000","","",""
"WHOSIS_000009","NLIS_311918","PUBLISHED","1997-1998","AMR","NIC","MLE","7.5","7.50000","","",""
"WHOSIS_000009","NLIS_312870","PUBLISHED","2006-2007","AMR","BRA","BTSX","7.3","7.30000","","",""
"WHOSIS_000009","NLIS_311359","PUBLISHED","1993-1994","AMR","BOL","BTSX","7.1","7.10000","","",""
"WHOSIS_000009","NLIS_312932","PUBLISHED","2005","AMR","PER","FMLE","7.1","7.10000","","",""
"WHOSIS_000009","NLIS_313191","PUBLISHED","2010","AMR","PER","FMLE","7.0","7.00000","","",""
"WHOSIS_000009","NLIS_312082","PUBLISHED","1998-1999","AMR","GTM","BTSX","6.9","6.90000","","",""
"WHOSIS_000009","NLIS_312606","PUBLISHED","1999-2002","AMR","USA","FMLE","6.9","6.90000","","",""
"WHOSIS_000009","NLIS_312786","PUBLISHED","2006","AMR","MEX","FMLE","6.7","6.70000","","",""
"WHOSIS_000009","NLIS_312516","PUBLISHED","2002-2003","AMR","SLV","MLE","6.6","6.60000","","",""
"WHOSIS_000009","NLIS_311918","PUBLISHED","1997-1998","AMR","NIC","FMLE","6.4","6.40000","","",""
"WHOSIS_000009","NLIS_312770","PUBLISHED","2005-2006","AMR","HND","MLE","6.3","6.30000","","",""
"WHOSIS_000009","NLIS_312388","PUBLISHED","2001","AMR","NIC","FMLE","6.2","6.20000","","",""
"WHOSIS_000009","NLIS_311680","PUBLISHED","1996","AMR","BRA","FMLE","5.8","5.80000","","",""
"WHOSIS_000009","NLIS_313273","PUBLISHED","2012","AMR","JAM","MLE","5.8","5.80000","","",""
"WHOSIS_000009","NLIS_312774","PUBLISHED","2001","AMR","JAM","BTSX","5.7","5.70000","","",""
"WHOSIS_000009","NLIS_311672","PUBLISHED","1995","AMR","GTM","FMLE","5.6","5.60000","","",""
"WHOSIS_000009","NLIS_313128","PUBLISHED","2005","AMR","VEN","BTSX","5.5","5.50000","","",""
"WHOSIS_000009","NLIS_311766","PUBLISHED","1988-1994","AMR","USA","BTSX","5.4","5.40000","","",""
"WHOSIS_000009","NLIS_312782","PUBLISHED","2004","AMR","ECU","MLE","5.2","5.20000","","",""
"WHOSIS_000009","NLIS_312770","PUBLISHED","2005-2006","AMR","HND","FMLE","5.2","5.20000","","",""
"WHOSIS_000009","NLIS_312902","PUBLISHED","2003-2005","AMR","NIC","BTSX","5.2","5.20000","","",""
"WHOSIS_000009","NLIS_312782","PUBLISHED","2004","AMR","ECU","FMLE","5.0","5.00000","","",""
"WHOSIS_000009","NLIS_311854","PUBLISHED","1997","AMR","VEN","BTSX","5.0","5.00000","","",""
"WHOSIS_000009","NLIS_310221","PUBLISHED","1986","AMR","COL","BTSX","4.9","4.90000","","",""
"WHOSIS_000009","NLIS_313278","PUBLISHED","2014-2015","AMR","GTM","MLE","4.8","4.80000","","",""
"WHOSIS_000009","NLIS_312558","PUBLISHED","2002","AMR","GTM","FMLE","4.7","4.70000","","",""
"WHOSIS_000009","NLIS_310365","PUBLISHED","1991","AMR","DOM","BTSX","4.4","4.40000","","",""
"WHOSIS_000009","NLIS_311547","PUBLISHED","1994-1995","AMR","HTI","BTSX","4.3","4.30000","","",""
"WHOSIS_000009","NLIS_310196","PUBLISHED","1976","AMR","LCA","BTSX","4.3","4.30000","","",""
"WHOSIS_000009","NLIS_311562","PUBLISHED","1991","AMR","VEN","BTSX","4.3","4.30000","","",""
"WHOSIS_000009","NLIS_312771","PUBLISHED","2004-2005","AMR","COL","BTSX","4.2","4.20000","","",""
"WHOSIS_000009","NLIS_310168","PUBLISHED","1982","AMR","CRI","BTSX","4.0","4.00000","","",""
"WHOSIS_000009","NLIS_312792","PUBLISHED","2005-2006","AMR","HTI","BTSX","3.9","3.90000","","",""
"WHOSIS_000009","NLIS_312046","PUBLISHED","1996","AMR","JAM","BTSX","3.8","3.80000","","",""
"WHOSIS_000009","NLIS_312792","PUBLISHED","2005-2006","AMR","HTI","FMLE","3.5","3.50000","","",""
"WHOSIS_000009","NLIS_312046","PUBLISHED","1996","AMR","JAM","MLE","3.4","3.40000","","",""
