"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTOVERWEIGHTPREV","PUBLISHED","2019","","198","","","2.8 [1.7-4.5]","2.80000","1.70000","4.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2019","","197","","","5.0 [4.3-5.7]","5.00000","4.30000","5.70000","Only Less Developed Regions are displayed, while the aggregates of the More Developed Regions are not displayed due to insufficient population coverage"
"NUTOVERWEIGHTPREV","PUBLISHED","2019","","18","","","12.7 [8.6-18.3]","12.70000","8.60000","18.30000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2019","","543","","","9.4 [6.1-14.4]","9.40000","6.10000","14.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2019","","13","","","6.9 [5.9-8.2]","6.90000","5.90000","8.20000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2019","","14","","","3.7 [2.9-4.6]","3.70000","2.90000","4.60000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2019","","143","","","6.2 [3.3-11.3]","6.20000","3.30000","11.30000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_MIDDLEAFR","4.0 [2.3-6.9]","4.00000","2.30000","6.90000","Consecutive Low Population Coverage"
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_EASTERNAFR","5.5 [3.9-7.6]","5.50000","3.90000","7.60000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_OCEANIAexAUSNZL","3.2 [2.4-4.2]","3.20000","2.40000","4.20000","Consecutive Low Population Coverage"
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_LLDC","4.4 [2.8-6.8]","4.40000","2.80000","6.80000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_SOUTHEASTERNASIA","2.0 [1.6-2.5]","2.00000","1.60000","2.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_WESTERNAFR","3.9 [2.7-5.6]","3.90000","2.70000","5.60000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","5.2 [4.8-5.6]","5.20000","4.80000","5.60000","excluding Japan"
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_LDC","2.8 [1.3-6.1]","2.80000","1.30000","6.10000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_SOUTHERNAFR","9.1 [6.3-12.8]","9.10000","6.30000","12.80000",""
