"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTUNDERWEIGHTPREV","PUBLISHED","1990","EMR","","","","22.8 [14.1-34.6]","22.80000","14.10000","34.60000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","1990","WPR","","","","16.0 [13.0-19.6]","16.00000","13.00000","19.60000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","1990","AFR","","","","28.4 [23.8-33.4]","28.40000","23.80000","33.40000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","1990","AMR","","","","4.5 [2.2-9.2]","4.50000","2.20000","9.20000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","1990","SEAR","","","","48.9 [41.2-56.7]","48.90000","41.20000","56.70000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","1995","SEAR","","","","44.5 [37.0-52.4]","44.50000","37.00000","52.40000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","1995","EMR","","","","20.6 [12.4-32.2]","20.60000","12.40000","32.20000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","1995","WPR","","","","11.8 [8.8-15.7]","11.80000","8.80000","15.70000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","1995","AFR","","","","26.0 [21.8-30.7]","26.00000","21.80000","30.70000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","1995","AMR","","","","3.8 [1.9-7.6]","3.80000","1.90000","7.60000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2000","WPR","","","","8.6 [5.8-12.5]","8.60000","5.80000","12.50000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2000","SEAR","","","","40.2 [32.8-48.1]","40.20000","32.80000","48.10000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2000","EMR","","","","18.6 [10.9-30.0]","18.60000","10.90000","30.00000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2000","AMR","","","","3.2 [1.6-6.2]","3.20000","1.60000","6.20000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2000","AFR","","","","23.8 [19.9-28.2]","23.80000","19.90000","28.20000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2005","AMR","","","","2.7 [1.4-5.1]","2.70000","1.40000","5.10000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2005","AFR","","","","21.7 [18.0-25.8]","21.70000","18.00000","25.80000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2005","WPR","","","","6.2 [3.8-10.0]","6.20000","3.80000","10.00000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2005","EMR","","","","16.8 [9.5-27.8]","16.80000","9.50000","27.80000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2005","SEAR","","","","36.0 [28.7-44.0]","36.00000","28.70000","44.00000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2010","WPR","","","","4.4 [2.4-7.9]","4.40000","2.40000","7.90000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2010","AMR","","","","2.2 [1.2-4.1]","2.20000","1.20000","4.10000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2010","EMR","","","","15.0 [8.3-25.8]","15.00000","8.30000","25.80000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2010","AFR","","","","19.7 [16.3-23.7]","19.70000","16.30000","23.70000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2010","SEAR","","","","32.1 [25.0-40.1]","32.10000","25.00000","40.10000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2012","EMR","","","","14.4 [7.8-25.0]","14.40000","7.80000","25.00000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2012","AMR","","","","2.1 [1.1-3.8]","2.10000","1.10000","3.80000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2012","SEAR","","","","30.5 [23.5-38.6]","30.50000","23.50000","38.60000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2012","AFR","","","","19.0 [15.6-22.9]","19.00000","15.60000","22.90000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2012","WPR","","","","3.9 [2.1-7.2]","3.90000","2.10000","7.20000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2015","SEAR","","","","28.3 [21.5-36.4]","28.30000","21.50000","36.40000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2015","AFR","","","","17.9 [14.6-21.7]","17.90000","14.60000","21.70000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2015","WPR","","","","3.2 [1.6-6.3]","3.20000","1.60000","6.30000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2015","EMR","","","","13.5 [7.2-23.9]","13.50000","7.20000","23.90000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2015","AMR","","","","1.8 [1.0-3.4]","1.80000","1.00000","3.40000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2019","SEAR","","","","25.5 [18.9-33.6]","25.50000","18.90000","33.60000",""
"NUTUNDERWEIGHTPREV","PUBLISHED","2019","AMR","","","","1.6 [0.9-2.9]","1.60000","0.90000","2.90000",""
