"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LMI","STP","BTSX","11.3 [7.9-15.2]","11.30000","7.90000","15.20000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","SEN","BTSX","8.0 [5.2-11.6]","8.00000","5.20000","11.60000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_LMI","SLB","BTSX","32.1 [26.8-37.4]","32.10000","26.80000","37.40000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_UMI","ZAF","BTSX","33.5 [30.4-36.5]","33.50000","30.40000","36.50000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","CHE","BTSX","14.9 [10.3-19.6]","14.90000","10.30000","19.60000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_LI","TJK","BTSX","9.9 [4.5-17.0]","9.90000","4.50000","17.00000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_LMI","TON","BTSX","59.6 [54.1-65.1]","59.60000","54.10000","65.10000",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_LMI","TUN","BTSX","23.8 [18.0-30.1]","23.80000","18.00000","30.10000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","GBR","BTSX","24.9 [22.4-27.3]","24.90000","22.40000","27.30000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_HI","USA","BTSX","31.8 [29.5-34.3]","31.80000","29.50000","34.30000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","ZMB","BTSX","4.2 [2.8-5.8]","4.20000","2.80000","5.80000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","","","FMLE","11.1 [10.1-12.1]","","","",""
"WHOSIS_000010","PUBLISHED","2008","SEAR","","","MLE","1.7 [1.3-2.2]","","","",""
"WHOSIS_000010","PUBLISHED","2008","SEAR","","","BTSX","2.7 [2.3-3.2]","","","",""
"WHOSIS_000010","PUBLISHED","2008","WPR","","","MLE","5.1 [4.1-6.1]","","","",""
"WHOSIS_000010","PUBLISHED","2008","WPR","","","BTSX","5.9 [4.9-6.9]","","","",""
"WHOSIS_000010","PUBLISHED","2008","NOTSPEC","WB_LI","","MLE","2.6 [2.0-3.4]","","","",""
"WHOSIS_000010","PUBLISHED","2008","NOTSPEC","WB_LI","","BTSX","3.9 [3.4-4.5]","","","",""
"WHOSIS_000010","PUBLISHED","2008","NOTSPEC","WB_UMI","","FMLE","28.9 [27.2-30.7]","","","",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_LMI","ALB","MLE","21.7 [11.9-31.5]","21.70000","11.90000","31.50000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_HI","AUS","MLE","25.2 [22.1-28.4]","25.20000","22.10000","28.40000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_LMI","AZE","MLE","15.8 [11.5-20.4]","15.80000","11.50000","20.40000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_LMI","BLZ","MLE","24.4 [18.5-29.8]","24.40000","18.50000","29.80000",""
"WHOSIS_000010","PUBLISHED","2008","SEAR","WB_LMI","BTN","MLE","4.7 [1.7-8.7]","4.70000","1.70000","8.70000",""
