"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"vita","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201405","","56.6 [49.9-63.1]","57.00000","50.00000","63.00000",""
"vita","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201406","","65.5 [59.0-71.4]","65.00000","59.00000","71.00000",""
"vita","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200503","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200505","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200506","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","","BLRMICS201201","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","","BLRMICS201202","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","","BLRMICS201204","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","","","BLZMICS200601","","14.9 [5.8-33.0]","15.00000","6.00000","33.00000",""
"vita","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","","","BLZMICS200603","","37.4 [28.9-46.6]","37.00000","29.00000","47.00000",""
"vita","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","","","BLZMICS200604","","22.0 [13.1-34.6]","22.00000","13.00000","35.00000",""
"vita","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201104","","78.2 [68.1-85.7]","78.00000","68.00000","86.00000",""
"vita","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201105","","73.9 [67.5-79.4]","74.00000","67.00000","79.00000",""
"vita","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","","BLZMICS201501","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","","BLZMICS201503","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","","BENDHS199602","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","","BENDHS199603","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","","BENDHS200105","","20.1 [14.5-27.1]","20.00000","14.00000","27.00000",""
"vita","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","","BENDHS200106","","10.4 [6.9-15.4]","10.00000","7.00000","15.00000",""
"vita","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200605","","84.8 [80.8-88.0]","85.00000","81.00000","88.00000",""
"vita","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200606","","59.9 [56.2-63.4]","60.00000","56.00000","63.00000",""
"vita","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200607","","68.9 [61.2-75.7]","69.00000","61.00000","76.00000",""
"vita","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201101","","33.8 [28.5-39.5]","34.00000","28.00000","39.00000",""
"vita","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201407","","17.7 [12.4-24.7]","18.00000","12.00000","25.00000",""
"vita","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201408","","22.6 [19.4-26.3]","23.00000","19.00000","26.00000",""
"vita","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201410","","18.4 [14.1-23.7]","18.00000","14.00000","24.00000",""
"vita","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201702","","68.3 [60.6-75.1]","68.00000","61.00000","75.00000",""
"vita","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201703","","71.6 [66.0-76.5]","72.00000","66.00000","77.00000",""
"vita","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201015","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201016","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","","BOLDHS199807","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","","BOLDHS199808","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","","BOLDHS199808","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","","BOLDHS199809","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","","BOLDHS200306","","73.0 [68.7-76.9]","73.00000","69.00000","77.00000",""
"vita","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","","BOLDHS200306","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2003","AMR","BOL","","","","","BOLDHS200307","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","","","BOLDHS200805","","28.8 [25.6-32.1]","29.00000","26.00000","32.00000",""
"vita","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","","","BOLDHS200805","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","","","BOLDHS200806","","28.0 [23.9-32.4]","28.00000","24.00000","32.00000",""
"vita","EQ_MICS","PUBLISHED","2006","EUR","BIH","","","","","BIHMICS200601","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2006","EUR","BIH","","","","","BIHMICS200602","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2011","EUR","BIH","","","","","BIHMICS201103","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2011","EUR","BIH","","","","","BIHMICS201103","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2000","AFR","BWA","","","","","BWAMICS200001","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2000","AFR","BWA","","","","","BWAMICS200014","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1996","AMR","BRA","","","","","BRADHS199601","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1996","AMR","BRA","","","","","BRADHS199602","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1992","AFR","BFA","","","","","BFADHS199204","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1998","AFR","BFA","","","","","BFADHS199801","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200305","","No data","","","","Not available."
