"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NAM","","FMLE","RUR","","10.8","0.10800","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","TZA","","FMLE","RUR","","59.9","0.59900","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","UGA","","FMLE","RUR","","19.4","0.19400","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","KEN","","FMLE","","","16.2","0.16200","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AFR","MLI","","FMLE","","","37.4","0.37400","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","EMR","PAK","","FMLE","","","1.3","0.01300","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","RWA","","FMLE","","","12.9","0.12900","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","BFA","","FMLE","URB","","25.1","0.25100","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","WPR","KHM","","FMLE","URB","","81.7","0.81700","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","MWI","","FMLE","URB","","52.6","0.52600","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","MLI","","FMLE","URB","","39.5","0.39500","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","SEN","","FMLE","URB","","11.3","0.11300","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","SWZ","","FMLE","URB","","0.7","0.00700","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","BFA","","FMLE","","WQ1","14.7","0.14700","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","WPR","KHM","","FMLE","","WQ1","89.5","0.89500","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","MWI","","FMLE","","WQ1","21.2","0.21200","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AMR","NIC","","FMLE","","WQ1","41.8","0.41800","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","SLE","","FMLE","","WQ1","29.3","0.29300","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","BFA","","FMLE","","WQ2","19.5","0.19500","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","ETH","","FMLE","","WQ2","8.1","0.08100","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","MWI","","FMLE","","WQ2","28.9","0.28900","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NAM","","FMLE","","WQ2","8.5","0.08500","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","RWA","","FMLE","","WQ2","70.7","0.70700","","",""
"EQ_SLEPTNETS","PUBLISHED","2009","SEAR","TLS","","FMLE","","WQ2","54.8","0.54800","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","COD","","FMLE","","WQ3","27.7","0.27700","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","GHA","","FMLE","","WQ3","3.1","0.03100","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","NAM","","FMLE","","WQ3","2.1","0.02100","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","EMR","PAK","","FMLE","","WQ3","0.9","0.00900","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","TZA","","FMLE","","WQ3","66.2","0.66200","","",""
"EQ_SLEPTNETS","PUBLISHED","2009","SEAR","TLS","","FMLE","","WQ3","59.4","0.59400","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","WPR","KHM","","FMLE","","WQ4","93.1","0.93100","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","SEAR","IDN","","FMLE","","WQ4","8.6","0.08600","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","KEN","","FMLE","","WQ4","53.4","0.53400","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","EMR","PAK","","FMLE","","WQ4","0.6","0.00600","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","RWA","","FMLE","","WQ4","40.9","0.40900","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","ZMB","","FMLE","","WQ4","32.1","0.32100","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","BFA","","FMLE","","WQ5","32.2","0.32200","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","WPR","KHM","","FMLE","","WQ5","48.7","0.48700","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","SEAR","IDN","","FMLE","","WQ5","3.4","0.03400","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","MWI","","FMLE","","WQ5","61.1","0.61100","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","STP","","FMLE","","WQ5","70.5","0.70500","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","SLE","","FMLE","","WQ5","24.5","0.24500","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","WPR","KHM","YEARS0-5","FMLE","","","86.4","0.86400","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","MWI","YEARS0-5","FMLE","","","25.4","0.25400","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AFR","MLI","YEARS0-5","FMLE","","","41.4","0.41400","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","SLE","YEARS0-5","FMLE","","","27.6","0.27600","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","TZA","YEARS0-5","FMLE","","","48.5","0.48500","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","CMR","YEARS12+","FMLE","","","10.9","0.10900","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","GIN","YEARS12+","FMLE","","","17.9","0.17900","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","MWI","YEARS12+","FMLE","","","65.2","0.65200","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","MLI","YEARS12+","FMLE","","","39.6","0.39600","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","SWZ","YEARS12+","FMLE","","","0.7","0.00700","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AFR","ZMB","YEARS12+","FMLE","","","32.7","0.32700","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","GIN","YEARS6-11","FMLE","","","15.5","0.15500","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","SEAR","IDN","YEARS6-11","FMLE","","","14.7","0.14700","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","MLI","YEARS6-11","FMLE","","","43.7","0.43700","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","NGA","YEARS6-11","FMLE","","","2.7","0.02700","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","TZA","YEARS6-11","FMLE","","","64.4","0.64400","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","ZWE","YEARS6-11","FMLE","","","35.2","0.35200","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","GIN","","FMLE","RUR","","12.1","0.12100","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","SEAR","IDN","","FMLE","RUR","","35.4","0.35400","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NER","","FMLE","RUR","","11.9","0.11900","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","GHA","","FMLE","","","27.8","0.27800","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","MDG","","FMLE","","","31.5","0.31500","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NAM","","FMLE","","","7.9","0.07900","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NER","","FMLE","","","15.1","0.15100","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","UGA","","FMLE","","","23.6","0.23600","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","ZMB","","FMLE","","","34.1","0.34100","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","GHA","","FMLE","URB","","17.2","0.17200","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","MDG","","FMLE","URB","","34.4","0.34400","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NAM","","FMLE","URB","","4.9","0.04900","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","RWA","","FMLE","URB","","19.5","0.19500","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","UGA","","FMLE","URB","","27.1","0.27100","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","CMR","","FMLE","","WQ1","11.6","0.11600","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","MDG","","FMLE","","WQ1","30.4","0.30400","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","MLI","","FMLE","","WQ1","40.2","0.40200","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","RWA","","FMLE","","WQ1","3.5","0.03500","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","RWA","","FMLE","","WQ1","45.9","0.45900","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","WPR","KHM","","FMLE","","WQ2","93.9","0.93900","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","COG","","FMLE","","WQ2","69.3","0.69300","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","NGA","","FMLE","","WQ2","2.8","0.02800","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","SLE","","FMLE","","WQ2","28.3","0.28300","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","TZA","","FMLE","","WQ2","50.1","0.50100","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","ZMB","","FMLE","","WQ2","30.9","0.30900","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","BEN","YEARS12+","FMLE","","","89.1","0.89100","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","ETH","YEARS12+","FMLE","","","7.5","0.07500","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","RWA","YEARS0-5","FMLE","","","64.9","0.64900","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","RWA","YEARS0-5","FMLE","","","16.9","0.16900","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","MDG","YEARS0-5","FMLE","","","49.6","0.49600","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","KEN","YEARS0-5","FMLE","","","58.9","0.58900","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","COG","YEARS0-5","FMLE","","","66.1","0.66100","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AFR","BEN","YEARS0-5","FMLE","","","34.2","0.34200","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","MWI","YEARS6-11","FMLE","","","19.6","0.19600","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NAM","YEARS6-11","FMLE","","","5.6","0.05600","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","TZA","YEARS6-11","FMLE","","","75.8","0.75800","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","UGA","YEARS6-11","FMLE","","","25.7","0.25700","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","RWA","","FMLE","","WQ5","35.2","0.35200","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AMR","NIC","","FMLE","","WQ5","16.6","0.16600","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","KEN","","FMLE","","WQ5","65.3","0.65300","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","GHA","","FMLE","","WQ5","4.3","0.04300","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AFR","BEN","","FMLE","","WQ5","55.1","0.55100","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","UGA","","FMLE","","WQ4","57.7","0.57700","","",""
"EQ_SLEPTNETS","PUBLISHED","2009","SEAR","TLS","","FMLE","","WQ4","64.7","0.64700","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","NGA","","FMLE","","WQ4","1.9","0.01900","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AMR","NIC","","FMLE","","WQ4","29.4","0.29400","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","GHA","","FMLE","","WQ4","15.6","0.15600","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","ETH","","FMLE","","WQ4","0.8","0.00800","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","ZWE","","FMLE","","WQ3","39.2","0.39200","","",""
