"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1998","AFR","NER","","","WQ1","12.1","12.10000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1998","AFR","NER","","","WQ3","20.6","20.60000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2006","AFR","NER","EDLVL06TO11YR","","","32.5","32.50000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2006","AFR","NER","","","WQ1","17.1","17.10000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2012","AFR","NER","","","WQ4","33.2","33.20000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1990","AFR","NGA","","","","6.0","6.00000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1990","AFR","NGA","","","WQ2","10.5","10.50000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1990","AFR","NGA","","","WQ4","20.0","20.00000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2003","AFR","NGA","EDLVL00TO05YR","","","7.0","7.00000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2003","AFR","NGA","EDLVL12PLUSYR","","","33.0","33.00000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2007","AFR","NGA","","URB","","30.9","30.90000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","","","48.0","48.00000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","RUR","","45.9","45.90000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","","WQ2","49.0","49.00000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","","WQ4","63.2","63.20000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2011","SEAR","NPL","","","","49.7","49.70000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2011","SEAR","NPL","EDLVL12PLUSYR","","","100.0","100.00000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2011","SEAR","NPL","","","WQ2","56.1","56.10000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2007","AFR","NGA","EDLVL00TO05YR","","","19.8","19.80000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2007","AFR","NGA","","","WQ5","40.9","40.90000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2008","AFR","NGA","","URB","","25.9","25.90000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2008","AFR","NGA","","","WQ1","7.8","7.80000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2008","AFR","NGA","","","WQ3","25.7","25.70000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2011","AFR","NGA","EDLVL06TO11YR","","","34.2","34.20000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2011","AFR","NGA","","","WQ1","13.5","13.50000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2013","AFR","NGA","","RUR","","8.5","8.50000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2013","AFR","NGA","EDLVL06TO11YR","","","29.3","29.30000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2013","AFR","NGA","","","WQ4","36.1","36.10000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1990","EMR","PAK","","","","11.8","11.80000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1990","EMR","PAK","","","WQ2","14.0","14.00000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1990","EMR","PAK","","","WQ4","30.6","30.60000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2006","EMR","PAK","EDLVL12PLUSYR","","","44.3","44.30000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2006","EMR","PAK","","","WQ2","39.4","39.40000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2012","EMR","PAK","","URB","","44.8","44.80000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2012","EMR","PAK","EDLVL00TO05YR","","","41.0","41.00000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2004","AMR","PER","","","WQ2","77.5","77.50000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2007","AMR","PER","EDLVL00TO05YR","","","67.0","67.00000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2007","AMR","PER","EDLVL12PLUSYR","","","74.4","74.40000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2007","AMR","PER","","","WQ5","69.3","69.30000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2009","AMR","PER","","URB","","74.6","74.60000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2009","AMR","PER","EDLVL00TO05YR","","","69.9","69.90000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2012","EMR","PAK","","","WQ5","47.6","47.60000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1990","AMR","PRY","","URB","","56.8","56.80000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1990","AMR","PRY","","","WQ3","55.8","55.80000","","",""
