"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","COMMUNITYACTIONTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EMR","AFG","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","ALB","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AFR","DZA","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AFR","DZA","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","AND","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","AND","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","AND","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AFR","AGO","SA_TECHNICAL_TOOLS","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AFR","AGO","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AMR","ATG","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AMR","ATG","SA_AT_RISK_GROUPS_TARGETED","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AMR","ARG","SA_EARMARKED_FUNDS","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AMR","ARG","SA_TECHNICAL_TOOLS","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","WPR","AUS","SA_EARMARKED_FUNDS","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","AUT","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","AUT","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","AZE","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","AZE","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AMR","BHS","SA_EARMARKED_FUNDS","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AMR","BHS","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","SEAR","BGD","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","SEAR","BGD","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AMR","BRB","SA_EARMARKED_FUNDS","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AMR","BRB","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","BEL","SA_AT_RISK_GROUPS_TARGETED","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AFR","BEN","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AMR","BOL","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","BIH","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","EUR","BIH","SA_AT_RISK_GROUPS_TARGETED","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_EARMARKED_FUNDS","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_TECHNICAL_TOOLS","Yes","","","",""
"SA_0000001722_ARCHIVED","PUBLISHED","2012","AMR","BRA","SA_EARMARKED_FUNDS","Yes","","","",""
