"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"LBW_NUMBER","PUBLISHED","2007","AFR","","","DZA","58.0 [45.6-77.2]","58.00000","45.60000","77.20000",""
"LBW_NUMBER","PUBLISHED","2008","AFR","","","DZA","60.9 [48.1-80.3]","60.90000","48.10000","80.30000",""
"LBW_NUMBER","PUBLISHED","2009","AFR","","","DZA","63.6 [50.3-83.9]","63.60000","50.30000","83.90000",""
"LBW_NUMBER","PUBLISHED","2010","AFR","","","DZA","66.0 [53.2-86.9]","66.00000","53.20000","86.90000",""
"LBW_NUMBER","PUBLISHED","2011","AFR","","","DZA","67.7 [53.7-88.7]","67.70000","53.70000","88.70000",""
"LBW_NUMBER","PUBLISHED","2012","AFR","","","DZA","68.9 [54.7-90.5]","68.90000","54.70000","90.50000",""
"LBW_NUMBER","PUBLISHED","2013","AFR","","","DZA","69.5 [54.7-93.0]","69.50000","54.70000","93.00000",""
"LBW_NUMBER","PUBLISHED","2014","AFR","","","DZA","69.5 [54.0-91.6]","69.50000","54.00000","91.60000",""
"LBW_NUMBER","PUBLISHED","2015","AFR","","","DZA","68.8 [54.5-91.6]","68.80000","54.50000","91.60000",""
"LBW_NUMBER","PUBLISHED","2000","EUR","","","AND","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2001","EUR","","","AND","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2002","EUR","","","AND","0.0 [0.0-0.1]","0.00000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2003","EUR","","","AND","0.0 [0.0-0.1]","0.00000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2004","EUR","","","AND","0.0 [0.0-0.1]","0.00000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2005","EUR","","","AND","0.0 [0.0-0.1]","0.00000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2006","EUR","","","AND","0.0 [0.0-0.1]","0.00000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2007","EUR","","","AND","0.0 [0.0-0.1]","0.00000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2008","EUR","","","AND","0.0 [0.0-0.1]","0.00000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2009","EUR","","","AND","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2010","EUR","","","AND","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2011","EUR","","","AND","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2012","EUR","","","AND","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2013","EUR","","","AND","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2014","EUR","","","AND","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2015","EUR","","","AND","0.1 [0.0-0.1]","0.10000","0.00000","0.10000",""
"LBW_NUMBER","PUBLISHED","2000","AFR","","","AGO","146.7 [111.3-190.5]","146.70000","111.30000","190.50000",""
"LBW_NUMBER","PUBLISHED","2001","AFR","","","AGO","149.6 [113.1-193.3]","149.60000","113.10000","193.30000",""
"LBW_NUMBER","PUBLISHED","2002","AFR","","","AGO","152.0 [117.8-194.9]","152.00000","117.80000","194.90000",""
"LBW_NUMBER","PUBLISHED","2003","AFR","","","AGO","155.0 [118.9-201.3]","155.00000","118.90000","201.30000",""
"LBW_NUMBER","PUBLISHED","2004","AFR","","","AGO","157.7 [122.0-206.7]","157.70000","122.00000","206.70000",""
"LBW_NUMBER","PUBLISHED","2005","AFR","","","AGO","160.4 [121.9-212.4]","160.40000","121.90000","212.40000",""
"LBW_NUMBER","PUBLISHED","2006","AFR","","","AGO","162.8 [125.0-214.6]","162.80000","125.00000","214.60000",""
"LBW_NUMBER","PUBLISHED","2007","AFR","","","AGO","165.2 [129.2-219.2]","165.20000","129.20000","219.20000",""
"LBW_NUMBER","PUBLISHED","2008","AFR","","","AGO","167.1 [127.5-225.7]","167.10000","127.50000","225.70000",""
"LBW_NUMBER","PUBLISHED","2009","AFR","","","AGO","169.1 [129.1-225.4]","169.10000","129.10000","225.40000",""
"LBW_NUMBER","PUBLISHED","2010","AFR","","","AGO","170.9 [130.4-233.1]","170.90000","130.40000","233.10000",""
"LBW_NUMBER","PUBLISHED","2011","AFR","","","AGO","172.9 [131.4-235.0]","172.90000","131.40000","235.00000",""
"LBW_NUMBER","PUBLISHED","2012","AFR","","","AGO","174.7 [133.5-239.5]","174.70000","133.50000","239.50000",""
"LBW_NUMBER","PUBLISHED","2013","AFR","","","AGO","176.5 [134.6-241.2]","176.50000","134.60000","241.20000",""
"LBW_NUMBER","PUBLISHED","2014","AFR","","","AGO","178.3 [135.1-239.2]","178.30000","135.10000","239.20000",""
"LBW_NUMBER","PUBLISHED","2015","AFR","","","AGO","180.2 [139.7-253.0]","180.20000","139.70000","253.00000",""
"LBW_NUMBER","PUBLISHED","2000","AMR","","","ATG","0.2 [0.1-0.2]","0.20000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2001","AMR","","","ATG","0.2 [0.1-0.2]","0.20000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2002","AMR","","","ATG","0.2 [0.1-0.2]","0.20000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2003","AMR","","","ATG","0.2 [0.1-0.2]","0.20000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2004","AMR","","","ATG","0.2 [0.1-0.2]","0.20000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2005","AMR","","","ATG","0.2 [0.1-0.2]","0.20000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2006","AMR","","","ATG","0.2 [0.1-0.2]","0.20000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2007","AMR","","","ATG","0.2 [0.1-0.2]","0.20000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2008","AMR","","","ATG","0.2 [0.1-0.2]","0.20000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2009","AMR","","","ATG","0.2 [0.1-0.2]","0.20000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2010","AMR","","","ATG","0.1 [0.1-0.2]","0.10000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2011","AMR","","","ATG","0.1 [0.1-0.2]","0.10000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2012","AMR","","","ATG","0.1 [0.1-0.2]","0.10000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2013","AMR","","","ATG","0.1 [0.1-0.2]","0.10000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2014","AMR","","","ATG","0.1 [0.1-0.2]","0.10000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2015","AMR","","","ATG","0.1 [0.1-0.2]","0.10000","0.10000","0.20000",""
"LBW_NUMBER","PUBLISHED","2000","AMR","","","ARG","53.1 [50.9-55.3]","53.10000","50.90000","55.30000",""
"LBW_NUMBER","PUBLISHED","2001","AMR","","","ARG","54.1 [52.5-55.8]","54.10000","52.50000","55.80000",""
"LBW_NUMBER","PUBLISHED","2002","AMR","","","ARG","54.8 [53.2-56.5]","54.80000","53.20000","56.50000",""
"LBW_NUMBER","PUBLISHED","2003","AMR","","","ARG","55.2 [53.4-57.0]","55.20000","53.40000","57.00000",""
"LBW_NUMBER","PUBLISHED","2004","AMR","","","ARG","55.3 [53.5-57.1]","55.30000","53.50000","57.10000",""
"LBW_NUMBER","PUBLISHED","2005","AMR","","","ARG","55.2 [53.5-56.8]","55.20000","53.50000","56.80000",""
"LBW_NUMBER","PUBLISHED","2006","AMR","","","ARG","54.9 [53.5-56.3]","54.90000","53.50000","56.30000",""
"LBW_NUMBER","PUBLISHED","2007","AMR","","","ARG","54.5 [53.4-55.7]","54.50000","53.40000","55.70000",""
"LBW_NUMBER","PUBLISHED","2008","AMR","","","ARG","54.2 [53.3-55.0]","54.20000","53.30000","55.00000",""
"LBW_NUMBER","PUBLISHED","2009","AMR","","","ARG","53.9 [53.1-54.6]","53.90000","53.10000","54.60000",""
"LBW_NUMBER","PUBLISHED","2010","AMR","","","ARG","53.6 [52.8-54.5]","53.60000","52.80000","54.50000",""
"LBW_NUMBER","PUBLISHED","2011","AMR","","","ARG","53.5 [52.5-54.5]","53.50000","52.50000","54.50000",""
"LBW_NUMBER","PUBLISHED","2012","AMR","","","ARG","53.6 [52.5-54.7]","53.60000","52.50000","54.70000",""
"LBW_NUMBER","PUBLISHED","2013","AMR","","","ARG","53.9 [52.8-55.0]","53.90000","52.80000","55.00000",""
"LBW_NUMBER","PUBLISHED","2014","AMR","","","ARG","54.5 [53.2-55.7]","54.50000","53.20000","55.70000",""
"LBW_NUMBER","PUBLISHED","2015","AMR","","","ARG","55.4 [53.4-57.3]","55.40000","53.40000","57.30000",""
"LBW_NUMBER","PUBLISHED","2000","EUR","","","ARM","3.2 [2.9-3.5]","3.20000","2.90000","3.50000",""
"LBW_NUMBER","PUBLISHED","2001","EUR","","","ARM","3.2 [2.9-3.4]","3.20000","2.90000","3.40000",""
"LBW_NUMBER","PUBLISHED","2002","EUR","","","ARM","3.1 [3.0-3.3]","3.10000","3.00000","3.30000",""
"LBW_NUMBER","PUBLISHED","2003","EUR","","","ARM","3.1 [3.0-3.3]","3.10000","3.00000","3.30000",""
"LBW_NUMBER","PUBLISHED","2004","EUR","","","ARM","3.2 [3.0-3.3]","3.20000","3.00000","3.30000",""
"LBW_NUMBER","PUBLISHED","2005","EUR","","","ARM","3.2 [3.1-3.3]","3.20000","3.10000","3.30000",""
"LBW_NUMBER","PUBLISHED","2006","EUR","","","ARM","3.2 [3.1-3.3]","3.20000","3.10000","3.30000",""
"LBW_NUMBER","PUBLISHED","2007","EUR","","","ARM","3.2 [3.2-3.3]","3.20000","3.20000","3.30000",""
"LBW_NUMBER","PUBLISHED","2008","EUR","","","ARM","3.3 [3.2-3.3]","3.30000","3.20000","3.30000",""
"LBW_NUMBER","PUBLISHED","2009","EUR","","","ARM","3.3 [3.2-3.3]","3.30000","3.20000","3.30000",""
"LBW_NUMBER","PUBLISHED","2010","EUR","","","ARM","3.3 [3.3-3.4]","3.30000","3.30000","3.40000",""
"LBW_NUMBER","PUBLISHED","2011","EUR","","","ARM","3.4 [3.3-3.4]","3.40000","3.30000","3.40000",""
"LBW_NUMBER","PUBLISHED","2012","EUR","","","ARM","3.4 [3.3-3.5]","3.40000","3.30000","3.50000",""
"LBW_NUMBER","PUBLISHED","2013","EUR","","","ARM","3.4 [3.3-3.6]","3.40000","3.30000","3.60000",""
"LBW_NUMBER","PUBLISHED","2014","EUR","","","ARM","3.5 [3.3-3.7]","3.50000","3.30000","3.70000",""
"LBW_NUMBER","PUBLISHED","2015","EUR","","","ARM","3.6 [3.3-3.9]","3.60000","3.30000","3.90000",""
"LBW_NUMBER","PUBLISHED","2000","WPR","","","AUS","15.6 [15.3-15.8]","15.60000","15.30000","15.80000",""
"LBW_NUMBER","PUBLISHED","2001","WPR","","","AUS","15.8 [15.6-16.0]","15.80000","15.60000","16.00000",""
"LBW_NUMBER","PUBLISHED","2002","WPR","","","AUS","16.0 [15.9-16.2]","16.00000","15.90000","16.20000",""
"LBW_NUMBER","PUBLISHED","2003","WPR","","","AUS","16.3 [16.2-16.5]","16.30000","16.20000","16.50000",""
"LBW_NUMBER","PUBLISHED","2004","WPR","","","AUS","16.7 [16.5-16.9]","16.70000","16.50000","16.90000",""
"LBW_NUMBER","PUBLISHED","2005","WPR","","","AUS","17.1 [16.9-17.3]","17.10000","16.90000","17.30000",""
"LBW_NUMBER","PUBLISHED","2006","WPR","","","AUS","17.5 [17.3-17.7]","17.50000","17.30000","17.70000",""
"LBW_NUMBER","PUBLISHED","2007","WPR","","","AUS","17.9 [17.7-18.1]","17.90000","17.70000","18.10000",""
"LBW_NUMBER","PUBLISHED","2008","WPR","","","AUS","18.2 [18.0-18.4]","18.20000","18.00000","18.40000",""
"LBW_NUMBER","PUBLISHED","2009","WPR","","","AUS","18.5 [18.3-18.6]","18.50000","18.30000","18.60000",""
"LBW_NUMBER","PUBLISHED","2010","WPR","","","AUS","18.7 [18.5-18.9]","18.70000","18.50000","18.90000",""
"LBW_NUMBER","PUBLISHED","2011","WPR","","","AUS","18.9 [18.7-19.0]","18.90000","18.70000","19.00000",""
"LBW_NUMBER","PUBLISHED","2012","WPR","","","AUS","19.1 [18.9-19.3]","19.10000","18.90000","19.30000",""
"LBW_NUMBER","PUBLISHED","2013","WPR","","","AUS","19.4 [19.2-19.5]","19.40000","19.20000","19.50000",""
"LBW_NUMBER","PUBLISHED","2014","WPR","","","AUS","19.8 [19.6-19.9]","19.80000","19.60000","19.90000",""
"LBW_NUMBER","PUBLISHED","2015","WPR","","","AUS","20.3 [20.0-20.5]","20.30000","20.00000","20.50000",""
"LBW_NUMBER","PUBLISHED","2000","EUR","","","AUT","5.1 [5.0-5.2]","5.10000","5.00000","5.20000",""
"LBW_NUMBER","PUBLISHED","2001","EUR","","","AUT","5.2 [5.1-5.3]","5.20000","5.10000","5.30000",""
"LBW_NUMBER","PUBLISHED","2002","EUR","","","AUT","5.3 [5.2-5.4]","5.30000","5.20000","5.40000",""
"LBW_NUMBER","PUBLISHED","2003","EUR","","","AUT","5.3 [5.2-5.5]","5.30000","5.20000","5.50000",""
"LBW_NUMBER","PUBLISHED","2004","EUR","","","AUT","5.4 [5.3-5.5]","5.40000","5.30000","5.50000",""
"LBW_NUMBER","PUBLISHED","2005","EUR","","","AUT","5.4 [5.3-5.5]","5.40000","5.30000","5.50000",""
"LBW_NUMBER","PUBLISHED","2006","EUR","","","AUT","5.5 [5.4-5.6]","5.50000","5.40000","5.60000",""
"LBW_NUMBER","PUBLISHED","2007","EUR","","","AUT","5.5 [5.4-5.6]","5.50000","5.40000","5.60000",""
"LBW_NUMBER","PUBLISHED","2008","EUR","","","AUT","5.5 [5.4-5.6]","5.50000","5.40000","5.60000",""
"LBW_NUMBER","PUBLISHED","2009","EUR","","","AUT","5.5 [5.5-5.6]","5.50000","5.50000","5.60000",""
"LBW_NUMBER","PUBLISHED","2010","EUR","","","AUT","5.5 [5.5-5.6]","5.50000","5.50000","5.60000",""
"LBW_NUMBER","PUBLISHED","2011","EUR","","","AUT","5.5 [5.5-5.6]","5.50000","5.50000","5.60000",""
"LBW_NUMBER","PUBLISHED","2012","EUR","","","AUT","5.5 [5.4-5.6]","5.50000","5.40000","5.60000",""
"LBW_NUMBER","PUBLISHED","2013","EUR","","","AUT","5.5 [5.4-5.6]","5.50000","5.40000","5.60000",""
"LBW_NUMBER","PUBLISHED","2014","EUR","","","AUT","5.5 [5.4-5.5]","5.50000","5.40000","5.50000",""
"LBW_NUMBER","PUBLISHED","2015","EUR","","","AUT","5.4 [5.3-5.5]","5.40000","5.30000","5.50000",""
"LBW_NUMBER","PUBLISHED","2000","EUR","","","AZE","9.2 [8.8-9.6]","9.20000","8.80000","9.60000",""
"LBW_NUMBER","PUBLISHED","2001","EUR","","","AZE","9.5 [9.2-9.8]","9.50000","9.20000","9.80000",""
"LBW_NUMBER","PUBLISHED","2002","EUR","","","AZE","9.7 [9.3-10.1]","9.70000","9.30000","10.10000",""
"LBW_NUMBER","PUBLISHED","2003","EUR","","","AZE","9.9 [9.5-10.4]","9.90000","9.50000","10.40000",""
"LBW_NUMBER","PUBLISHED","2004","EUR","","","AZE","10.1 [9.6-10.5]","10.10000","9.60000","10.50000",""
"LBW_NUMBER","PUBLISHED","2005","EUR","","","AZE","10.3 [9.8-10.7]","10.30000","9.80000","10.70000",""
"LBW_NUMBER","PUBLISHED","2006","EUR","","","AZE","10.5 [10.1-10.8]","10.50000","10.10000","10.80000",""
"LBW_NUMBER","PUBLISHED","2007","EUR","","","AZE","10.7 [10.4-11.1]","10.70000","10.40000","11.10000",""
"LBW_NUMBER","PUBLISHED","2008","EUR","","","AZE","11.1 [10.7-11.4]","11.10000","10.70000","11.40000",""
"LBW_NUMBER","PUBLISHED","2009","EUR","","","AZE","11.4 [11.0-11.8]","11.40000","11.00000","11.80000",""
"LBW_NUMBER","PUBLISHED","2010","EUR","","","AZE","11.7 [11.3-12.2]","11.70000","11.30000","12.20000",""
"LBW_NUMBER","PUBLISHED","2011","EUR","","","AZE","12.0 [11.6-12.5]","12.00000","11.60000","12.50000",""
"LBW_NUMBER","PUBLISHED","2012","EUR","","","AZE","12.3 [12.0-12.6]","12.30000","12.00000","12.60000",""
"LBW_NUMBER","PUBLISHED","2013","EUR","","","AZE","12.5 [12.1-12.9]","12.50000","12.10000","12.90000",""
"LBW_NUMBER","PUBLISHED","2014","EUR","","","AZE","12.7 [11.8-13.5]","12.70000","11.80000","13.50000",""
"LBW_NUMBER","PUBLISHED","2015","EUR","","","AZE","12.8 [11.3-14.4]","12.80000","11.30000","14.40000",""
"LBW_NUMBER","PUBLISHED","2000","AMR","","","BHS","0.7 [0.6-0.9]","0.70000","0.60000","0.90000",""
"LBW_NUMBER","PUBLISHED","2001","AMR","","","BHS","0.7 [0.5-0.9]","0.70000","0.50000","0.90000",""
"LBW_NUMBER","PUBLISHED","2002","AMR","","","BHS","0.7 [0.5-0.9]","0.70000","0.50000","0.90000",""
"LBW_NUMBER","PUBLISHED","2003","AMR","","","BHS","0.7 [0.5-0.9]","0.70000","0.50000","0.90000",""
"LBW_NUMBER","PUBLISHED","2004","AMR","","","BHS","0.7 [0.5-0.9]","0.70000","0.50000","0.90000",""
"LBW_NUMBER","PUBLISHED","2005","AMR","","","BHS","0.7 [0.5-0.9]","0.70000","0.50000","0.90000",""
"LBW_NUMBER","PUBLISHED","2006","AMR","","","BHS","0.7 [0.5-0.9]","0.70000","0.50000","0.90000",""
"LBW_NUMBER","PUBLISHED","2007","AMR","","","BHS","0.7 [0.5-0.9]","0.70000","0.50000","0.90000",""
"LBW_NUMBER","PUBLISHED","2008","AMR","","","BHS","0.7 [0.6-0.9]","0.70000","0.60000","0.90000",""
"LBW_NUMBER","PUBLISHED","2009","AMR","","","BHS","0.7 [0.6-0.9]","0.70000","0.60000","0.90000",""
"LBW_NUMBER","PUBLISHED","2010","AMR","","","BHS","0.7 [0.6-1.0]","0.70000","0.60000","1.00000",""
"LBW_NUMBER","PUBLISHED","2011","AMR","","","BHS","0.7 [0.6-1.0]","0.70000","0.60000","1.00000",""
"LBW_NUMBER","PUBLISHED","2012","AMR","","","BHS","0.7 [0.6-0.9]","0.70000","0.60000","0.90000",""
"LBW_NUMBER","PUBLISHED","2013","AMR","","","BHS","0.7 [0.6-1.0]","0.70000","0.60000","1.00000",""
"LBW_NUMBER","PUBLISHED","2014","AMR","","","BHS","0.7 [0.6-0.9]","0.70000","0.60000","0.90000",""
"LBW_NUMBER","PUBLISHED","2015","AMR","","","BHS","0.7 [0.6-1.0]","0.70000","0.60000","1.00000",""
"LBW_NUMBER","PUBLISHED","2000","EMR","","","BHR","1.3 [1.2-1.3]","1.30000","1.20000","1.30000",""
"LBW_NUMBER","PUBLISHED","2001","EMR","","","BHR","1.3 [1.2-1.4]","1.30000","1.20000","1.40000",""
"LBW_NUMBER","PUBLISHED","2002","EMR","","","BHR","1.4 [1.2-1.5]","1.40000","1.20000","1.50000",""
"LBW_NUMBER","PUBLISHED","2003","EMR","","","BHR","1.4 [1.2-1.6]","1.40000","1.20000","1.60000",""
"LBW_NUMBER","PUBLISHED","2004","EMR","","","BHR","1.5 [1.3-1.7]","1.50000","1.30000","1.70000",""
"LBW_NUMBER","PUBLISHED","2005","EMR","","","BHR","1.5 [1.3-1.7]","1.50000","1.30000","1.70000",""
"LBW_NUMBER","PUBLISHED","2006","EMR","","","BHR","1.6 [1.4-1.7]","1.60000","1.40000","1.70000",""
"LBW_NUMBER","PUBLISHED","2007","EMR","","","BHR","1.6 [1.5-1.8]","1.60000","1.50000","1.80000",""
"LBW_NUMBER","PUBLISHED","2008","EMR","","","BHR","1.7 [1.6-1.8]","1.70000","1.60000","1.80000",""
"LBW_NUMBER","PUBLISHED","2009","EMR","","","BHR","1.8 [1.7-1.9]","1.80000","1.70000","1.90000",""
"LBW_NUMBER","PUBLISHED","2010","EMR","","","BHR","1.9 [1.8-2.0]","1.90000","1.80000","2.00000",""
"LBW_NUMBER","PUBLISHED","2011","EMR","","","BHR","2.0 [1.9-2.1]","2.00000","1.90000","2.10000",""
"LBW_NUMBER","PUBLISHED","2012","EMR","","","BHR","2.1 [2.0-2.2]","2.10000","2.00000","2.20000",""
"LBW_NUMBER","PUBLISHED","2013","EMR","","","BHR","2.2 [2.2-2.3]","2.20000","2.20000","2.30000",""
"LBW_NUMBER","PUBLISHED","2014","EMR","","","BHR","2.4 [2.3-2.5]","2.40000","2.30000","2.50000",""
"LBW_NUMBER","PUBLISHED","2015","EMR","","","BHR","2.6 [2.3-2.8]","2.60000","2.30000","2.80000",""
"LBW_NUMBER","PUBLISHED","2000","SEAR","","","BGD","1318.0 [799.1-1851.4]","1318.00000","799.10000","1851.40000",""
"LBW_NUMBER","PUBLISHED","2001","SEAR","","","BGD","1281.5 [785.6-1771.7]","1281.50000","785.60000","1771.70000",""
"LBW_NUMBER","PUBLISHED","2002","SEAR","","","BGD","1244.0 [780.7-1720.5]","1244.00000","780.70000","1720.50000",""
"LBW_NUMBER","PUBLISHED","2003","SEAR","","","BGD","1205.9 [766.6-1644.3]","1205.90000","766.60000","1644.30000",""
"LBW_NUMBER","PUBLISHED","2004","SEAR","","","BGD","1168.8 [729.6-1623.6]","1168.80000","729.60000","1623.60000",""
"LBW_NUMBER","PUBLISHED","2005","SEAR","","","BGD","1130.7 [722.0-1561.1]","1130.70000","722.00000","1561.10000",""
"LBW_NUMBER","PUBLISHED","2006","SEAR","","","BGD","1094.7 [719.1-1505.7]","1094.70000","719.10000","1505.70000",""
"LBW_NUMBER","PUBLISHED","2007","SEAR","","","BGD","1059.9 [692.0-1471.7]","1059.90000","692.00000","1471.70000",""
"LBW_NUMBER","PUBLISHED","2008","SEAR","","","BGD","1027.7 [661.8-1396.5]","1027.70000","661.80000","1396.50000",""
"LBW_NUMBER","PUBLISHED","2009","SEAR","","","BGD","997.4 [677.8-1376.4]","997.40000","677.80000","1376.40000",""
"LBW_NUMBER","PUBLISHED","2010","SEAR","","","BGD","970.0 [638.7-1349.2]","970.00000","638.70000","1349.20000",""
"LBW_NUMBER","PUBLISHED","2011","SEAR","","","BGD","944.2 [628.8-1298.9]","944.20000","628.80000","1298.90000",""
"LBW_NUMBER","PUBLISHED","2012","SEAR","","","BGD","921.3 [637.9-1284.5]","921.30000","637.90000","1284.50000",""
"LBW_NUMBER","PUBLISHED","2013","SEAR","","","BGD","900.7 [601.8-1225.4]","900.70000","601.80000","1225.40000",""
"LBW_NUMBER","PUBLISHED","2014","SEAR","","","BGD","882.0 [610.4-1222.1]","882.00000","610.40000","1222.10000",""
"LBW_NUMBER","PUBLISHED","2015","SEAR","","","BGD","864.8 [610.2-1196.2]","864.80000","610.20000","1196.20000",""
"LBW_NUMBER","PUBLISHED","2000","EUR","","","BLR","4.5 [4.4-4.6]","4.50000","4.40000","4.60000",""
"LBW_NUMBER","PUBLISHED","2001","EUR","","","BLR","4.6 [4.5-4.6]","4.60000","4.50000","4.60000",""
"LBW_NUMBER","PUBLISHED","2002","EUR","","","BLR","4.7 [4.6-4.8]","4.70000","4.60000","4.80000",""
"LBW_NUMBER","PUBLISHED","2003","EUR","","","BLR","4.8 [4.7-4.9]","4.80000","4.70000","4.90000",""
"LBW_NUMBER","PUBLISHED","2004","EUR","","","BLR","4.9 [4.8-5.0]","4.90000","4.80000","5.00000",""
"LBW_NUMBER","PUBLISHED","2005","EUR","","","BLR","5.0 [4.9-5.2]","5.00000","4.90000","5.20000",""
"LBW_NUMBER","PUBLISHED","2006","EUR","","","BLR","5.1 [5.0-5.3]","5.10000","5.00000","5.30000",""
"LBW_NUMBER","PUBLISHED","2007","EUR","","","BLR","5.2 [5.1-5.4]","5.20000","5.10000","5.40000",""
"LBW_NUMBER","PUBLISHED","2008","EUR","","","BLR","5.3 [5.2-5.5]","5.30000","5.20000","5.50000",""
"LBW_NUMBER","PUBLISHED","2009","EUR","","","BLR","5.4 [5.3-5.6]","5.40000","5.30000","5.60000",""
"LBW_NUMBER","PUBLISHED","2010","EUR","","","BLR","5.5 [5.3-5.6]","5.50000","5.30000","5.60000",""
