"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"LBW_NUMBER","PUBLISHED","2000","EUR","","","ALB","2.5 [2.0-3.1]","2.50000","2.00000","3.10000",""
"LBW_NUMBER","PUBLISHED","2001","EUR","","","ALB","2.3 [1.8-3.0]","2.30000","1.80000","3.00000",""
"LBW_NUMBER","PUBLISHED","2002","EUR","","","ALB","2.2 [1.8-2.8]","2.20000","1.80000","2.80000",""
"LBW_NUMBER","PUBLISHED","2003","EUR","","","ALB","2.1 [1.6-2.6]","2.10000","1.60000","2.60000",""
"LBW_NUMBER","PUBLISHED","2004","EUR","","","ALB","2.0 [1.5-2.5]","2.00000","1.50000","2.50000",""
"LBW_NUMBER","PUBLISHED","2005","EUR","","","ALB","1.9 [1.5-2.4]","1.90000","1.50000","2.40000",""
"LBW_NUMBER","PUBLISHED","2006","EUR","","","ALB","1.8 [1.4-2.3]","1.80000","1.40000","2.30000",""
"LBW_NUMBER","PUBLISHED","2007","EUR","","","ALB","1.7 [1.4-2.2]","1.70000","1.40000","2.20000",""
"LBW_NUMBER","PUBLISHED","2008","EUR","","","ALB","1.7 [1.3-2.1]","1.70000","1.30000","2.10000",""
"LBW_NUMBER","PUBLISHED","2009","EUR","","","ALB","1.6 [1.3-2.1]","1.60000","1.30000","2.10000",""
"LBW_NUMBER","PUBLISHED","2010","EUR","","","ALB","1.6 [1.3-2.0]","1.60000","1.30000","2.00000",""
"LBW_NUMBER","PUBLISHED","2011","EUR","","","ALB","1.6 [1.3-2.1]","1.60000","1.30000","2.10000",""
"LBW_NUMBER","PUBLISHED","2012","EUR","","","ALB","1.6 [1.3-2.0]","1.60000","1.30000","2.00000",""
"LBW_NUMBER","PUBLISHED","2013","EUR","","","ALB","1.6 [1.3-2.0]","1.60000","1.30000","2.00000",""
"LBW_NUMBER","PUBLISHED","2014","EUR","","","ALB","1.6 [1.3-2.0]","1.60000","1.30000","2.00000",""
"LBW_NUMBER","PUBLISHED","2015","EUR","","","ALB","1.6 [1.3-2.0]","1.60000","1.30000","2.00000",""
"LBW_NUMBER","PUBLISHED","2000","AFR","","","DZA","47.1 [37.7-61.3]","47.10000","37.70000","61.30000",""
"LBW_NUMBER","PUBLISHED","2001","AFR","","","DZA","46.9 [37.5-62.2]","46.90000","37.50000","62.20000",""
"LBW_NUMBER","PUBLISHED","2002","AFR","","","DZA","47.4 [37.8-62.6]","47.40000","37.80000","62.60000",""
"LBW_NUMBER","PUBLISHED","2003","AFR","","","DZA","48.6 [38.4-62.5]","48.60000","38.40000","62.50000",""
"LBW_NUMBER","PUBLISHED","2004","AFR","","","DZA","50.4 [40.0-66.7]","50.40000","40.00000","66.70000",""
"LBW_NUMBER","PUBLISHED","2005","AFR","","","DZA","52.6 [41.4-68.8]","52.60000","41.40000","68.80000",""
"LBW_NUMBER","PUBLISHED","2006","AFR","","","DZA","55.2 [43.4-72.4]","55.20000","43.40000","72.40000",""
