"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","Comments"
"WHS4_99","PUBLISHED","2008","NOTSPEC","WB_WORLD_INCOME","45","","","",""
"WHS4_99","PUBLISHED","2008","SEAR","","28","","","",""
"WHS4_99","PUBLISHED","2008","EUR","","94","","","",""
"WHS4_99","PUBLISHED","2008","EMR","","1","","","",""
"WHS4_99","PUBLISHED","2008","WPR","","23","","","",""
"WHS4_99","PUBLISHED","2008","AMR","","54","","","",""
"WHS4_99","PUBLISHED","2008","GLOBAL","","45","","","",""
"WHS4_99","PUBLISHED","2008","NOTSPEC","WB_LMI","44","","","",""
"WHS4_99","PUBLISHED","2008","AFR","","45","","","",""
"WHS4_99","PUBLISHED","2008","NOTSPEC","WB_LI","37","","","",""
"WHS4_99","PUBLISHED","2008","NOTSPEC","WB_UMI","74","","","",""
