"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PUBLICPLACE","Display Value","Numeric","Low","High","Comments"
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","GIN","SA_GOVERNMENT_OFFICES","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","SEN","SA_LEISURE_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","USA","SA_SPORTING_EVENTS","","","","","missing data"
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","CRI","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","CUB","SA_PARKS_AND_STREETS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","CUB","SA_LEISURE_EVENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","MEX","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","URY","SA_SPORTING_EVENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","VEN","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","BLZ","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","BLZ","SA_PARKS_AND_STREETS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","DOM","SA_SPORTING_EVENTS","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","HND","SA_HEALTH_CARE_ESTABLISHMENTS","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","HND","SA_GOVERNMENT_OFFICES","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","URY","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","LCA","SA_HEALTH_CARE_ESTABLISHMENTS","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EMR","QAT","SA_HEALTH_CARE_ESTABLISHMENTS","","","","","missing data"
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EMR","BHR","SA_SPORTING_EVENTS","","","","","missing data"
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EMR","IRN","SA_PUBLIC_TRANSPORT","ban","","","",""
