"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","LEGISLATIONTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","CRI","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","CIV","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","DOM","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","SLV","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","EST","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","ETH","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","WPR","FJI","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","FIN","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","DEU","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","GHA","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","GRC","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","GRD","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","GNB","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","HND","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","MDG","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","SEAR","MDV","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","MLT","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","SEAR","MMR","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","KNA","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","SWE","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EMR","SYR","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","BLR","SA_ILLEGAL_SALES","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","COM","SA_ILLEGAL_SALES","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","GTM","SA_ILLEGAL_SALES","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","GNB","SA_ILLEGAL_SALES","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","SEAR","IDN","SA_ILLEGAL_SALES","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","MNE","SA_ILLEGAL_SALES","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","NOR","SA_ILLEGAL_SALES","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","WPR","TUV","SA_ILLEGAL_SALES","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EMR","DJI","SA_ILLEGAL_PRODUCTION","","","","","missing data"
"SA_0000001506_ARCHIVED","PUBLISHED","2012","SEAR","PRK","SA_ILLEGAL_PRODUCTION","","","","","missing data"
"SA_0000001506_ARCHIVED","PUBLISHED","2012","WPR","VUT","SA_ILLEGAL_PRODUCTION","","","","","missing data"
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EMR","ARE","SA_ILLEGAL_SALES","","","","","missing data"
"SA_0000001506_ARCHIVED","PUBLISHED","2012","WPR","BRN","SA_ILLEGAL_PRODUCTION","","","","","missing data"
"SA_0000001506_ARCHIVED","PUBLISHED","2012","WPR","NRU","SA_ILLEGAL_SALES","","","","","missing data"
