"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","LEGISLATIONTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EMR","AFG","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","ALB","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","DZA","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","ATG","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","ARG","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","WPR","AUS","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","AUT","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","AZE","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","BHS","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","BRB","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","BRA","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","EUR","BGR","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","BFA","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","BDI","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","WPR","KHM","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","CAF","SA_ILLEGAL_PRODUCTION","No","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AFR","TCD","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","AMR","CHL","SA_ILLEGAL_PRODUCTION","Yes","","","",""
"SA_0000001506_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_ILLEGAL_PRODUCTION","Yes","","","",""
