"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"AMRGLASS_SURVL01","PUBLISHED","2017","AFR","30","30.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2018","AFR","30","30.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2019","AFR","39","39.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2019","AMR","4 132","4132.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2017","EMR","54","54.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2018","EMR","100","100.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2019","EMR","168","168.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2017","EUR","131","131.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2018","EUR","947","947.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2019","EUR","1 117","1117.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2017","SEAR","2","2.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2018","SEAR","28","28.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2019","SEAR","34","34.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2017","WPR","6","6.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2018","WPR","58","58.00000","","",""
"AMRGLASS_SURVL01","PUBLISHED","2019","WPR","67","67.00000","","",""
