"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","COORDINATINGENTITIES","Display Value","Numeric","Low","High","Comments"
"SA_0000001691","PUBLISHED","2016","EUR","NLD","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","NOR","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","PRY","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","PRY","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","PRT","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","PRT","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","WSM","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","WSM","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","SYC","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","SYC","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","SGP","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","RUS","OTHER_COORDINATING_ENTITY","Inter-Ministerial Committee","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","RUS","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","PRT","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","PRT","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","NOR","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","NZL","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","NZL","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CHE","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CHE","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","SWE","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","SWE","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ESP","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","ZAF","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","ZAF","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","ZAF","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","ZAF","HEALTH","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","SGP","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","VNM","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","VUT","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","VUT","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","VUT","HEALTH","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","MKD","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","MKD","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","THA","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","THA","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","COK","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","COK","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","CHL","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","PRY","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","EST","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","FIN","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","RUS","","Inter-Ministerial committee","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","SMR","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","AUS","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","BEN","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","BWA","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","BRA","","Criminal Justice","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","LAO","","Health","","","",""
